name,entry_i,exit_i,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after
B0_aster_hype_v35_original,2392,2413,2026-04-25 22:00:00+00:00,2026-04-26 03:15:00+00:00,-1,short,0.6484,0.6557,3.0,0.002054166666666664,-0.011258482418260218,-0.033775447254780655,21,0.34077079107501357,indicator_exit,0.9606905192330764
B0_aster_hype_v35_original,2725,2751,2026-04-29 09:15:00+00:00,2026-04-29 15:45:00+00:00,-1,short,0.6695,0.6597425595238096,3.0,0.0019514880952380947,0.014574220278103733,0.0437226608343112,27,5.278023486350454,take_profit,0.9977368813081255
B0_aster_hype_v35_original,2752,2762,2026-04-29 16:00:00+00:00,2026-04-29 18:30:00+00:00,1,long,0.6613,0.6471177083333334,3.0,0.0020260416666666664,-0.021446078431372473,-0.06433823529411742,11,0.2961439588689168,stop_loss,0.9287892457679048
B0_aster_hype_v35_original,2763,2785,2026-04-29 18:45:00+00:00,2026-04-30 00:15:00+00:00,1,long,0.6516,0.6619311011904762,3.0,0.002066220238095239,0.015854974202695216,0.04756492260808565,23,5.178537990637397,take_profit,0.9677208476164629
B0_aster_hype_v35_original,3062,3114,2026-05-02 21:30:00+00:00,2026-05-03 10:30:00+00:00,1,long,0.6821,0.6671781250000001,3.0,0.00213169642857143,-0.02187637443190149,-0.06562912329570447,53,3.5183246073298178,stop_loss,0.899199823174692
B0_aster_hype_v35_original,3649,3651,2026-05-09 00:15:00+00:00,2026-05-09 00:45:00+00:00,1,long,0.6922,0.7048502976190476,3.0,0.0025300595238095212,0.01827549497117542,0.05482648491352626,3,5.731090459945878,take_profit,0.9436686074116583
B0_aster_hype_v35_original,3652,3666,2026-05-09 01:00:00+00:00,2026-05-09 04:30:00+00:00,1,long,0.702,0.7148154761904761,3.0,0.002563095238095236,0.01825566408899748,0.05476699226699244,15,10.573153738968895,take_profit,0.9901321413569196
B0_aster_hype_v35_original,3667,3682,2026-05-09 04:45:00+00:00,2026-05-09 08:30:00+00:00,1,long,0.7218,0.703103125,3.0,0.0026709821428571407,-0.025903124134109112,-0.07770937240232734,16,1.5350158783219106,stop_loss,0.9084019844025757
B0_aster_hype_v35_original,3684,3702,2026-05-09 09:00:00+00:00,2026-05-09 13:30:00+00:00,1,long,0.6998,0.7137918154761904,3.0,0.002798363095238094,0.01999402040038656,0.059982061201159675,19,5.753363467162992,take_profit,0.9578416331976776
B0_aster_hype_v35_original,4362,4397,2026-05-16 10:30:00+00:00,2026-05-16 19:15:00+00:00,-1,short,0.6574,0.6716,3.0,0.0029453869047619038,-0.02160024338302402,-0.06480073014907206,35,0.06790279391703392,indicator_exit,0.8914175038590214
B0_aster_hype_v35_original,4538,4726,2026-05-18 06:30:00+00:00,2026-05-20 05:30:00+00:00,-1,short,0.6464,0.66281875,3.0,0.002345535714285713,-0.025400293935643692,-0.07620088180693108,189,1.9611724400456538,stop_loss,0.8195042296968619
B0_aster_hype_v35_original,4766,4774,2026-05-20 15:30:00+00:00,2026-05-20 17:30:00+00:00,1,long,0.6792,0.6897520833333334,3.0,0.002110416666666663,0.015536047310561463,0.04660814193168439,9,6.870681145113517,take_profit,0.8532031076993721
B0_aster_hype_v35_original,4775,4804,2026-05-20 17:45:00+00:00,2026-05-21 01:00:00+00:00,1,long,0.6906,0.7013931547619048,3.0,0.0021586309523809488,0.01562866313626521,0.046885989408795625,30,7.180477043981793,take_profit,0.8884355463522613
B0_aster_hype_v35_original,5515,5561,2026-05-28 10:45:00+00:00,2026-05-28 22:15:00+00:00,-1,short,0.663,0.6762,3.0,0.0035516369047619073,-0.019909502262443368,-0.059728506787330105,46,1.0417731595927526,indicator_exit,0.8314897177885082
