spec,entry_ts,exit_ts,direction,side,entry_kind,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,warning_ts,exit_reason,equity_after
HYPE_EMA_X_V17_1,2025-06-16 11:15:00+00:00,2025-06-16 16:30:00+00:00,1,long,lq_normal,43.951964999999994,44.7086345,1.6859373619196163,0.017215828689343127,0.029024808803771198,21,4.54078727094941,volume,2025-06-16 14:30:00+00:00,warning_confirm_volume,1.0259492190126656
HYPE_EMA_X_V17_1,2025-06-29 11:30:00+00:00,2025-06-30 06:45:00+00:00,1,long,hq_normal,38.751366,40.071954,1.9194751913658108,0.034078489000878065,0.0654128141964181,77,7.08558013967094,osc,2025-06-30 02:15:00+00:00,warning_confirm_osc,1.088319271560401
HYPE_EMA_X_V17_1,2025-07-10 03:30:00+00:00,2025-07-11 11:15:00+00:00,1,long,hq_normal,41.43370649999999,45.510233500000005,3.3000000000000003,0.09838673255070751,0.3246762174173348,127,22.42796106068104,volume,2025-07-10 21:15:00+00:00,warning_confirm_volume,1.462048487028661
HYPE_EMA_X_V17_1,2025-07-11 14:45:00+00:00,2025-07-13 04:15:00+00:00,1,long,hq_late,46.2421095,47.225375500000006,3.3000000000000003,0.021263433062023385,0.07016932910467717,150,6.887119240338768,volume,2025-07-12 16:30:00+00:00,warning_confirm_volume,1.5389962691776784
HYPE_EMA_X_V17_1,2025-08-09 13:45:00+00:00,2025-08-11 08:00:00+00:00,1,long,hq_late,43.691835,46.0519625,2.715658595832611,0.05401758703885995,0.14669332456821627,169,10.973029188041744,volume,2025-08-11 02:15:00+00:00,warning_confirm_volume,1.7555730049305882
HYPE_EMA_X_V17_1,2025-08-18 04:00:00+00:00,2025-08-19 09:00:00+00:00,-1,short,hq_normal,44.127925,42.3161475,1.8265678747031873,0.04105739166298883,0.07499411263072187,116,6.816132011317059,volume,2025-08-19 00:30:00+00:00,warning_confirm_volume,1.8768172550677795
HYPE_EMA_X_V17_1,2025-08-23 02:30:00+00:00,2025-08-24 20:15:00+00:00,1,long,lq_normal,43.9569675,45.15641050000001,2.2770569180934754,0.027286754938224744,0.06213349410440596,167,9.852189823644418,osc,2025-08-24 19:00:00+00:00,warning_confirm_osc,1.9804596746780505
HYPE_EMA_X_V17_1,2025-09-21 12:00:00+00:00,2025-09-22 05:00:00+00:00,-1,short,hq_normal,52.4747495,50.177076,2.6863765756411584,0.043786269051174775,0.11762640751379733,68,11.624126256877794,volume,2025-09-21 17:15:00+00:00,warning_confirm_volume,2.205252957248418
HYPE_EMA_X_V17_1,2025-09-22 09:00:00+00:00,2025-09-23 04:45:00+00:00,-1,short,hq_late,49.267354000000005,46.5542655,2.3948483605633815,0.055068687066084476,0.1318811549385903,79,12.506947694758027,osc,2025-09-23 03:00:00+00:00,warning_confirm_osc,2.491534200920123
HYPE_EMA_X_V17_1,2025-10-23 12:30:00+00:00,2025-10-24 16:45:00+00:00,1,long,hq_normal,39.1805805,38.816582000000004,1.8505917617961185,-0.009290278381658856,-0.017192512637890456,113,4.56871088016811,,,hard_swing96,2.434913857448863
