rank,strategy,logic_name,rule_quality,symbol,original_asset,timeframe,data_source,start,end,bars,cumulative_return,annualized_return,volatility,sharpe,max_drawdown,trades,long_trades,short_trades,win_rate,profit_factor,notes
1,Optimized BTC Mean Reversion (RSI 20/65),rsi_2065,medium,BTC/USDT:USDT,BTC,15m,native_15m,2026-02-26T04:15:00+00:00,2026-05-27T04:15:00+00:00,8641,-0.1652983022446015,-0.5193791099426683,0.2742777962543275,-2.5338973892385575,-0.24151291964789479,10,0,10,0.2,0.40805405147432455,公开说明较完整；已单独跑过一次。
1,Optimized BTC Mean Reversion (RSI 20/65),rsi_2065,medium,HYPE/USDT:USDT,BTC,15m,native_15m,2026-02-25T03:00:00+00:00,2026-05-26T03:00:00+00:00,8604,-0.11303456235045328,-0.3864517069803787,0.30828924464509844,-1.4297608171379343,-0.13976262444593834,10,0,10,0.3,0.6192649018545113,公开说明较完整；已单独跑过一次。
2,Volatility Breakout System [Fixed Risk],vol_breakout,medium,BTC/USDT:USDT,ETH,1h,resampled_15m_to_1h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,9053,-0.1751879098208361,-0.17003040094428823,0.28429495610023653,-0.5136372992831721,-0.2879022208485431,188,87,101,0.32978723404255317,0.9165802873853693,公开说明完整但具体 ATR/TP/BE 参数未披露。
2,Volatility Breakout System [Fixed Risk],vol_breakout,medium,HYPE/USDT:USDT,ETH,1h,resampled_15m_to_1h,2025-05-30T10:00:00+00:00,2026-05-26T03:00:00+00:00,8649,-0.20634153696488133,-0.208691985038593,0.6781693575250128,-0.007583305564701817,-0.5018691573734216,168,91,77,0.3333333333333333,0.9936618377314329,公开说明完整但具体 ATR/TP/BE 参数未披露。
3,SuperTrend AI Adaptive - Strategy [BTC],supertrend_ai,low,BTC/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,-0.18915762748796583,-0.1835813914852632,0.26896545439840863,-0.6196011893749482,-0.30475126446553147,30,30,0,0.4666666666666667,0.6437894600309132,页面只给自适应框架，近似为 ATR10 x3 SuperTrend。
3,SuperTrend AI Adaptive - Strategy [BTC],supertrend_ai,low,HYPE/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,-0.01789289673050043,-0.01811421256581125,0.7122903346467232,0.32915191109723546,-0.6176787596031579,28,28,0,0.39285714285714285,1.1413044329338558,页面只给自适应框架，近似为 ATR10 x3 SuperTrend。
4,BB Upper breakout Short +2% (dr Ziuber),bb_upper_short,medium,BTC/USDT:USDT,SOL,1h,resampled_15m_to_1h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,9053,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,只在搜索页拿到规则：超上轨 2% 做空，盈利 2% 平仓。
4,BB Upper breakout Short +2% (dr Ziuber),bb_upper_short,medium,HYPE/USDT:USDT,SOL,1h,resampled_15m_to_1h,2025-05-30T10:00:00+00:00,2026-05-26T03:00:00+00:00,8649,-0.13765770971987767,-0.1392952347423252,0.1869729005044665,-0.7084727529703655,-0.22074943348200793,14,0,14,0.7142857142857143,0.5902116386824907,只在搜索页拿到规则：超上轨 2% 做空，盈利 2% 平仓。
5,SuperTrend STRATEGY,supertrend_long_only,high,BTC/USDT:USDT,BTC,1d,resampled_15m_to_1d,2025-05-15T00:00:00+00:00,2026-05-27T00:00:00+00:00,378,0.010761128976895407,0.01038912151672755,0.011017055185056248,0.9436197568776009,-0.00044999999999995044,1,1,0,1.0,,公开说明清楚：Long-only SuperTrend，原文提 ATR10 x8.5。
5,SuperTrend STRATEGY,supertrend_long_only,high,HYPE/USDT:USDT,BTC,1d,resampled_15m_to_1d,2025-05-30T00:00:00+00:00,2026-05-26T00:00:00+00:00,362,0.14035404201203017,0.14159592801812848,0.11377916772495411,1.2173230529009946,-0.00044999999999995044,2,2,0,1.0,,公开说明清楚：Long-only SuperTrend，原文提 ATR10 x8.5。
