symbol,symbol_id,base,underlying_type,result_name,rows,start,end,warmup_bars,backtest_start,return_pct,max_dd_pct,sharpe,closed_trades,win_rate_pct,take_profit,stop_loss,indicator_exit,long_trades,long_return_sum_pct,long_win_rate_pct,short_trades,short_return_sum_pct,short_win_rate_pct,buy_hold_return_pct,buy_hold_max_dd_pct,funding_rows,funding_status
BZ/USDT:USDT,BZUSDT,BZ,COMMODITY,BZUSDT_B0_original,7485,2026-04-01 09:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:00:00+00:00,-24.2,-33.18,-1.64,23,52.17,12,8,3,10,-6.21,50.0,13,0.18,53.85,-11.22,-32.82,,ok
BZ/USDT:USDT,BZUSDT,BZ,COMMODITY,BZUSDT_B0_weekend_filter_diagnostic,7485,2026-04-01 09:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:00:00+00:00,-23.05,-31.58,-1.77,20,50.0,10,7,3,12,-3.13,50.0,8,-2.91,50.0,-11.22,-32.82,,ok
CL/USDT:USDT,CLUSDT,CL,COMMODITY,CLUSDT_B0_original,7485,2026-04-01 09:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:00:00+00:00,-44.79,-53.6,-4.09,17,41.18,7,8,1,7,4.69,57.14,10,-41.8,30.0,-11.63,-33.08,,ok
CL/USDT:USDT,CLUSDT,CL,COMMODITY,CLUSDT_B0_weekend_filter_diagnostic,7485,2026-04-01 09:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:00:00+00:00,-39.55,-49.19,-3.74,15,40.0,6,7,1,7,4.69,57.14,8,-37.18,25.0,-11.63,-33.08,,ok
COPPER/USDT:USDT,COPPERUSDT,COPPER,COMMODITY,COPPERUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-10.38,-13.82,-1.52,26,53.85,14,8,4,22,-5.65,50.0,4,10.68,75.0,4.95,-8.81,,ok
COPPER/USDT:USDT,COPPERUSDT,COPPER,COMMODITY,COPPERUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-0.76,-7.6,0.03,22,59.09,13,6,3,19,0.81,52.63,3,11.98,100.0,4.95,-8.81,,ok
NATGAS/USDT:USDT,NATGASUSDT,NATGAS,COMMODITY,NATGASUSDT_B0_original,7484,2026-04-01 09:15:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:15:00+00:00,-15.66,-19.85,-1.51,25,60.0,15,9,1,23,9.67,60.87,2,-2.13,50.0,13.42,-10.2,,ok
NATGAS/USDT:USDT,NATGASUSDT,NATGAS,COMMODITY,NATGASUSDT_B0_weekend_filter_diagnostic,7484,2026-04-01 09:15:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-18 01:15:00+00:00,-15.66,-19.85,-1.51,25,60.0,15,9,1,23,9.67,60.87,2,-2.13,50.0,13.42,-10.2,,ok
XAG/USDT:USDT,XAGUSDT,XAG,COMMODITY,XAGUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-19.64,-35.48,-1.72,25,48.0,12,9,4,16,-32.33,31.25,9,27.27,77.78,-16.85,-30.8,,ok
XAG/USDT:USDT,XAGUSDT,XAG,COMMODITY,XAGUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-17.24,-29.99,-1.56,23,47.83,11,8,4,14,-32.03,28.57,9,27.27,77.78,-16.85,-30.8,,ok
XAU/USDT:USDT,XAUUSDT,XAU,COMMODITY,XAUUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-5.42,-7.96,-1.11,18,55.56,10,4,4,8,0.24,50.0,10,3.4,60.0,-11.85,-17.17,,ok
XAU/USDT:USDT,XAUUSDT,XAU,COMMODITY,XAUUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-4.0,-7.96,-0.77,17,58.82,10,4,3,7,1.09,57.14,10,3.4,60.0,-11.85,-17.17,,ok
XPD/USDT:USDT,XPDUSDT,XPD,COMMODITY,XPDUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-6.61,-17.77,-0.67,18,50.0,9,5,4,7,11.65,57.14,11,-7.37,45.45,-17.05,-25.16,,ok
XPD/USDT:USDT,XPDUSDT,XPD,COMMODITY,XPDUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-5.67,-12.12,-0.61,15,53.33,8,4,3,6,7.65,66.67,9,-4.57,44.44,-17.05,-25.16,,ok
XPT/USDT:USDT,XPTUSDT,XPT,COMMODITY,XPTUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-25.01,-25.01,-3.31,18,44.44,8,8,2,10,-9.84,40.0,8,-7.24,50.0,-18.32,-25.14,,ok
XPT/USDT:USDT,XPTUSDT,XPT,COMMODITY,XPTUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-24.95,-24.95,-3.3,18,44.44,8,8,2,10,-9.86,40.0,8,-7.24,50.0,-18.32,-25.14,,ok
AAOI/USDT:USDT,AAOIUSDT,AAOI,EQUITY,AAOIUSDT_B0_original,956,2026-06-08 09:15:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-15 09:15:00+00:00,-7.66,-7.66,-11.41,1,0.0,0,0,1,1,-7.3,0.0,0,0.0,0.0,-2.6,-15.86,,ok
AAOI/USDT:USDT,AAOIUSDT,AAOI,EQUITY,AAOIUSDT_B0_weekend_filter_diagnostic,956,2026-06-08 09:15:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-15 09:15:00+00:00,-7.66,-7.66,-11.41,1,0.0,0,0,1,1,-7.3,0.0,0,0.0,0.0,-2.6,-15.86,,ok
AAPL/USDT:USDT,AAPLUSDT,AAPL,EQUITY,AAPLUSDT_B0_original,6986,2026-04-06 13:45:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-23 05:45:00+00:00,-2.97,-8.87,-1.07,7,57.14,3,2,1,6,-0.23,50.0,1,2.09,100.0,9.79,-8.86,,ok
AAPL/USDT:USDT,AAPLUSDT,AAPL,EQUITY,AAPLUSDT_B0_weekend_filter_diagnostic,6986,2026-04-06 13:45:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-23 05:45:00+00:00,0.44,-5.67,0.27,6,66.67,3,1,1,5,2.68,60.0,1,2.09,100.0,9.79,-8.86,,ok
ADBE/USDT:USDT,ADBEUSDT,ADBE,EQUITY,ADBEUSDT_B0_original,668,2026-06-11 09:15:00+00:00,2026-06-18 08:00:00+00:00,667,2026-06-18 08:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,ok
ADBE/USDT:USDT,ADBEUSDT,ADBE,EQUITY,ADBEUSDT_B0_weekend_filter_diagnostic,668,2026-06-11 09:15:00+00:00,2026-06-18 08:00:00+00:00,667,2026-06-18 08:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,ok
AMAT/USDT:USDT,AMATUSDT,AMAT,EQUITY,AMATUSDT_B0_original,957,2026-06-08 09:00:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-15 09:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.57,-5.5,,ok
AMAT/USDT:USDT,AMATUSDT,AMAT,EQUITY,AMATUSDT_B0_weekend_filter_diagnostic,957,2026-06-08 09:00:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-15 09:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.57,-5.5,,ok
AMD/USDT:USDT,AMDUSDT,AMD,EQUITY,AMDUSDT_B0_original,4107,2026-05-06 13:30:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-05-23 05:30:00+00:00,-12.9,-17.02,-1.63,8,50.0,4,3,1,4,-5.3,50.0,4,-0.87,50.0,14.0,-19.64,,ok
AMD/USDT:USDT,AMDUSDT,AMD,EQUITY,AMDUSDT_B0_weekend_filter_diagnostic,4107,2026-05-06 13:30:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-05-23 05:30:00+00:00,-10.43,-17.02,-1.59,6,50.0,3,3,0,4,-5.3,50.0,2,-0.23,50.0,14.0,-19.64,,ok
AMZN/USDT:USDT,AMZNUSDT,AMZN,EQUITY,AMZNUSDT_B0_original,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-12.11,-13.1,-2.1,19,57.89,10,7,2,10,-4.98,50.0,9,4.54,66.67,-5.33,-15.66,,ok
AMZN/USDT:USDT,AMZNUSDT,AMZN,EQUITY,AMZNUSDT_B0_weekend_filter_diagnostic,7521,2026-04-01 00:00:00+00:00,2026-06-18 08:00:00+00:00,1600,2026-04-17 16:00:00+00:00,-7.47,-9.15,-1.27,18,61.11,10,6,2,9,-1.24,55.56,9,4.54,66.67,-5.33,-15.66,,ok
ARM/USDT:USDT,ARMUSDT,ARM,EQUITY,ARMUSDT_B0_original,2187,2026-05-26 13:30:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-02 13:30:00+00:00,18.9,-0.3,6.63,2,100.0,2,0,0,1,10.0,100.0,1,9.0,100.0,10.84,-29.85,,ok
ARM/USDT:USDT,ARMUSDT,ARM,EQUITY,ARMUSDT_B0_weekend_filter_diagnostic,2187,2026-05-26 13:30:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-02 13:30:00+00:00,18.9,-0.3,6.63,2,100.0,2,0,0,1,10.0,100.0,1,9.0,100.0,10.84,-29.85,,ok
ASML/USDT:USDT,ASMLUSDT,ASML,EQUITY,ASMLUSDT_B0_original,667,2026-06-11 09:30:00+00:00,2026-06-18 08:00:00+00:00,666,2026-06-18 08:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,ok
ASML/USDT:USDT,ASMLUSDT,ASML,EQUITY,ASMLUSDT_B0_weekend_filter_diagnostic,667,2026-06-11 09:30:00+00:00,2026-06-18 08:00:00+00:00,666,2026-06-18 08:00:00+00:00,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,ok
ASTS/USDT:USDT,ASTSUSDT,ASTS,EQUITY,ASTSUSDT_B0_original,1610,2026-06-01 13:45:00+00:00,2026-06-18 08:00:00+00:00,672,2026-06-08 13:45:00+00:00,-14.49,-14.49,-6.27,1,0.0,0,1,0,1,-14.0,0.0,0,0.0,0.0,-6.91,-22.27,,ok
