symbol,daily_bars,hourly_bars,funding_events,daily_quality,hourly_quality,provider_close_time_failures,daily_sha256,hourly_sha256,funding_sha256,start,end
1000SHIBUSDT,730,17521,2190,PASS,PASS,0,529aa0bbe018b784750c35d1b08d1162f398ade6cb8e18654596fb00c40db965,83838b5483b316e45125211cb39cec3efd276762245f7278a921c54bdeaf40ce,905ca761e3395565dcb6c72b0bdbae7873579c1c716f50618359a062e41728d1,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
ADAUSDT,730,17521,2190,PASS,PASS,0,0392da0fe22c8a2b221eda7b35f8723634491246b16325be9bd94d40dabc96d1,8cb7dcc07361ba65c08450811636017b5ba1948192b6b2b5cf0743bcf4766e33,e92587cb993a78c624c9a4efbed367e3701a6c11506801814ed33a10dd05949a,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
AVAXUSDT,730,17521,2190,PASS,PASS,0,ae9f26177cacd73703730b42ca38edadf5d9d0538dc43c5ca686bf0091c3ff35,83c3ddd0c628f4062ddde8d4d2192139be46970a512d6ef54c5219c4359e4d30,eef1b979bea4ee313e983e3d60f2ded4a559a9ac3de4f28c3d4f064600d77baf,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
BCHUSDT,730,17521,2190,PASS,PASS,0,7147bd35e7d8c4db163544356a482a23c84b9d66cb9a6912bfdd6715096799a9,83a7718d2d41fe9180a8e01a24ddaf12fab06dbefc1b6ad4a98771b8a70e178f,164832211b1aa5849562b40cbee668dbe03450e8de4d0806ab0d8a69c4643681,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
BNBUSDT,730,17521,2190,PASS,PASS,0,3183ee902abdb7d4a7c0807f42495d87197144e6804010911d97d0bd41a8e17b,9cfb10cb6b818687dab2a457b5d099fda5b95659041968f2b5f482e1e01a5e4f,fa7ec3d1c916a300d6b7d24545625e955d4850c6a6090db2d3489d0511b10534,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
BTCUSDT,730,17521,2190,PASS,PASS,0,d9862e57321c6c21a863921e3118b51671d009718d16d2d04acd0f351d9d5b88,439504359c9e661ea9325e74125f9fb5ce2efd4c36889fb9ea5440cda37013c2,01ac84859d33dda8681842b276c15e13823bc7b7e555184b73ed3311c716c16a,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
DOGEUSDT,730,17521,2190,PASS,PASS,0,0989cebae02a802ca0a6b3081acd6592a5802aa085c6fbfab83dec1ee281410f,9a0375d1f0c1516a1620cb77f1771887ed1306fda13ff571bc22a0810668b6f1,d0b8caf7d9dd7fbd33b0a86101c7a031afa9e410187d10fd35643eb0bbdcf6b3,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
ETHUSDT,730,17521,2190,PASS,PASS,0,3d9808ed93cd7d3e36d60086ae310cd658cb45e1d825e3ef4739103ba2fbcd77,97c4896b738cb14a52a49b5b752109a2973a58f47ba63b9814dced24af244de8,57a45e27edaf773b923538850464efe490a49c3b9b1a62b3e2cfed83fa8a28ad,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
HBARUSDT,730,17521,2190,PASS,PASS,0,0e40a46083a1de92c1546dd4ac76f85023e23a9436cfcb6d1e9702ddc12d7c98,66fa3c07f29a46590094e89b78edab1d12e1c5d3f0f47200e215c52b049cdd3d,84e5844d3bc59ec080093a3eaed8d4aa4f4ff826acb7cbf94a47e48bfe2c4598,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
HYPEUSDT,445,10671,2666,PASS,PASS,0,2048139a5a795b3787c53d74ec07a05088df8b809125d9af3a6fa6c05ab15684,691d6fc224c9ccb54b282a6f878b4e8d13ec8ad84d6e4bc51eea35997b89816b,c9cea447b708460e597f33c5b47bae5439c57d737d091333a3afb7c98a68389b,2025-05-30T00:00:00+00:00,2026-08-17T00:00:00+00:00
LINKUSDT,730,17521,2190,PASS,PASS,0,7942e3fa31095ba65e4aa8c3c60fc8d535087fd3d7fd283279b814a847a4cabb,45cacf46eac21bba5bdf896ac9d0f5c190b11a125f83e0fddc0369a77dabbe40,0a8508555ff7d7659cc5faa487ee9a7d9d5bb8eb7317f87acfe2626b545908df,2024-08-18T00:00:00+00:00,2026-08-17T00:00:00+00:00
