symbol,side,trades,wins,win_rate,profit_factor,pnl_contribution_pct_initial,avg_hold_days
1000SHIBUSDT,long,13,7,0.5384615384615384,1.5453271973779887,27.343551895507694,9.41025641025641
1000SHIBUSDT,short,20,10,0.5,1.7545559929598837,64.26628365057057,12.481249999421296
ADAUSDT,long,16,5,0.3125,1.4483179917938709,76.82609108823685,7.908854166666667
ADAUSDT,short,19,5,0.2631578947368421,0.9803207744356363,-2.7896291713984396,8.489035087719298
AVAXUSDT,long,20,9,0.45,1.4041788180902155,45.851999966301385,8.354166666666666
AVAXUSDT,short,26,8,0.3076923076923077,0.7298213736224438,-42.15169575652295,7.607371794426638
BCHUSDT,long,21,6,0.2857142857142857,0.7501425336049236,-11.78964664969033,7.982142857142857
BCHUSDT,short,27,7,0.25925925925925924,0.297134829266473,-58.52942512914038,6.683641975308642
BNBUSDT,long,23,7,0.30434782608695654,0.6655183258715367,-19.15319325629517,7.880434782105475
BNBUSDT,short,17,6,0.35294117647058826,0.5507391635652559,-24.624577347573954,8.754901960784315
BTCUSDT,long,25,10,0.4,0.9919525751074643,-0.47206824770914724,7.496666666666667
BTCUSDT,short,18,8,0.4444444444444444,1.062222840345527,3.0547647023503166,8.680555555555555
DOGEUSDT,long,16,8,0.5,1.944132169843311,52.167029291137844,9.705729166666666
DOGEUSDT,short,23,8,0.34782608695652173,0.6511197702946558,-42.613570472013784,8.37499999949678
ETHUSDT,long,27,8,0.2962962962962963,0.9884171152961445,-1.7030133816089654,7.393518518518518
ETHUSDT,short,20,8,0.4,1.0822980592949365,6.770771138027524,8.675
HBARUSDT,long,20,3,0.15,0.6260340318814221,-19.859186754157772,7.1000000000000005
HBARUSDT,short,24,6,0.25,0.3439961747980662,-50.808628447401304,7.494791666666667
HYPEUSDT,long,11,6,0.5454545454545454,3.2621737539988698,94.06555715487484,8.84848484743266
HYPEUSDT,short,11,7,0.6363636363636364,1.2889990979322248,13.755987290348232,9.821969696969697
LINKUSDT,long,18,6,0.3333333333333333,1.0789940915732694,5.75351412527296,7.296296296296297
LINKUSDT,short,18,7,0.3888888888888889,0.6763447472302673,-34.852376550556905,8.703703703703704
LTCUSDT,long,25,8,0.32,0.705446882824371,-26.271979564870936,6.863333333333333
LTCUSDT,short,23,8,0.34782608695652173,0.6790103153796208,-23.363846164398858,8.880434782608695
NEARUSDT,long,20,7,0.35,0.8498868753902841,-29.22709475580495,7.0562499999999995
NEARUSDT,short,15,9,0.6,2.4484327723618438,119.45619378265191,10.78888888888889
SOLUSDT,long,21,8,0.38095238095238093,0.7752560719236504,-20.58050500125379,8.251984126984127
SOLUSDT,short,19,8,0.42105263157894735,1.3830221672473526,25.87121119406353,9.765350877192983
SUIUSDT,long,19,3,0.15789473684210525,0.42391218950378656,-46.01828232204943,7.01315789412768
SUIUSDT,short,21,9,0.42857142857142855,0.9377425399215562,-3.6123098926318176,9.257936507936508
TAOUSDT,long,18,6,0.3333333333333333,2.391805095295397,204.69404877344252,11.240740740097737
TAOUSDT,short,18,7,0.3888888888888889,0.8966770537176223,-17.51506908257396,10.002314814814815
TRXUSDT,long,21,8,0.38095238095238093,1.0381655148541287,0.971852538656518,10.892857142857142
TRXUSDT,short,22,10,0.45454545454545453,0.7662657130609415,-10.99994225341459,8.113636363636363
UNIUSDT,long,16,6,0.375,1.1631249147532767,21.553620017187235,9.2734375
UNIUSDT,short,21,10,0.47619047619047616,1.9592997821246463,81.14586864263138,9.924603174603174
XLMUSDT,long,19,4,0.21052631578947367,0.2316929635088041,-51.7044277801815,6.394736842105263
XLMUSDT,short,16,11,0.6875,2.099585222132174,29.990664101006125,10.903645833333334
XMRUSDT,long,20,7,0.35,1.0829071371256946,3.706741055001127,9.74583333275463
XMRUSDT,short,25,4,0.16,0.3288056524867085,-62.39081867430142,6.918333333333333
XRPUSDT,long,20,5,0.25,0.3819872933127169,-41.77229716236008,6.764583333333333
XRPUSDT,short,25,10,0.4,0.7950831042168685,-9.988810214589547,8.636666666203704
ZECUSDT,long,20,6,0.3,1.4386462395961304,73.15381355472528,7.075
ZECUSDT,short,19,8,0.42105263157894735,0.8669954498962066,-25.687892428043646,6.870614035087719
