variant,window,start_ts,end_ts,return_pct,path_mdd_pct
combined,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,-0.14145034539168044,-0.14145034539168044
combined,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,-0.27031369595409416,-4.721283974372192
combined,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,2.006497960153064,-10.392997103136848
combined,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,11.002827086774158,-10.392997103136848
combined,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,5.048558428922978,-16.36071049905945
combined,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,18.760121758924676,-18.262933020619855
long_only,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
long_only,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
long_only,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,2.76748853776021,-7.442484060352806
long_only,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,3.1701422949881097,-7.442484060352806
long_only,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,9.014973098198231,-13.276680039810962
long_only,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,9.014973098198231,-13.276680039810962
short_only,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,-0.14145034539166934,-0.14145034539166934
short_only,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,-0.27031369595409416,-4.721283974372237
short_only,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,-0.740497397022144,-6.373802223892289
short_only,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,7.592007355568486,-6.373802223892289
short_only,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,-2.711840339823801,-16.11385174030695
short_only,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,9.98678953563903,-18.021688612411758
