variant,window,start_ts,end_ts,return_pct,path_mdd_pct
combined,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
combined,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
combined,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
combined,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,-34.46956194304924,-46.7420390975146
combined,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,-29.068060400137362,-46.7420390975146
combined,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,-69.93245830403951,-71.61131478602945
long_only,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
long_only,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
long_only,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
long_only,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,-8.701445010891074,-27.07726783716743
long_only,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,5.680928230043358,-27.07726783716743
long_only,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,-34.542868345284504,-43.173371230587435
short_only,1d,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
short_only,7d,2026-08-05T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
short_only,1m,2026-07-13T00:00:00+00:00,2026-08-12T00:00:00+00:00,0.0,0.0
short_only,3m,2026-05-14T00:00:00+00:00,2026-08-12T00:00:00+00:00,-28.22401398930372,-35.758492858729184
short_only,6m,2026-02-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,-32.88104032786329,-35.758492858729184
short_only,1y,2025-08-12T00:00:00+00:00,2026-08-12T00:00:00+00:00,-59.44996833219478,-61.71412694545242
