symbol,window,variant,start_ts,end_ts,days,equity_multiple,net_return_pct,max_drawdown_pct,sharpe,closed_trades,long_trades,short_trades,win_rate,profit_factor,turnover_multiple,cost_pct_initial,funding_pct_initial,max_intraday_leverage,bankrupt_intraday,annualized_factor
BTCUSDT,full,base,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,0.9672310635601051,-3.276893643989487,-42.3338905928101,0.06392748558428776,49.0,22.0,27.0,0.3673469387755102,0.9664318960139873,106.29728603886704,14.88162004544148,2.147340127824184,1.0247316250672736,False,
BTCUSDT,full,stress_8bps,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,0.930028720834096,-6.9971279165903955,-43.94056966511769,-0.011306896577690137,49.0,22.0,27.0,0.3673469387755102,0.9288187671741234,104.3279669872147,18.77903405769864,2.1330375562816073,1.0247316250672678,False,
BTCUSDT,full,one_day_extra_delay,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,1.3288945187464865,32.88945187464864,-34.33014685630613,0.7236614777850005,43.0,21.0,22.0,0.46511627906976744,1.332324626667534,124.80914290146063,17.47328000620453,0.9900116423625187,1.0789884980565414,False,
BTCUSDT,full,funding_off,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,0.9849429466123697,-1.5057053387630304,-42.16129921974709,0.09917672302281742,49.0,22.0,27.0,0.3673469387755102,0.9847774409767883,107.88427095047393,15.103797933066264,0.0,1.0247261298063144,False,
BTCUSDT,full,buy_and_hold,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,,0.8261937181326177,-17.380628186738235,,,,,,,,,0.2749587811134315,13.784407320393054,,,0.9087734646950723
BTCUSDT,hype_common,base,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.9154057939810416,-8.45942060189584,-25.591657149854264,-0.22455112036498925,29.0,14.0,15.0,0.3793103448275862,0.8347794504843772,55.446766124385306,7.762547257413943,0.4032463298487131,1.0156244475432386,False,
BTCUSDT,hype_common,stress_8bps,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.8944955414357705,-10.550445856422952,-26.95881423704244,-0.3103227839804487,29.0,14.0,15.0,0.3793103448275862,0.7969808767099191,54.83121508475795,9.869618715256468,0.40354119231250046,1.0156244475432328,False,
BTCUSDT,hype_common,one_day_extra_delay,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.7798520540257068,-22.014794597429322,-34.33014685630616,-0.877669195206796,27.0,14.0,13.0,0.2962962962962963,0.5439030586129376,47.66100218348435,6.6725403056878125,0.35712323416389713,1.0584398645876822,False,
BTCUSDT,hype_common,funding_off,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.9188000044908221,-8.11999955091779,-25.527107135251313,-0.21077136478594544,29.0,14.0,15.0,0.3793103448275862,0.841451559265195,55.65963648008534,7.792349107211905,0.0,1.0156244475432386,False,
BTCUSDT,hype_common,buy_and_hold,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,,0.5722675395673202,-42.773246043267974,,,,,,,,,0.22582386211974403,4.129789386139934,,,0.6189817227287105
