symbol,window,start_ts,end_ts,return_pct,path_mdd_pct
BTCUSDT,1d,2026-07-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,0.0,0.0
BTCUSDT,7d,2026-07-23T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.82083910329356,-3.2802715474743893
BTCUSDT,1m,2026-06-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.297628087860848,-5.717474098190278
BTCUSDT,3m,2026-05-01T00:00:00+00:00,2026-07-30T00:00:00+00:00,1.5857322023217435,-7.639229440682316
BTCUSDT,6m,2026-01-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.3987136006982213,-17.665220845714448
BTCUSDT,1y,2025-07-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-12.95307260875177,-25.09438670782298
BTCUSDT,1d,2026-07-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,0.0,0.0
BTCUSDT,7d,2026-07-23T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.82083910329356,-3.280271547474378
BTCUSDT,1m,2026-06-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.297628087860848,-5.717474098190256
BTCUSDT,3m,2026-05-01T00:00:00+00:00,2026-07-30T00:00:00+00:00,1.5857322023217435,-7.639229440682338
BTCUSDT,6m,2026-01-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.3987136006982213,-17.66522084571448
BTCUSDT,1y,2025-07-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-12.953072608751793,-25.09438670782305
ETHUSDT,1d,2026-07-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-0.7500531521707376,-3.3469165118138466
ETHUSDT,7d,2026-07-23T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.5663286748485614,-6.368181196301547
ETHUSDT,1m,2026-06-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-11.632624507383294,-14.936265038739771
ETHUSDT,3m,2026-05-01T00:00:00+00:00,2026-07-30T00:00:00+00:00,-1.1548946055999987,-15.66301813967006
ETHUSDT,6m,2026-01-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-12.713673504938438,-36.18468991998679
ETHUSDT,1y,2025-07-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-28.234934722337034,-36.60889346856887
ETHUSDT,1d,2026-07-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-0.7500531521707487,-3.3469165118138466
ETHUSDT,7d,2026-07-23T00:00:00+00:00,2026-07-30T00:00:00+00:00,-2.5663286748485836,-6.368181196301547
ETHUSDT,1m,2026-06-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-11.63262450738326,-14.936265038739727
ETHUSDT,3m,2026-05-01T00:00:00+00:00,2026-07-30T00:00:00+00:00,-1.154894605599932,-15.663018139670015
ETHUSDT,6m,2026-01-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,-12.713673504938438,-36.18468991998688
ETHUSDT,1y,2025-07-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,-28.23493472233719,-36.60889346856907
