variant,rebalance,lookback_month,eligible,status,longs,shorts,long_formation,short_formation,long_hold,short_hold,spread_hold,min_adv,median_adv
all_listed_momentum,2020-02-01,2020-01,2,flat,,,,,,,,,
all_listed_momentum,2020-03-01,2020-02,11,traded,"LINK,ETH,XRP","ETC,BCH,EOS",0.19999789193648684,-0.2294350091502232,-0.35841128080225526,-0.3289479229630868,-0.02946335783916848,67086345.78572,84164845.72611648
all_listed_momentum,2020-04-01,2020-03,24,traded,"DASH,XRP,BTC","VET,ONT,LINK",-0.24366396193995118,-0.4457904768771872,0.2697984547932373,0.45635463795413195,-0.18655618316089467,2063027.698980333,25743908.7164965
all_listed_momentum,2020-05-01,2020-04,24,traded,"XTZ,XLM,LINK","BCH,LTC,IOST",0.6697153788075448,0.18086500080886636,0.06001659842571253,0.0753431277636079,-0.015326529337895363,2179295.2269421997,43424076.7102025
all_listed_momentum,2020-06-01,2020-05,24,traded,"ADA,VET,IOST","DASH,EOS,BCH",0.42308746676949366,-0.05128647739683453,0.2363078521457492,-0.09702810900297949,0.3333359611487287,4874318.3292508675,20171217.990143634
all_listed_momentum,2020-07-01,2020-06,25,traded,"VET,BAT,IOST","ETC,XTZ,XRP",0.25867528709159343,-0.15613335687157817,0.341320738553996,0.3272015860547926,0.014119152499203369,10191589.605749,20863434.551071
all_listed_momentum,2020-08-01,2020-07,30,traded,"VET,LINK,ADA","COMP,BAT,ZIL",0.7793819380830257,-0.11165033373203333,0.2975954952712872,0.47220621513878047,-0.17461071986749327,9718590.304299999,52406088.27256104
all_listed_momentum,2020-09-01,2020-08,37,traded,"OMG,BAND,LEND","ADA,ETC,BCH",1.9156332218464904,-0.1061786852975413,-0.3330436611660582,-0.1741320040552251,-0.1589116571108331,37086957.60112467,82590576.83645251
all_listed_momentum,2020-10-01,2020-09,43,traded,"THETA,BNB,XMR","BAND,KNC,COMP",0.32864629472486007,-0.4681962008386922,-0.013135754522849504,-0.28302290668988633,0.26988715216703685,6854003.549665334,28531144.52274117
all_listed_momentum,2020-11-01,2020-10,62,traded,"BTC,WAVES,LTC","FLM,YFII,FTM",0.2433149948488346,-0.6393770773963657,0.7373533790031978,0.36500689039501694,0.3723464886081808,4068126.4156795335,47731972.28256533
