variant,slice,n_days,start,end,net_return,max_drawdown
all_listed_momentum,1d,1,2026-06-30,2026-06-30,-0.0502074364203986,0.0
all_listed_momentum,7d,7,2026-06-24,2026-06-30,0.2865496827884766,-0.07583664988252148
all_listed_momentum,1m,31,2026-05-31,2026-06-30,-0.7435637228489556,-0.8562176401409202
all_listed_momentum,3m,92,2026-03-31,2026-06-30,-0.8637024917389468,-0.9200667273368133
all_listed_momentum,6m,182,2025-12-31,2026-06-30,-0.6352088281373187,-0.9635104709541901
all_listed_momentum,1y,365,2025-07-01,2026-06-30,-0.7886345491362288,-0.9635104709541901
adv10m_momentum,1d,1,2026-06-30,2026-06-30,-0.0502074364203986,0.0
adv10m_momentum,7d,7,2026-06-24,2026-06-30,0.2865496827884766,-0.07583664988252148
adv10m_momentum,1m,31,2026-05-31,2026-06-30,-0.7429287217997502,-0.8562176401409202
adv10m_momentum,3m,92,2026-03-31,2026-06-30,-0.8672887838554695,-0.9221699504203256
adv10m_momentum,6m,182,2025-12-31,2026-06-30,-0.625293205021979,-0.9579570823969967
adv10m_momentum,1y,365,2025-07-01,2026-06-30,-0.7434682755365083,-0.9579570823969967
adv10m_reversal,1d,1,2026-06-30,2026-06-30,0.04460743642039855,0.0
adv10m_reversal,7d,7,2026-06-24,2026-06-30,-0.2649758947381564,-0.2387697737003417
adv10m_reversal,1m,31,2026-05-31,2026-06-30,-0.022853941167057856,-0.601795262556277
adv10m_reversal,3m,92,2026-03-31,2026-06-30,-0.21641970910658592,-0.601795262556277
adv10m_reversal,6m,182,2025-12-31,2026-06-30,-0.9359676743979095,-0.9562095260912493
adv10m_reversal,1y,365,2025-07-01,2026-06-30,-0.9973690876538897,-0.9988483135913568
