net_return,year,variant
-0.05677975984473971,2020,all_listed_momentum
-0.5130750708833673,2021,all_listed_momentum
-0.7498559417506365,2022,all_listed_momentum
-0.7418644645415435,2023,all_listed_momentum
-0.8741219378023501,2024,all_listed_momentum
-0.7400118714917541,2025,all_listed_momentum
-0.6304070832355789,2026,all_listed_momentum
-0.31765208559639024,2020,adv10m_momentum
-0.3470099277197818,2021,adv10m_momentum
-0.5867212157342747,2022,adv10m_momentum
-0.7480260221165744,2023,adv10m_momentum
-0.8741219378023501,2024,adv10m_momentum
-0.6769590141833344,2025,adv10m_momentum
-0.6145850311586578,2026,adv10m_momentum
-0.2945701291674475,2020,adv10m_reversal
-0.8821961687701211,2021,adv10m_reversal
-0.29033278052586053,2022,adv10m_reversal
0.6240184276485425,2023,adv10m_reversal
1.4572841674139836,2024,adv10m_reversal
-0.9606142456415876,2025,adv10m_reversal
-0.9376986241998786,2026,adv10m_reversal
