strategy,label,cost_bps_one_way,start_ts,end_ts,observations,years,cagr,annualized_arithmetic_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,positive_month_ratio,annualized_turnover,total_turnover,gross_total_return,net_total_return,average_gross_leverage,max_gross_leverage,average_portfolio_scalar
tsmom_1m,1M,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,-0.0008950407852679199,0.003939723097383265,0.09841129288765262,0.04003324193576945,0.05710876891362823,-0.17095064095169032,-0.005235667911422767,0.5030408340573415,0.4727272727272727,31.797884870173885,145.38663308197232,-0.004085778049376598,-0.004085778049376598,2.5440122423500684,3.0000000000000013,2.4098652228461437
tsmom_1m,1M,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,-0.007226115539147759,-0.0024264683077700037,0.09838002137921478,-0.024664238467858833,-0.03502909553015818,-0.1758344618958756,-0.041096127921879555,0.5030408340573415,0.4727272727272727,31.797884870173885,145.38663308197232,-0.004085778049376598,-0.03261553265289807,2.5440122423500684,3.0000000000000013,2.4098652228461437
tsmom_3m,3M,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.0005912215712660096,0.005271333502219333,0.09672785083626058,0.05449654320494069,0.07515946519964825,-0.23680012827365504,0.0024967113640359685,0.5334491746307559,0.509090909090909,18.908575177325737,86.4539919127556,0.0027060456344079054,0.0027060456344079054,2.5465796953573183,3.0000000000000013,2.449092690487187
tsmom_3m,3M,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,-0.0031853257252089096,0.0014856852029987583,0.09672370257128277,0.015360094408129675,0.021139577697957265,-0.24387447198956957,-0.013061333149068365,0.5325803649000869,0.509090909090909,18.908575177325737,86.4539919127556,0.0027060456344079054,-0.014481347486947738,2.5465796953573183,3.0000000000000013,2.449092690487187
tsmom_12m,12M,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.05387156022233319,0.0563363112733286,0.08726131610045229,0.6456046480948802,0.9168692454848041,-0.13739673847242917,0.3920876202832382,0.5334491746307559,0.6181818181818182,11.960400673692046,54.68547330613475,0.271130381166395,0.271130381166395,2.594553322107338,3.0000000000000018,2.548112008257154
tsmom_12m,12M,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.05135172538308175,0.0539417431980643,0.0872872563770327,0.6179795933219139,0.8764497625295358,-0.14301891216097984,0.35905548858657976,0.5325803649000869,0.6181818181818182,11.960400673692046,54.68547330613475,0.271130381166395,0.25729325594816066,2.594553322107338,3.0000000000000018,2.548112008257154
composite,Composite,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.02716950833479892,0.03113053715898273,0.09272128302054468,0.33574316645386576,0.47607461217688846,-0.18293356257214377,0.14852117868794057,0.5430060816681147,0.5454545454545454,22.852726814547978,104.48748468253285,0.13039498370763503,0.13039498370763503,2.1943529673417648,3.000000000000001,2.8032954999298183
composite,Composite,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.022484595861076206,0.026555238090347044,0.09273426757682428,0.28635841727382777,0.40500580622641397,-0.1917873784341776,0.11723709894075764,0.5403996524761078,0.5454545454545454,22.852726814547978,104.48748468253285,0.13039498370763503,0.10701321700693822,2.1943529673417648,3.000000000000001,2.8032954999298183
long_only,Long-only RP,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.010092191799382588,0.015215245296859333,0.10164311738841346,0.14969282414584575,0.2111095980539505,-0.22500395131192052,0.044853398087182444,0.5039096437880104,0.6,2.4840060543159375,11.357399344853157,0.04698262651247953,0.04698262651247953,2.1641929616589453,3.0000000000000013,1.968253171306184
long_only,Long-only RP,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.009590144487100272,0.014717927375937868,0.1016466396357245,0.14479502154407806,0.20414213005229045,-0.22567915920015147,0.04249459507510357,0.5039096437880104,0.6,2.4840060543159375,11.357399344853157,0.04698262651247953,0.044605437017775085,2.1641929616589453,3.0000000000000013,1.968253171306184
