month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
2022-01,tsmom_1m,1M,0.0,0.0039488544196921715,0.0039488544196921715,-0.0328615823783438,5.879100035028003
2022-01,tsmom_1m,1M,2.0,0.0027799791532232554,0.0039488544196921715,-0.03286158237834391,5.879100035028003
2022-02,tsmom_1m,1M,0.0,0.010011703814454487,0.010011703814454487,-0.019921594991347602,2.6527567123667377
2022-02,tsmom_1m,1M,2.0,0.009474274603752386,0.010011703814454487,-0.01992159499134749,2.6527567123667377
2022-03,tsmom_1m,1M,0.0,0.03642104659083523,0.03642104659083523,-0.01720494922533755,1.3092862025076115
2022-03,tsmom_1m,1M,2.0,0.03615036880411426,0.03642104659083523,-0.01720494922533744,1.3092862025076115
2022-04,tsmom_1m,1M,0.0,0.02290170756991583,0.02290170756991583,-0.02530337197030119,1.5536883092332572
2022-04,tsmom_1m,1M,2.0,0.02258674923008397,0.02290170756991583,-0.02530337197030086,1.5536883092332572
2022-05,tsmom_1m,1M,0.0,-0.008336789939404232,-0.008336789939404232,-0.0420979634640779,1.3850269586085588
2022-05,tsmom_1m,1M,2.0,-0.00860889857809044,-0.008336789939404232,-0.0420979634640779,1.3850269586085588
2022-06,tsmom_1m,1M,0.0,-0.0247401316093232,-0.0247401316093232,-0.036908287235427384,3.403540334936986
2022-06,tsmom_1m,1M,2.0,-0.025407726093989225,-0.0247401316093232,-0.03690828723542716,3.403540334936986
2022-07,tsmom_1m,1M,0.0,-0.022376350816982304,-0.022376350816982304,-0.045462800930966774,2.863396040117376
2022-07,tsmom_1m,1M,2.0,-0.022935340135667226,-0.022376350816982304,-0.045462800930966774,2.863396040117376
2022-08,tsmom_1m,1M,0.0,-0.013326922623244641,-0.013326922623244641,-0.02451150530820445,2.2029533195135684
2022-08,tsmom_1m,1M,2.0,-0.01376023617539679,-0.013326922623244641,-0.02451150530820423,2.2029533195135684
2022-09,tsmom_1m,1M,0.0,0.08221450937024155,0.08221450937024155,-0.02604140784406539,2.297466486820053
2022-09,tsmom_1m,1M,2.0,0.08172339136105111,0.08221450937024155,-0.0260414078440655,2.297466486820053
2022-10,tsmom_1m,1M,0.0,-0.005653827208667583,-0.005653827208667583,-0.026764097158952227,0.6603347101348925
2022-10,tsmom_1m,1M,2.0,-0.005786368108807727,-0.005653827208667583,-0.02676409715895256,0.6603347101348925
2022-11,tsmom_1m,1M,0.0,-0.011804949764557815,-0.011804949764557815,-0.017525204874421774,0.9399951770615571
2022-11,tsmom_1m,1M,2.0,-0.011990835793069032,-0.011804949764557815,-0.017525204874421774,0.9399951770615571
2022-12,tsmom_1m,1M,0.0,-0.009601348158873257,-0.009601348158873257,-0.03210745131140447,2.2146140046056884
2022-12,tsmom_1m,1M,2.0,-0.010035135557004193,-0.009601348158873257,-0.032107451311404356,2.2146140046056884
2023-01,tsmom_1m,1M,0.0,-0.01247749998611647,-0.01247749998611647,-0.010683369613160076,1.6792099452671376
2023-01,tsmom_1m,1M,2.0,-0.01281023962048311,-0.01247749998611647,-0.010683369613160076,1.6792099452671376
2023-02,tsmom_1m,1M,0.0,-0.04484831532814326,-0.04484831532814326,-0.057878166026257505,1.9450970554219242
2023-02,tsmom_1m,1M,2.0,-0.04521577389500553,-0.04484831532814326,-0.057878166026257616,1.9450970554219242
2023-03,tsmom_1m,1M,0.0,-0.054353111284342726,-0.054353111284342726,-0.06174034243892512,3.9905678720801667
2023-03,tsmom_1m,1M,2.0,-0.055106903507552096,-0.054353111284342726,-0.06174034243892523,3.9905678720801667
2023-04,tsmom_1m,1M,0.0,0.0037540487345169016,0.0037540487345169016,-0.01284571163313919,3.5418113379921867
2023-04,tsmom_1m,1M,2.0,0.00304589201807115,0.0037540487345169016,-0.0128457116331393,3.5418113379921867
2023-05,tsmom_1m,1M,0.0,0.00029867871766198206,0.00029867871766198206,-0.010697319348014767,0.9158293740466752
2023-05,tsmom_1m,1M,2.0,0.00011442007778206253,0.00029867871766198206,-0.010697319348014656,0.9158293740466752
2023-06,tsmom_1m,1M,0.0,-0.006702721756687513,-0.006702721756687513,-0.023331107149919705,2.920625311642212
2023-06,tsmom_1m,1M,2.0,-0.007288282261957768,-0.006702721756687513,-0.023331107149919927,2.920625311642212
2023-07,tsmom_1m,1M,0.0,0.025780724005824318,0.025780724005824318,-0.002665469893093908,2.023297103150719
2023-07,tsmom_1m,1M,2.0,0.025366388309470356,0.025780724005824318,-0.00266546989309413,2.023297103150719
2023-08,tsmom_1m,1M,0.0,-0.021968731564030564,-0.021968731564030564,-0.021803158886393392,0.974016331209493
2023-08,tsmom_1m,1M,2.0,-0.022160173834004704,-0.021968731564030564,-0.021803158886393725,0.974016331209493
2023-09,tsmom_1m,1M,0.0,0.07725374347988367,0.07725374347988367,-0.007584952736016004,3.053359428888985
2023-09,tsmom_1m,1M,2.0,0.07660029555062864,0.07725374347988367,-0.007584952736016004,3.053359428888985
2023-10,tsmom_1m,1M,0.0,0.03117559851559837,0.03117559851559837,-0.039710432484457936,0.1386503118152858
2023-10,tsmom_1m,1M,2.0,0.031147427954065998,0.03117559851559837,-0.0397104324844576,0.1386503118152858
2023-11,tsmom_1m,1M,0.0,-0.06448815623507043,-0.06448815623507043,-0.05611949968397911,1.232938189742469
2023-11,tsmom_1m,1M,2.0,-0.0647212353304375,-0.06448815623507043,-0.056119499683979335,1.232938189742469
2023-12,tsmom_1m,1M,0.0,0.0758514352897417,0.0758514352897417,-0.011018290235990658,4.334943153232225
2023-12,tsmom_1m,1M,2.0,0.07493380602703859,0.0758514352897417,-0.011018290235990658,4.334943153232225
2024-01,tsmom_1m,1M,0.0,-0.020886359883675598,-0.020886359883675598,-0.02859127528416827,0.6584068877536347
2024-01,tsmom_1m,1M,2.0,-0.021016567928498153,-0.020886359883675598,-0.028591275284168383,0.6584068877536347
2024-02,tsmom_1m,1M,0.0,0.038155070396773905,0.038155070396773905,-0.004709972862058209,2.9378642724354513
2024-02,tsmom_1m,1M,2.0,0.037543323699962716,0.038155070396773905,-0.004709972862058209,2.9378642724354513
2024-03,tsmom_1m,1M,0.0,-0.003658390017824975,-0.003658390017824975,-0.023731853239408185,1.3319191418710943
2024-03,tsmom_1m,1M,2.0,-0.003924702770090938,-0.003658390017824975,-0.023731853239408296,1.3319191418710943
2024-04,tsmom_1m,1M,0.0,-0.041208047493742295,-0.041208047493742295,-0.035796922927340935,3.7097904153399726
2024-04,tsmom_1m,1M,2.0,-0.04192668140186029,-0.041208047493742295,-0.035796922927340824,3.7097904153399726
2024-05,tsmom_1m,1M,0.0,-0.029354067665388173,-0.029354067665388173,-0.03678968167566654,4.540618399491435
2024-05,tsmom_1m,1M,2.0,-0.030245154194822432,-0.029354067665388173,-0.03678968167566643,4.540618399491435
2024-06,tsmom_1m,1M,0.0,0.006832453492535917,0.006832453492535917,-0.02165800448459887,5.402559552638291
2024-06,tsmom_1m,1M,2.0,0.005756973122472031,0.006832453492535917,-0.02165800448459898,5.402559552638291
2024-07,tsmom_1m,1M,0.0,0.006383326689900715,0.006383326689900715,-0.024846835677683976,1.8171405325338268
2024-07,tsmom_1m,1M,2.0,0.0060154413098860715,0.006383326689900715,-0.024846835677684087,1.8171405325338268
2024-08,tsmom_1m,1M,0.0,0.02213381801958536,0.02213381801958536,-0.022509962901371083,1.8634519702910233
2024-08,tsmom_1m,1M,2.0,0.021757575653854833,0.02213381801958536,-0.022509962901370972,1.8634519702910233
2024-09,tsmom_1m,1M,0.0,0.024244724283338348,0.024244724283338348,-0.006379548358451115,1.4376848446232382
2024-09,tsmom_1m,1M,2.0,0.023950084575451003,0.024244724283338348,-0.006379548358450893,1.4376848446232382
2024-10,tsmom_1m,1M,0.0,-0.058321089172787666,-0.058321089172787666,-0.0582309393517918,1.249791010466506
2024-10,tsmom_1m,1M,2.0,-0.0585564920739744,-0.058321089172787666,-0.0582309393517918,1.249791010466506
2024-11,tsmom_1m,1M,0.0,-0.018139724846007454,-0.018139724846007454,-0.03123246395427126,5.334667601126983
2024-11,tsmom_1m,1M,2.0,-0.01918192981238831,-0.018139724846007454,-0.03123246395427126,5.334667601126983
2024-12,tsmom_1m,1M,0.0,-0.00863732185595012,-0.00863732185595012,-0.022906443995870274,2.916693442596335
2024-12,tsmom_1m,1M,2.0,-0.00921279206779646,-0.00863732185595012,-0.022906443995870496,2.916693442596335
2025-01,tsmom_1m,1M,0.0,-0.009588434205505592,-0.009588434205505592,-0.03785140486998129,3.845119208163309
2025-01,tsmom_1m,1M,2.0,-0.01034710647888304,-0.009588434205505592,-0.037851404869981176,3.845119208163309
2025-02,tsmom_1m,1M,0.0,-0.015027554540462229,-0.015027554540462229,-0.024490306701625664,3.8280222771075794
2025-02,tsmom_1m,1M,2.0,-0.015781830922497186,-0.015027554540462229,-0.02449030670162544,3.8280222771075794
2025-03,tsmom_1m,1M,0.0,0.026883745460653197,0.026883745460653197,-0.022894076138121888,4.842697890995722
2025-03,tsmom_1m,1M,2.0,0.025902110003044987,0.026883745460653197,-0.022894076138121222,4.842697890995722
2025-04,tsmom_1m,1M,0.0,0.039528424371380044,0.039528424371380044,-0.03075613971759672,1.333130516592877
2025-04,tsmom_1m,1M,2.0,0.03925179166490378,0.039528424371380044,-0.030756139717596942,1.333130516592877
2025-05,tsmom_1m,1M,0.0,-0.005658651342547949,-0.005658651342547949,-0.015042672811749092,1.415858037359743
2025-05,tsmom_1m,1M,2.0,-0.00594147547061219,-0.005658651342547949,-0.015042672811749203,1.415858037359743
2025-06,tsmom_1m,1M,0.0,0.011455805687140774,0.011455805687140774,-0.007385147629306643,2.5505636883999494
2025-06,tsmom_1m,1M,2.0,0.01094291660797908,0.011455805687140774,-0.007385147629306865,2.5505636883999494
2025-07,tsmom_1m,1M,0.0,-0.011397317028651766,-0.011397317028651766,-0.017874667157544932,2.8335206732423925
2025-07,tsmom_1m,1M,2.0,-0.011957892953269433,-0.011397317028651766,-0.01787466715754482,2.8335206732423925
2025-08,tsmom_1m,1M,0.0,-0.02301454373333711,-0.02301454373333711,-0.015350070589469689,4.267963676712402
2025-08,tsmom_1m,1M,2.0,-0.02386479491750504,-0.02301454373333711,-0.015350070589469356,4.267963676712402
2025-09,tsmom_1m,1M,0.0,0.021961475878572,0.021961475878572,-0.017960335692983276,4.959265749524571
2025-09,tsmom_1m,1M,2.0,0.020940634383759926,0.021961475878572,-0.017960335692983387,4.959265749524571
2025-10,tsmom_1m,1M,0.0,0.023704701885417956,0.023704701885417956,-0.009605359707556604,3.55817660024583
2025-10,tsmom_1m,1M,2.0,0.022975884279290426,0.023704701885417956,-0.009605359707556715,3.55817660024583
2025-11,tsmom_1m,1M,0.0,0.010977924539733674,0.010977924539733674,-0.017936673646285373,3.2781316779249736
2025-11,tsmom_1m,1M,2.0,0.010317044675635989,0.010977924539733674,-0.017936673646285595,3.2781316779249736
2025-12,tsmom_1m,1M,0.0,0.007070302855373356,0.007070302855373356,-0.007389152607516047,1.8730654100576596
2025-12,tsmom_1m,1M,2.0,0.0066912521504987055,0.007070302855373356,-0.007389152607516047,1.8730654100576596
2026-01,tsmom_1m,1M,0.0,0.011322822562672252,0.011322822562672252,-0.010819852823778286,2.386696282412153
2026-01,tsmom_1m,1M,2.0,0.010841553180204855,0.011322822562672252,-0.010819852823778286,2.386696282412153
2026-02,tsmom_1m,1M,0.0,-0.009195391605821168,-0.009195391605821168,-0.01970746381159627,2.502240222813293
2026-02,tsmom_1m,1M,2.0,-0.009692705488411169,-0.009195391605821168,-0.019707463811596382,2.502240222813293
2026-03,tsmom_1m,1M,0.0,-0.013435091235779906,-0.013435091235779906,-0.0229457613992895,5.1695199946899955
2026-03,tsmom_1m,1M,2.0,-0.014462053519401441,-0.013435091235779906,-0.02294576139928939,5.1695199946899955
2026-04,tsmom_1m,1M,0.0,-0.04841634114462101,-0.04841634114462101,-0.057360457288650135,4.317803982534582
2026-04,tsmom_1m,1M,2.0,-0.04924580697850334,-0.04841634114462101,-0.057360457288650246,4.317803982534582
2026-05,tsmom_1m,1M,0.0,0.015400469757951729,0.015400469757951729,-0.0060377486608883535,2.3459585474574105
2026-05,tsmom_1m,1M,2.0,0.014923899523667572,0.015400469757951729,-0.0060377486608883535,2.3459585474574105
2026-06,tsmom_1m,1M,0.0,0.033196954851634874,0.033196954851634874,-0.011374125331529483,1.8815637454601153
2026-06,tsmom_1m,1M,2.0,0.03281030350973091,0.033196954851634874,-0.011374125331529483,1.8815637454601153
2026-07,tsmom_1m,1M,0.0,-0.030251530612288358,-0.030251530612288358,-0.03264209122157802,0.8842431236861857
2026-07,tsmom_1m,1M,2.0,-0.030423149998321963,-0.030251530612288358,-0.03264209122157835,0.8842431236861857
2022-01,tsmom_3m,3M,0.0,-0.0047471962620777575,-0.0047471962620777575,-0.020439209884931864,1.6717845665570754
2022-01,tsmom_3m,3M,2.0,-0.0050787331754259535,-0.0047471962620777575,-0.020439209884931864,1.6717845665570754
2022-02,tsmom_3m,3M,0.0,0.016122335571393753,0.016122335571393753,-0.021536947833962983,2.3607816801120096
2022-02,tsmom_3m,3M,2.0,0.015641081219317954,0.016122335571393753,-0.02153694783396287,2.3607816801120096
2022-03,tsmom_3m,3M,0.0,0.04794412755625932,0.04794412755625932,-0.020179517765532284,1.3826088372802674
2022-03,tsmom_3m,3M,2.0,0.047654950458305256,0.04794412755625932,-0.020179517765532284,1.3826088372802674
2022-04,tsmom_3m,3M,0.0,0.0677301277362028,0.0677301277362028,-0.007985640669040506,1.1688401079926274
2022-04,tsmom_3m,3M,2.0,0.06748186641939968,0.0677301277362028,-0.007985640669040617,1.1688401079926274
2022-05,tsmom_3m,3M,0.0,-0.01248181534335524,-0.01248181534335524,-0.030130725740420305,0.451563391041662
2022-05,tsmom_3m,3M,2.0,-0.012570707528685832,-0.01248181534335524,-0.030130725740419972,0.451563391041662
2022-06,tsmom_3m,3M,0.0,0.029818528295169955,0.029818528295169955,-0.03412474446040614,0.8523650597062119
2022-06,tsmom_3m,3M,2.0,0.029644132845179083,0.029818528295169955,-0.03412474446040603,0.8523650597062119
2022-07,tsmom_3m,3M,0.0,-0.02320036075916654,-0.02320036075916654,-0.04485008468224372,0.6677257400110943
2022-07,tsmom_3m,3M,2.0,-0.023330765122953845,-0.02320036075916654,-0.04485008468224372,0.6677257400110943
2022-08,tsmom_3m,3M,0.0,-0.0010313532266139624,-0.0010313532266139624,-0.009059332453536184,1.6657558537248824
2022-08,tsmom_3m,3M,2.0,-0.0013650576657164848,-0.0010313532266139624,-0.009059332453536517,1.6657558537248824
2022-09,tsmom_3m,3M,0.0,0.07060274717840609,0.07060274717840609,-0.026950291350049227,1.8927091825465703
2022-09,tsmom_3m,3M,2.0,0.0702034693249931,0.07060274717840609,-0.026950291350049227,1.8927091825465703
2022-10,tsmom_3m,3M,0.0,-0.0077563848148262116,-0.0077563848148262116,-0.030258347041128952,0.7782707507648692
2022-10,tsmom_3m,3M,2.0,-0.007912955119364296,-0.0077563848148262116,-0.030258347041128952,0.7782707507648692
2022-11,tsmom_3m,3M,0.0,-0.04804979433252987,-0.04804979433252987,-0.058952508028437434,0.1906888309690707
2022-11,tsmom_3m,3M,2.0,-0.04808613278771423,-0.04804979433252987,-0.05895250802843777,0.1906888309690707
2022-12,tsmom_3m,3M,0.0,0.003965216746805611,0.003965216746805611,-0.008535625157186644,1.061346788300143
2022-12,tsmom_3m,3M,2.0,0.003752029879604768,0.003965216746805611,-0.008535625157186422,1.061346788300143
2023-01,tsmom_3m,3M,0.0,0.00837779899082114,0.00837779899082114,-0.006759617623143588,0.7918733757886552
2023-01,tsmom_3m,3M,2.0,0.008217624481099195,0.00837779899082114,-0.006759617623143588,0.7918733757886552
2023-02,tsmom_3m,3M,0.0,-0.03922425550373665,-0.03922425550373665,-0.052140482683795786,1.6853255795470845
2023-02,tsmom_3m,3M,2.0,-0.03954504179725393,-0.03922425550373665,-0.052140482683795675,1.6853255795470845
2023-03,tsmom_3m,3M,0.0,-0.02122049550073879,-0.02122049550073879,-0.02626795623983469,2.577432541793036
2023-03,tsmom_3m,3M,2.0,-0.021723430354569806,-0.02122049550073879,-0.026267956239834578,2.577432541793036
2023-04,tsmom_3m,3M,0.0,0.016139614099678345,0.016139614099678345,-0.012970455960897853,2.7086150143682146
2023-04,tsmom_3m,3M,2.0,0.015590965038345006,0.016139614099678345,-0.012970455960897631,2.7086150143682146
2023-05,tsmom_3m,3M,0.0,0.006172209735456402,0.006172209735456402,-0.00932187482313318,0.8063130775454295
2023-05,tsmom_3m,3M,2.0,0.006009622088019473,0.006172209735456402,-0.00932187482313318,0.8063130775454295
2023-06,tsmom_3m,3M,0.0,0.008037860624122928,0.008037860624122928,-0.017408949958504394,0.8299473894858387
2023-06,tsmom_3m,3M,2.0,0.00787165039399973,0.008037860624122928,-0.017408949958504394,0.8299473894858387
2023-07,tsmom_3m,3M,0.0,0.00993426167724154,0.00993426167724154,-0.009003920114482034,2.7082796631945394
2023-07,tsmom_3m,3M,2.0,0.00938814000356758,0.00993426167724154,-0.009003920114482034,2.7082796631945394
2023-08,tsmom_3m,3M,0.0,-0.01650496888427,-0.01650496888427,-0.024646483487079762,0.8344274099064269
2023-08,tsmom_3m,3M,2.0,-0.01666897294285108,-0.01650496888427,-0.02464648348707965,0.8344274099064269
2023-09,tsmom_3m,3M,0.0,-0.004777682652280069,-0.004777682652280069,-0.017490785169239076,0.8661685706406884
2023-09,tsmom_3m,3M,2.0,-0.004949440124998206,-0.004777682652280069,-0.017490785169238965,0.8661685706406884
2023-10,tsmom_3m,3M,0.0,0.03093861346725646,0.03093861346725646,-0.03977135778659546,2.643596013660565
2023-10,tsmom_3m,3M,2.0,0.03040100039425342,0.03093861346725646,-0.039771357786595574,2.643596013660565
2023-11,tsmom_3m,3M,0.0,-0.10265178387560192,-0.10265178387560192,-0.09404266305887099,0.27260813785548393
2023-11,tsmom_3m,3M,2.0,-0.10270128978401993,-0.10265178387560192,-0.09404266305887099,0.27260813785548393
2023-12,tsmom_3m,3M,0.0,-0.00781628308567106,-0.00781628308567106,-0.01806467971472614,3.2175625986323575
2023-12,tsmom_3m,3M,2.0,-0.008455404908268793,-0.00781628308567106,-0.018064679714725917,3.2175625986323575
2024-01,tsmom_3m,3M,0.0,-0.016001066316226775,-0.016001066316226775,-0.026335448639701498,2.1550928152953954
