window,strategy,cost_bps_one_way,observations,net_return,max_drawdown,sharpe,turnover
1d,tsmom_1m,0.0,1,0.00317677818358586,0.0,,0.0
1d,tsmom_1m,2.0,1,0.00317677818358586,0.0,,0.0
7d,tsmom_1m,0.0,5,-0.007873406336299293,-0.01650276414236962,-3.996244152110577,0.0
7d,tsmom_1m,2.0,5,-0.007873406336299293,-0.01650276414236962,-3.996244152110577,0.0
1m,tsmom_1m,0.0,23,-0.0257703563993803,-0.03332245076127227,-4.236994940515853,0.8842431236861857
1m,tsmom_1m,2.0,23,-0.025942768832674545,-0.03349352667706884,-4.2665803346094675,0.8842431236861857
3m,tsmom_1m,0.0,64,-0.0004604943487677149,-0.03634492399676026,0.010756417783206436,5.111765416603712
3m,tsmom_1m,2.0,64,-0.0014802429908001846,-0.036515465016119575,-0.044820015205796565,5.111765416603712
6m,tsmom_1m,0.0,125,-0.05367516524936644,-0.0906442970465986,-1.1737847792800844,17.101329616641582
6m,tsmom_1m,2.0,125,-0.05692147180408169,-0.09238272052554775,-1.2450098431339067,17.101329616641582
1y,tsmom_1m,0.0,252,-0.010146580238298508,-0.09316850952422007,-0.08311269812753881,37.424629013519166
1y,tsmom_1m,2.0,252,-0.017567235050547025,-0.09535640261251954,-0.17322672286966742,37.424629013519166
1d,tsmom_3m,0.0,1,0.009589455150638138,0.0,,0.0
1d,tsmom_3m,2.0,1,0.009589455150638138,0.0,,0.0
7d,tsmom_3m,0.0,5,0.006219077223129421,-0.009433352191989264,3.2232907122065444,0.0
7d,tsmom_3m,2.0,5,0.006219077223129421,-0.009433352191989264,3.2232907122065444,0.0
1m,tsmom_3m,0.0,23,0.009941284388680138,-0.015354398941465175,1.5991026816920764,0.5682061157309202
1m,tsmom_3m,2.0,23,0.009826800352296994,-0.015354398941464842,1.581981118344783,0.5682061157309202
3m,tsmom_3m,0.0,64,0.029732924339516797,-0.017741612457651268,1.657148367488622,2.1688266685679576
3m,tsmom_3m,2.0,64,0.02928722077665169,-0.017852958440546796,1.6339649700487957,2.1688266685679576
6m,tsmom_3m,0.0,125,-0.03280894795439049,-0.08841402320523739,-0.735212711533245,10.999220246814145
6m,tsmom_3m,2.0,125,-0.03494451134305088,-0.08974828264013723,-0.7844161917456474,10.999220246814145
1y,tsmom_3m,0.0,252,0.024705878089641864,-0.09323054376640405,0.35100263630007944,22.360765159819678
1y,tsmom_3m,2.0,252,0.020107901073116663,-0.09484091217136292,0.29263062612124435,22.360765159819678
1d,tsmom_12m,0.0,1,0.00663129059046863,0.0,,0.0
1d,tsmom_12m,2.0,1,0.00663129059046863,0.0,,0.0
7d,tsmom_12m,0.0,5,-0.006387129209323272,-0.012798577270496825,-3.409464125296226,0.0
7d,tsmom_12m,2.0,5,-0.006387129209323272,-0.012798577270496825,-3.409464125296226,0.0
1m,tsmom_12m,0.0,23,0.022037614187228494,-0.017881817949310097,3.2408475791684714,0.6965130471187877
1m,tsmom_12m,2.0,23,0.021895843422360173,-0.017881817949310208,3.2233547928727218,0.6965130471187877
3m,tsmom_12m,0.0,64,0.03397758697882236,-0.02166827525754611,1.8971089421285328,4.064582909923482
3m,tsmom_12m,2.0,64,0.03313806054803625,-0.021838891109112635,1.852144924369312,4.064582909923482
6m,tsmom_12m,0.0,125,0.023719530439353376,-0.07976871224590631,0.5820131167540604,5.715327579624311
6m,tsmom_12m,2.0,125,0.022550654197473374,-0.07982746339720403,0.5558226761196243,5.715327579624311
1y,tsmom_12m,0.0,252,0.12808624792216938,-0.07976871224590654,1.558653418070987,14.288126127354293
1y,tsmom_12m,2.0,252,0.12486640772101132,-0.07982746339720426,1.522141996891739,14.288126127354293
1d,composite,0.0,1,0.007693739769079944,0.0,,0.0
1d,composite,2.0,1,0.007693739769079944,0.0,,0.0
7d,composite,0.0,5,-0.0031936366768364755,-0.012552007150472888,-1.6274530253574548,0.0
7d,composite,2.0,5,-0.0031936366768364755,-0.012552007150472888,-1.6274530253574548,0.0
1m,composite,0.0,23,0.0018089914821375341,-0.015916736713697865,0.30420855773483013,0.9077691161365413
1m,composite,2.0,23,0.0016275444512230397,-0.015916736713698088,0.27742570867365834,0.9077691161365413
3m,composite,0.0,64,0.02420895591689587,-0.020211394228861645,1.3743980216840228,4.322921940951042
3m,composite,2.0,64,0.023325201732699252,-0.020388852941004343,1.327085473534326,4.322921940951042
6m,composite,0.0,125,-0.027208557545183143,-0.08451478374713117,-0.5564579859795551,13.45485590772378
6m,composite,2.0,125,-0.029834888989287767,-0.08513470781077792,-0.6135028278146863,13.45485590772378
1y,composite,0.0,252,0.05778239036747901,-0.08496949138958165,0.6993295663159359,28.986876212528312
1y,composite,2.0,252,0.05164002603234308,-0.08589034359571412,0.6292127436750006,28.986876212528312
1d,long_only,0.0,1,-0.006667474595244416,0.0,,0.0
1d,long_only,2.0,1,-0.006667474595244416,0.0,,0.0
7d,long_only,0.0,5,0.000983745737801467,-0.006667474595244416,0.5288982695349914,0.0
7d,long_only,2.0,5,0.000983745737801467,-0.006667474595244416,0.5288982695349914,0.0
1m,long_only,0.0,23,-0.00992076374150308,-0.020584997799078297,-1.263398601289528,0.0650622405830441
1m,long_only,2.0,23,-0.009933719878329472,-0.020584997799077964,-1.2649603841062431,0.0650622405830441
3m,long_only,0.0,64,-0.017558219978924705,-0.043026287700314136,-0.6397360176796859,0.3388493085282398
3m,long_only,2.0,64,-0.01762494505446166,-0.04307040375270321,-0.6423415377224074,0.3388493085282398
6m,long_only,0.0,125,-0.012420630707729474,-0.07173567774359424,-0.18548184247163596,1.0773894923962983
6m,long_only,2.0,125,-0.012633841775642307,-0.07174925790645226,-0.189571617126189,1.0773894923962983
1y,long_only,0.0,252,0.11662557842044152,-0.07173567774359413,1.1661682337644999,2.15592973644518
1y,long_only,2.0,252,0.1161443144955796,-0.07174925790645237,1.1617931147219194,2.15592973644518
