surface,strategy,label,cost_bps_one_way,start_ts,end_ts,observations,years,cagr,annualized_arithmetic_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,positive_month_ratio,annualized_turnover,total_turnover,gross_total_return,net_total_return,average_gross_leverage,max_gross_leverage
24_yahoo_continuous_futures,mop_tsmom,MOP 12M TSMOM,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.07663238666797123,0.08824591321709079,0.15275596096036706,0.5776921087877311,0.8087408473109655,-0.2825756180029808,0.27119249427656866,0.5395308427454387,0.5818181818181818,18.27443941269933,83.55458951186279,0.40158388492647656,0.40158388492647656,4.061934450366206,5.625345734597833
24_yahoo_continuous_futures,mop_tsmom,MOP 12M TSMOM,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.07270132196896872,0.08445655650769092,0.15278309321070904,0.5527873191519538,0.7731065067868721,-0.2893269822418253,0.25127736585661237,0.5395308427454387,0.5818181818181818,18.27443941269933,83.55458951186279,0.40158388492647656,0.37833749793741167,4.061934450366206,5.625345734597833
24_yahoo_continuous_futures,always_long,Always-long control,0.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.021248911971418982,0.042684345307717454,0.2044031015849891,0.20882435235440722,0.29650594551167125,-0.3882414025961387,0.05473118484872874,0.5030408340573415,0.5818181818181818,3.4209527185810917,15.641317015825937,0.10090953096860189,0.10090953096860189,4.06270107411708,5.625345734597833
24_yahoo_continuous_futures,always_long,Always-long control,2.0,2022-01-03T00:00:00+00:00,2026-07-31T00:00:00+00:00,1151,4.572210814510609,0.020548594338822612,0.041974982363993614,0.2044120717754569,0.20534492899275736,0.29150664589799125,-0.388479143785308,0.05289497433143731,0.5030408340573415,0.5818181818181818,3.4209527185810917,15.641317015825937,0.10090953096860189,0.09746199037133052,4.06270107411708,5.625345734597833
30_etf_fx_proxies,mop_tsmom,MOP 12M TSMOM,0.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.0852645146860056,0.09763343413180138,0.15942294419565045,0.6124177082815732,0.8570938548773693,-0.3200622440106361,0.26639979029570304,0.5364568081991216,0.5460122699386503,16.712420768075024,226.8588149708856,2.0364746726478575,2.0364746726478575,4.715569797522785,7.732793054251598
30_etf_fx_proxies,mop_tsmom,MOP 12M TSMOM,2.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.08164300032644722,0.09416578255303702,0.1594286884837549,0.5906451558286018,0.825705561703717,-0.3220885558024067,0.2534799788929265,0.5355783308931186,0.5460122699386503,16.712420768075024,226.8588149708856,2.0364746726478575,1.9017798665330519,4.715569797522785,7.732793054251598
30_etf_fx_proxies,mop_tsmom,MOP 12M TSMOM,10.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.06726001980319496,0.08029517623797965,0.15955435013212516,0.5032465499780364,0.7004561286549635,-0.33376928655739535,0.2015165041005918,0.5332357247437775,0.5337423312883436,16.712420768075024,226.8588149708856,2.0364746726478575,1.4196230758249877,4.715569797522785,7.732793054251598
30_etf_fx_proxies,always_long,Always-long control,0.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.07154121334810748,0.09335010335150279,0.20739704202577974,0.45010334978595906,0.6207839659927,-0.4860223081978856,0.14719738608989782,0.5303074670571011,0.6134969325153374,4.275482442833745,58.036528272607,1.5547502935467672,1.5547502935467672,4.71639480673729,7.732793054251598
30_etf_fx_proxies,always_long,Always-long control,2.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.0706250521926659,0.09246298570118654,0.2073991743241695,0.44582137803820204,0.6147558421202629,-0.4866891557163081,0.14511326452039003,0.5303074670571011,0.6134969325153374,4.275482442833745,58.036528272607,1.5547502935467672,1.525258944074141,4.71639480673729,7.732793054251598
30_etf_fx_proxies,always_long,Always-long control,10.0,2013-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,3415,13.574264202600958,0.0669672203310685,0.0889145150999214,0.20741227227608253,0.4286849284480572,0.5906545356943037,-0.4893485350899037,0.13684974109254297,0.5300146412884333,0.6134969325153374,4.275482442833745,58.036528272607,1.5547502935467672,1.410627786927158,4.71639480673729,7.732793054251598
