surface,window,strategy,cost_bps_one_way,observations,net_return,max_drawdown,sharpe,turnover
24_yahoo_continuous_futures,1d,mop_tsmom,0.0,1,0.009440173499186022,0.0,,0.0
24_yahoo_continuous_futures,1d,mop_tsmom,2.0,1,0.009440173499186022,0.0,,0.0
24_yahoo_continuous_futures,7d,mop_tsmom,0.0,5,-0.01503611301329999,-0.021678519782826644,-5.291218603849282,0.0
24_yahoo_continuous_futures,7d,mop_tsmom,2.0,5,-0.01503611301329999,-0.021678519782826644,-5.291218603849282,0.0
24_yahoo_continuous_futures,1m,mop_tsmom,0.0,23,0.039455018451329815,-0.0305081219154707,3.482438348551053,1.326456732932094
24_yahoo_continuous_futures,1m,mop_tsmom,2.0,23,0.03918109976107709,-0.030508121915470476,3.4622248033962295,1.326456732932094
24_yahoo_continuous_futures,3m,mop_tsmom,0.0,64,0.04164920145776052,-0.04968284956968483,1.3908967920378588,6.831312470835259
24_yahoo_continuous_futures,3m,mop_tsmom,2.0,64,0.04022897135278791,-0.04999342614354163,1.346766242704905,6.831312470835259
24_yahoo_continuous_futures,6m,mop_tsmom,0.0,125,0.0003738739731611318,-0.15690627461072248,0.08717328128756266,10.116593851242982
24_yahoo_continuous_futures,6m,mop_tsmom,2.0,125,-0.0016479568603320338,-0.1570174608755931,0.06167004127732623,10.116593851242982
24_yahoo_continuous_futures,1y,mop_tsmom,0.0,252,0.19374939196697372,-0.16209639650368912,1.3130984458171868,23.580105934720567
24_yahoo_continuous_futures,1y,mop_tsmom,2.0,252,0.18813240673045062,-0.16228088561134346,1.279884299852135,23.580105934720567
24_yahoo_continuous_futures,1d,always_long,0.0,1,-0.014237700437156109,0.0,,0.0
24_yahoo_continuous_futures,1d,always_long,2.0,1,-0.014237700437156109,0.0,,0.0
24_yahoo_continuous_futures,7d,always_long,0.0,5,-0.0008685346349697198,-0.014237700437156109,-0.1095434238813993,0.0
24_yahoo_continuous_futures,7d,always_long,2.0,5,-0.0008685346349697198,-0.014237700437156109,-0.1095434238813993,0.0
24_yahoo_continuous_futures,1m,always_long,0.0,23,-0.005587450093109014,-0.040259921570932944,-0.2632564887139953,0.15919236916426552
24_yahoo_continuous_futures,1m,always_long,2.0,23,-0.005619416850207282,-0.040259921570933055,-0.265216653965253,0.15919236916426552
