source,scope,factor,label,start_month,end_month,observations,years,cagr,annualized_arithmetic_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,positive_month_ratio,total_return
original,original_paper_1985_2009,TSMOM,Diversified,1985-01-31,2009-12-31,300,25.0,0.17603238139478683,0.170753471208,0.12329794235577483,1.384885002503065,2.66450360708207,-0.15231594938760706,1.1557055062357733,0.6733333333333333,56.607894028935
original,original_paper_1985_2009,TSMOM^EQ,Equity indices,1985-01-31,2009-12-31,300,25.0,0.2124352764240991,0.23408946974400002,0.2831060116564863,0.8268615292706616,1.4039480504194828,-0.47602141767073736,0.4462725174501286,0.6033333333333334,122.44232629113203
original,original_paper_1985_2009,TSMOM^FX,Currencies,1985-01-31,2009-12-31,300,25.0,0.1299028598163252,0.140527057196,0.1891255038189679,0.743035996512207,1.2266437738506843,-0.2959537059582714,0.43892966096069475,0.6,20.184962344549806
original,original_paper_1985_2009,TSMOM^FI,Fixed income,1985-01-31,2009-12-31,300,25.0,0.1922454493180703,0.22128736264399995,0.2978903251830321,0.742848437618895,1.2304394678666466,-0.5537215891618752,0.34718792454716657,0.5866666666666667,80.1225952924542
original,original_paper_1985_2009,TSMOM^CM,Commodities,1985-01-31,2009-12-31,300,25.0,0.14437153312657203,0.14475058354400003,0.13619507965216943,1.0628180101196065,1.952919442106875,-0.1943559715220582,0.7428201562110828,0.63,28.118979375137904
updated,updated_reconstruction_1985_2009,TSMOM,Diversified,1985-01-31,2009-12-31,300,25.0,0.17387881099029867,0.16840749643283875,0.1193204620776608,1.4113882355167986,2.7800338646676392,-0.15145097088667037,1.1480864729511102,0.6733333333333333,54.02772868205379
updated,updated_reconstruction_1985_2009,TSMOM^EQ,Equity indices,1985-01-31,2009-12-31,300,25.0,0.21266285390938844,0.23388376410214484,0.2817251533427832,0.8301841753461454,1.4123195323406703,-0.4736649103558571,0.44897320713417027,0.6033333333333334,123.02289464849967
updated,updated_reconstruction_1985_2009,TSMOM^FX,Currencies,1985-01-31,2009-12-31,300,25.0,0.13554203158786882,0.1446314812573578,0.1843802116711116,0.7844197592925231,1.315367683627444,-0.2850412409372721,0.47551726600045574,0.6,22.992767846236614
updated,updated_reconstruction_1985_2009,TSMOM^FI,Fixed income,1985-01-31,2009-12-31,300,25.0,0.1783735364238972,0.20920982763615473,0.2966400834830245,0.7052648623196835,1.1475606415838546,-0.5488750624699491,0.3249802161191521,0.59,59.54447491971007
updated,updated_reconstruction_1985_2009,TSMOM^CM,Commodities,1985-01-31,2009-12-31,300,25.0,0.13943803311623681,0.140803099393039,0.13917984379228165,1.0116630077784825,1.8078397466315426,-0.19580546836921253,0.712125326619128,0.6466666666666666,25.137725350608907
updated,updated_post_paper_2010_latest,TSMOM,Diversified,2010-01-29,2026-05-29,197,16.416666666666668,0.04498154549955968,0.052511113719091854,0.13057187454106484,0.40216251703254147,0.6379269010271055,-0.27910776635734014,0.1611619271173202,0.5177664974619289,1.0592063011082264
updated,updated_post_paper_2010_latest,TSMOM^EQ,Equity indices,2010-01-29,2026-05-29,197,16.416666666666668,-0.012368590035016225,0.02336156102033847,0.262541431879081,0.08898237833599586,0.11935778858747301,-0.8045626754697651,-0.01537305969083701,0.5685279187817259,-0.18479625127362076
updated,updated_post_paper_2010_latest,TSMOM^FX,Currencies,2010-01-29,2026-05-29,197,16.416666666666668,0.018421643826454837,0.03438853406972614,0.18109164383806836,0.1898957530060099,0.2897175094085967,-0.470989736493177,0.039112622630836674,0.5380710659898477,0.3494136637737679
updated,updated_post_paper_2010_latest,TSMOM^FI,Fixed income,2010-01-29,2026-05-29,197,16.416666666666668,0.09456230660978315,0.13252295701262243,0.2921451560285273,0.45362024417643215,0.7532808760358172,-0.5610980681640078,0.16853080054116815,0.5228426395939086,3.407557797406917
updated,updated_post_paper_2010_latest,TSMOM^CM,Commodities,2010-01-29,2026-05-29,197,16.416666666666668,0.016477813404383923,0.02916373735514486,0.16064540111264772,0.1815410659325048,0.2739691859455131,-0.46309776738484665,0.03558171635643067,0.5126903553299492,0.3077475650169146
updated,updated_full_1985_latest,TSMOM,Diversified,1985-01-31,2026-05-29,497,41.416666666666664,0.12098643393808128,0.12246868879781231,0.12485220937190986,0.98090926395225,1.7494008686850564,-0.27910776635734036,0.4334756983551039,0.6116700201207244,112.31344563775896
updated,updated_full_1985_latest,TSMOM^EQ,Equity indices,1985-01-31,2026-05-29,497,41.416666666666664,0.11790490559016442,0.15043733752847108,0.2756240037712572,0.5458063719781111,0.8444242357026936,-0.8045626754697652,0.14654533348980242,0.5895372233400402,100.10392864535366
updated,updated_full_1985_latest,TSMOM^FX,Currencies,1985-01-31,2026-05-29,497,41.416666666666664,0.08758747156632984,0.1009335726135682,0.18356306208467127,0.549857751702851,0.889276891318962,-0.47098973649317666,0.18596471383532737,0.5754527162977867,31.376168763463554
updated,updated_full_1985_latest,TSMOM^FI,Fixed income,1985-01-31,2026-05-29,497,41.416666666666664,0.14441102484915613,0.1788128185560021,0.2947704340385535,0.6066172109127297,0.9944749939589232,-0.5610980681640079,0.2573721654784687,0.5633802816901409,265.85327252227603
updated,updated_full_1985_latest,TSMOM^CM,Commodities,1985-01-31,2026-05-29,497,41.416666666666664,0.08901334129476046,0.09655168224723387,0.14874206299043735,0.6491215753370396,1.0692971692521294,-0.46309776738484687,0.19221284912995046,0.5935613682092555,33.18154668233965
