source,scope,year,factor,label,return
original,original_paper_1985_2009,1985,TSMOM,Diversified,0.3170224194968705
original,original_paper_1985_2009,1985,TSMOM^EQ,Equity indices,1.0474402592781527
original,original_paper_1985_2009,1985,TSMOM^FX,Currencies,-0.051908473535446475
original,original_paper_1985_2009,1985,TSMOM^FI,Fixed income,0.3289256350049108
original,original_paper_1985_2009,1985,TSMOM^CM,Commodities,0.20248510872414482
original,original_paper_1985_2009,1986,TSMOM,Diversified,0.2968318402747001
original,original_paper_1985_2009,1986,TSMOM^EQ,Equity indices,0.8545798298604153
original,original_paper_1985_2009,1986,TSMOM^FX,Currencies,0.11739951099069046
original,original_paper_1985_2009,1986,TSMOM^FI,Fixed income,0.21244459453445685
original,original_paper_1985_2009,1986,TSMOM^CM,Commodities,0.09419073865941496
original,original_paper_1985_2009,1987,TSMOM,Diversified,0.2945726722083908
original,original_paper_1985_2009,1987,TSMOM^EQ,Equity indices,0.08726827143602311
original,original_paper_1985_2009,1987,TSMOM^FX,Currencies,0.38077611100681996
original,original_paper_1985_2009,1987,TSMOM^FI,Fixed income,0.05619518708891125
original,original_paper_1985_2009,1987,TSMOM^CM,Commodities,0.36272513560618225
original,original_paper_1985_2009,1988,TSMOM,Diversified,0.07587975928729396
original,original_paper_1985_2009,1988,TSMOM^EQ,Equity indices,-0.1912691917849455
original,original_paper_1985_2009,1988,TSMOM^FX,Currencies,0.3684825887436505
original,original_paper_1985_2009,1988,TSMOM^FI,Fixed income,0.24155650426545594
original,original_paper_1985_2009,1988,TSMOM^CM,Commodities,-0.0022188283163787625
original,original_paper_1985_2009,1989,TSMOM,Diversified,0.22058329565956614
original,original_paper_1985_2009,1989,TSMOM^EQ,Equity indices,0.18797037597849808
original,original_paper_1985_2009,1989,TSMOM^FX,Currencies,0.1754828472360519
original,original_paper_1985_2009,1989,TSMOM^FI,Fixed income,0.1502590737865377
original,original_paper_1985_2009,1989,TSMOM^CM,Commodities,0.20406144896908107
original,original_paper_1985_2009,1990,TSMOM,Diversified,0.12842158302943907
original,original_paper_1985_2009,1990,TSMOM^EQ,Equity indices,0.051316302201697805
original,original_paper_1985_2009,1990,TSMOM^FX,Currencies,-0.02845739907060163
original,original_paper_1985_2009,1990,TSMOM^FI,Fixed income,0.4340762024149458
original,original_paper_1985_2009,1990,TSMOM^CM,Commodities,0.1578872310994166
original,original_paper_1985_2009,1991,TSMOM,Diversified,0.05688289149129355
original,original_paper_1985_2009,1991,TSMOM^EQ,Equity indices,-0.17909049927626863
original,original_paper_1985_2009,1991,TSMOM^FX,Currencies,-0.023016393688072845
original,original_paper_1985_2009,1991,TSMOM^FI,Fixed income,0.4324620246009445
original,original_paper_1985_2009,1991,TSMOM^CM,Commodities,0.10903970380369343
original,original_paper_1985_2009,1992,TSMOM,Diversified,0.21783538764412835
original,original_paper_1985_2009,1992,TSMOM^EQ,Equity indices,0.24323510149394778
original,original_paper_1985_2009,1992,TSMOM^FX,Currencies,0.2785293240014308
original,original_paper_1985_2009,1992,TSMOM^FI,Fixed income,0.3733853171558077
original,original_paper_1985_2009,1992,TSMOM^CM,Commodities,0.09440763429922483
original,original_paper_1985_2009,1993,TSMOM,Diversified,0.3128465500754314
original,original_paper_1985_2009,1993,TSMOM^EQ,Equity indices,0.032806175533767856
original,original_paper_1985_2009,1993,TSMOM^FX,Currencies,0.210632306362172
original,original_paper_1985_2009,1993,TSMOM^FI,Fixed income,1.5218915276868255
original,original_paper_1985_2009,1993,TSMOM^CM,Commodities,0.20170181290302658
original,original_paper_1985_2009,1994,TSMOM,Diversified,-0.06279816309003383
original,original_paper_1985_2009,1994,TSMOM^EQ,Equity indices,-0.242741204434064
original,original_paper_1985_2009,1994,TSMOM^FX,Currencies,0.08391462647660619
original,original_paper_1985_2009,1994,TSMOM^FI,Fixed income,-0.4534799623603366
original,original_paper_1985_2009,1994,TSMOM^CM,Commodities,0.14343603282616235
original,original_paper_1985_2009,1995,TSMOM,Diversified,0.1488341554108319
original,original_paper_1985_2009,1995,TSMOM^EQ,Equity indices,0.05914309754435654
original,original_paper_1985_2009,1995,TSMOM^FX,Currencies,0.19150734104953981
original,original_paper_1985_2009,1995,TSMOM^FI,Fixed income,0.32622034545131817
original,original_paper_1985_2009,1995,TSMOM^CM,Commodities,0.06347395462138805
original,original_paper_1985_2009,1996,TSMOM,Diversified,0.2709982108675011
original,original_paper_1985_2009,1996,TSMOM^EQ,Equity indices,0.4070286495115045
original,original_paper_1985_2009,1996,TSMOM^FX,Currencies,0.3665192237912396
original,original_paper_1985_2009,1996,TSMOM^FI,Fixed income,-0.048289553090303805
original,original_paper_1985_2009,1996,TSMOM^CM,Commodities,0.2915908355808343
original,original_paper_1985_2009,1997,TSMOM,Diversified,0.2832972307758219
original,original_paper_1985_2009,1997,TSMOM^EQ,Equity indices,0.749154139301168
original,original_paper_1985_2009,1997,TSMOM^FX,Currencies,0.10489423758444283
original,original_paper_1985_2009,1997,TSMOM^FI,Fixed income,0.6956824215186719
original,original_paper_1985_2009,1997,TSMOM^CM,Commodities,0.03631875272281038
