window,factor,label,observations,return
1m,TSMOM,Diversified,1,2.558267023577976e-05
1m,TSMOM^EQ,Equity indices,1,0.07242587219856733
1m,TSMOM^FX,Currencies,1,0.017776323760883006
1m,TSMOM^FI,Fixed income,1,-0.035076926878029546
1m,TSMOM^CM,Commodities,1,-0.016986037109568253
3m,TSMOM,Diversified,3,0.07132260363964948
3m,TSMOM^EQ,Equity indices,3,-0.11850108809920823
3m,TSMOM^FX,Currencies,3,0.007854233987865777
3m,TSMOM^FI,Fixed income,3,0.079682873961203
3m,TSMOM^CM,Commodities,3,0.15215591049326993
6m,TSMOM,Diversified,6,0.18564307229932786
6m,TSMOM^EQ,Equity indices,6,0.12050601245923209
6m,TSMOM^FX,Currencies,6,0.1854488804009513
6m,TSMOM^FI,Fixed income,6,0.11783778424794389
6m,TSMOM^CM,Commodities,6,0.21202596090751435
1y,TSMOM,Diversified,12,0.2104305038462415
1y,TSMOM^EQ,Equity indices,12,0.32876534579123273
1y,TSMOM^FX,Currencies,12,0.2073088490944135
1y,TSMOM^FI,Fixed income,12,0.056205940429143064
1y,TSMOM^CM,Commodities,12,0.21552966938893792
