sizing_model,sizing_description,symbol,display_symbol,start_ts,end_ts,bars,entry_rule,exit_rule,fill_model,one_way_cost_bps,round_trip_cost_bps,max_leverage,target_ann_vol_pct,risk_budget_pct,drawdown_throttle,strategy_total_return_gross_pct,strategy_total_return_net_pct,strategy_cagr_gross_pct,strategy_cagr_net_pct,strategy_max_drawdown_gross_pct,strategy_max_drawdown_net_pct,buy_hold_total_return_gross_pct,buy_hold_total_return_net_pct,buy_hold_cagr_net_pct,trades,win_rate_net_pct,profit_factor_net,avg_trade_net_pct,median_trade_net_pct,best_trade_net_pct,worst_trade_net_pct,time_in_market_pct,avg_position_pct,max_position_pct,period_end_mark_trades
risk1_prev10stop_dd_cap1x,单笔风险 1% + 回撤降档，最高 1.0x,HYPEUSDT,HYPE/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,True,-0.45338673635050286,-0.49297405062838084,-0.4536965696915196,-0.49331086987468575,-1.5688386735715043,-1.5870238523028268,75.81781442848563,75.55418660436351,75.62186948218148,6,33.33333333333333,0.4954919812493185,-0.15224275487845845,-0.33269694303860176,0.5733933601765884,-0.6462186332805486,29.863013698630137,1.2824985563884677,4.980699008868023,0
risk1_prev10stop_cap1x,以前 10 日低点为风险距离，单笔风险 1%，最高 1.0x,HYPEUSDT,HYPE/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,False,-0.45338673635050286,-0.49297405062838084,-0.4536965696915196,-0.49331086987468575,-1.5688386735715043,-1.5870238523028268,75.81781442848563,75.55418660436351,75.62186948218148,6,33.33333333333333,0.4954919812493185,-0.15224275487845845,-0.33269694303860176,0.5733933601765884,-0.6462186332805486,29.863013698630137,1.2824985563884677,4.980699008868023,0
risk2_prev10stop_cap1p5x,以前 10 日低点为风险距离，单笔风险 2%，最高 1.5x,HYPEUSDT,HYPE/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.5,,2.0,False,-0.958862464147725,-1.037620734894884,-0.9595160583020235,-1.0383277315025863,-3.126475297350806,-3.1622673742452756,75.81781442848563,75.55418660436351,75.62186948218148,6,33.33333333333333,0.4954864529082625,-0.30446992775096104,-0.6653579008568056,1.1467002045123076,-1.2923555449911195,29.863013698630137,2.5649971127769353,9.961398017736046,0
risk1_prev10stop_cap1x,以前 10 日低点为风险距离，单笔风险 1%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,False,-3.2260429253368583,-3.309632915873295,-3.2282164881735964,-3.3118618286437695,-3.8983963690707,-3.9631410568288117,-43.8635575694767,-43.947730656373615,-43.96995080490117,5,20.0,0.11634624196494438,-0.6727115541787576,-0.6649023782435037,0.4428627193819423,-1.7300403984250257,29.315068493150687,3.2804067634946437,18.760169769539857,0
risk1_prev10stop_dd_cap1x,单笔风险 1% + 回撤降档，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,True,-3.2260429253368583,-3.309632915873295,-3.2282164881735964,-3.3118618286437695,-3.8983963690707,-3.9631410568288117,-43.8635575694767,-43.947730656373615,-43.96995080490117,5,20.0,0.11634624196494438,-0.6727115541787576,-0.6649023782435037,0.4428627193819423,-1.7300403984250257,29.315068493150687,3.2804067634946437,18.760169769539857,0
risk1_prev10stop_dd_cap1x,单笔风险 1% + 回撤降档，最高 1.0x,ETHUSDT,ETH/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,True,-3.260943818441675,-3.325509738227972,-3.2631404972677136,-3.327749158396598,-4.682521803000494,-4.730572682681622,-34.85462787874785,-34.952309292657915,-34.971466557179454,7,28.57142857142857,0.07393962175584586,-0.5045359341218176,-0.8169761122836405,0.27729709036645733,-1.0648669217253381,36.16438356164384,2.4378427647749077,9.739599383667175,0
risk1_prev10stop_cap1x,以前 10 日低点为风险距离，单笔风险 1%，最高 1.0x,ETHUSDT,ETH/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,,1.0,False,-3.260943818441675,-3.325509738227972,-3.2631404972677136,-3.327749158396598,-4.682521803000494,-4.730572682681622,-34.85462787874785,-34.952309292657915,-34.971466557179454,7,28.57142857142857,0.07393962175584586,-0.5045359341218176,-0.8169761122836405,0.27729709036645733,-1.0648669217253381,36.16438356164384,2.4378427647749077,9.739599383667175,0
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,HYPEUSDT,HYPE/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.0,20.0,,False,-5.256241396604155,-5.456894914288968,-5.259745177711861,-5.460528558001276,-8.744949708812989,-8.863942990255447,75.81781442848563,75.55418660436351,75.62186948218148,6,33.33333333333333,0.368015924495102,-1.176381074414786,-1.8771058066241242,2.673858739843271,-4.090177667363415,29.863013698630137,6.558697876654258,32.090933127923265,0
risk2_prev10stop_cap1p5x,以前 10 日低点为风险距离，单笔风险 2%，最高 1.5x,BTCUSDT,BTC/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.5,,2.0,False,-6.405028729497664,-6.566654887072065,-6.409272045298053,-6.571001477354255,-7.692525982768661,-7.816867740955081,-43.8635575694767,-43.947730656373615,-43.96995080490117,5,20.0,0.11635088181715225,-1.3451738094823473,-1.3294423978250869,0.8856012851145234,-3.459469386527747,29.315068493150687,6.560813526989287,37.520339539079714,0
risk2_prev10stop_cap1p5x,以前 10 日低点为风险距离，单笔风险 2%，最高 1.5x,ETHUSDT,ETH/USDT:USDT,2025-06-27T00:00:00+00:00,2026-06-26T00:00:00+00:00,365,close > prior 20 daily highs,close < prior 10 daily lows,same-day close diagnostic fill,7.5,15.0,1.5,,2.0,False,-6.4771446583124614,-6.601944949466043,-6.481434077778381,-6.606314063610563,-9.178365736422844,-9.269914042517335,-34.85462787874785,-34.952309292657915,-34.971466557179454,7,28.57142857142857,0.073939999461964,-1.0089713397629319,-1.6338236506766801,0.5545420417605751,-2.129551731317747,36.16438356164384,4.875685529549815,19.47919876733435,0
