sizing_model,sizing_description,symbol,display_symbol,entry_ts,exit_ts,entry_price,exit_price,entry_position_size,bars_held,exit_reason,underlying_return_pct,gross_return_pct,net_return_pct,entry_prev20_high,exit_prev10_low,sizing_note
fixed_1x,固定 1.0x 名义仓位,BTCUSDT,BTC/USDT:USDT,2025-08-13T00:00:00+00:00,2025-08-19T00:00:00+00:00,123323.9,112824.2,1.0,6,close_below_prev10_low,-8.513921470209752,-8.513921470209752,-8.65109912708527,122450.0,114605.0,固定 1.0x 名义仓位
fixed_1x,固定 1.0x 名义仓位,BTCUSDT,BTC/USDT:USDT,2025-10-01T00:00:00+00:00,2025-11-04T00:00:00+00:00,118552.4,101450.3,1.0,34,close_below_prev10_low,-14.425772907170153,-14.425772907170153,-14.554086112306663,117875.2,105300.0,固定 1.0x 名义仓位
fixed_1x,固定 1.0x 名义仓位,BTCUSDT,BTC/USDT:USDT,2026-01-04T00:00:00+00:00,2026-01-20T00:00:00+00:00,91497.1,88390.6,1.0,16,close_below_prev10_low,-3.3951895743143723,-3.3951895743143723,-3.5400424497470384,90945.1,90066.0,固定 1.0x 名义仓位
fixed_1x,固定 1.0x 名义仓位,BTCUSDT,BTC/USDT:USDT,2026-03-04T00:00:00+00:00,2026-03-22T00:00:00+00:00,72641.4,67830.6,1.0,18,close_below_prev10_low,-6.622669717268648,-6.622669717268648,-6.762683187944473,70938.5,68511.3,固定 1.0x 名义仓位
fixed_1x,固定 1.0x 名义仓位,BTCUSDT,BTC/USDT:USDT,2026-04-13T00:00:00+00:00,2026-05-16T00:00:00+00:00,74385.0,78104.2,1.0,33,close_below_prev10_low,4.999932782146943,4.999932782146943,4.842491945435912,73773.4,78610.0,固定 1.0x 名义仓位
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2025-08-13T00:00:00+00:00,2025-08-19T00:00:00+00:00,123323.9,112824.2,0.8579506569425147,6,close_below_prev10_low,-8.513921470209752,-7.304524518523436,-7.42377835458764,122450.0,114605.0,按前 20 日 realized vol 目标年化 20%，最高 1.0x; realized_vol20_ann=0.2331
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2025-10-01T00:00:00+00:00,2025-11-04T00:00:00+00:00,118552.4,101450.3,0.753182110923193,34,close_below_prev10_low,-14.425772907170153,-10.865234089921023,-10.965907714015021,117875.2,105300.0,按前 20 日 realized vol 目标年化 20%，最高 1.0x; realized_vol20_ann=0.2655
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2026-01-04T00:00:00+00:00,2026-01-20T00:00:00+00:00,91497.1,88390.6,0.8337280986697817,16,close_below_prev10_low,-3.3951895743143723,-2.830664948416587,-2.952146163117264,90945.1,90066.0,按前 20 日 realized vol 目标年化 20%，最高 1.0x; realized_vol20_ann=0.2399
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2026-03-04T00:00:00+00:00,2026-03-22T00:00:00+00:00,72641.4,67830.6,0.4126455720784778,18,close_below_prev10_low,-6.622669717268648,-2.732815334169132,-2.793011327465067,70938.5,68511.3,按前 20 日 realized vol 目标年化 20%，最高 1.0x; realized_vol20_ann=0.4847
vol20_target20_cap1x,按前 20 日 realized vol 目标年化 20%，最高 1.0x,BTCUSDT,BTC/USDT:USDT,2026-04-13T00:00:00+00:00,2026-05-16T00:00:00+00:00,74385.0,78104.2,0.5165895839883227,33,close_below_prev10_low,4.999932782146943,2.582913195898866,2.5034386980903545,73773.4,78610.0,按前 20 日 realized vol 目标年化 20%，最高 1.0x; realized_vol20_ann=0.3872
