variant_id,round_name,variant_json,signal_effective,development_pass,complete_development_pass,gate_failures,train_start,train_end_exclusive,train_return_pct,train_annual_return_pct,train_max_drawdown_pct,train_sharpe,train_trades,train_win_rate,train_profit_factor,train_long_trades,train_short_trades,train_top_trade_positive_pnl_share,train_top3_trade_positive_pnl_share,validation_start,validation_end_exclusive,validation_return_pct,validation_annual_return_pct,validation_max_drawdown_pct,validation_sharpe,validation_trades,validation_win_rate,validation_profit_factor,validation_long_trades,validation_short_trades,validation_top_trade_positive_pnl_share,validation_top3_trade_positive_pnl_share,stress_2x_train_start,stress_2x_train_end_exclusive,stress_2x_train_return_pct,stress_2x_train_annual_return_pct,stress_2x_train_max_drawdown_pct,stress_2x_train_sharpe,stress_2x_train_trades,stress_2x_train_win_rate,stress_2x_train_profit_factor,stress_2x_train_long_trades,stress_2x_train_short_trades,stress_2x_train_top_trade_positive_pnl_share,stress_2x_train_top3_trade_positive_pnl_share,stress_2x_validation_start,stress_2x_validation_end_exclusive,stress_2x_validation_return_pct,stress_2x_validation_annual_return_pct,stress_2x_validation_max_drawdown_pct,stress_2x_validation_sharpe,stress_2x_validation_trades,stress_2x_validation_win_rate,stress_2x_validation_profit_factor,stress_2x_validation_long_trades,stress_2x_validation_short_trades,stress_2x_validation_top_trade_positive_pnl_share,stress_2x_validation_top3_trade_positive_pnl_share
iter-7f84619e98e9,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 384, ""momentum_threshold"": 0.0, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,32.391175840681875,15.03928367354479,-13.677238709126216,1.1156472709483707,32,0.28125,2.1481128205351085,32,0,0.28737954888543954,0.662521178208785,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,29.956577004674823,13.998498676375037,-10.174757482825825,1.0732976887719476,54,0.3148148148148148,1.6891409633340366,54,0,0.15568409976740957,0.44369903725515353,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,20.17493166653379,9.610548163670064,-15.886910176371716,0.7493675880735848,32.0,0.25,1.6214848573868692,32.0,0.0,0.2947713857048781,0.676056234916077,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,8.3647544481956,4.098393094319963,-13.135108748867664,0.3687041092520925,56.0,0.2857142857142857,1.1973624470878963,56.0,0.0,0.1686667039226776,0.4800362956598542
iter-0f62fbdf500c,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 384, ""momentum_threshold"": 0.05, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,train_sample|train_top_trade_concentration|train_top3_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,25.12616136745023,11.842656809128638,-12.11833677632982,1.086098310455292,14,0.2857142857142857,3.0979984160946907,14,0,0.4592164199391106,0.987923546117625,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,21.954830108246103,10.433160829637632,-9.328386474781203,1.1093503392729505,22,0.3181818181818182,2.0850259961493176,22,0,0.2620469002993452,0.7613111604071253,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-4d0528bcd3e7,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 384, ""momentum_threshold"": 0.1, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,train_return|validation_return|train_sample|validation_sample|train_pf|validation_pf|train_top_trade_concentration|train_top3_trade_concentration|validation_top_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-6fc12af5e8f9,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 384, ""momentum_threshold"": 0.2, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,train_return|validation_return|train_sample|validation_sample|train_pf|validation_pf|train_top_trade_concentration|train_top3_trade_concentration|validation_top_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-3489a91dae1a,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 768, ""momentum_threshold"": 0.0, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,32.46609023517788,15.07178240299789,-13.372285583134857,1.13343888381942,29,0.27586206896551724,2.2445532495369718,29,0,0.29742826078549905,0.6856873515615102,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,31.77099215828447,14.791546796044376,-8.534221431353295,1.2660927482168818,51,0.3137254901960784,1.7614775699297134,51,0,0.15754124439286699,0.44899189171871207,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,21.161895287518618,10.059112695943572,-14.982221675973895,0.789765732329495,29.0,0.2413793103448276,1.6969348834145053,29.0,0.0,0.30395128988698394,0.6971102847974938,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,11.7791106124699,5.72564050998694,-10.159504763868021,0.532803506036617,52.0,0.3076923076923077,1.2757736543975444,52.0,0.0,0.17108288568623925,0.4869129044773997
iter-b618324e3581,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 768, ""momentum_threshold"": 0.05, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,train_sample|train_top_trade_concentration|train_top3_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,22.633304838068714,10.724469559703165,-9.980951065180266,0.9275937059123179,15,0.2,2.552204971753434,15,0,0.41623606154439086,1.0,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,18.012747362297652,8.633672202635978,-10.599913674129402,0.9798497664320478,24,0.2916666666666667,1.8093879008226739,24,0,0.2658278817971969,0.7576083582408574,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-25ff3a157f24,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 768, ""momentum_threshold"": 0.1, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,validation_return|train_sample|validation_sample|validation_pf|train_top_trade_concentration|train_top3_trade_concentration|validation_top_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,9.19763815540402,4.491384816738453,-9.419824759339,0.6947335982429144,2,0.5,7.581061116789165,2,0,1.0,1.0,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,-3.940437467816349,-1.9900196244363788,-5.777378671633526,-0.7846333067215219,4,0.0,0.0,4,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-f61e99e945d9,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 768, ""momentum_threshold"": 0.2, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,validation_return|train_sample|validation_sample|validation_pf|train_top_trade_concentration|train_top3_trade_concentration|validation_top_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,7.364108658719837,3.611617591411176,-9.423352054847012,0.5662323622762804,1,1.0,inf,1,0,1.0,1.0,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
iter-2b088917dcde,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 1536, ""momentum_threshold"": 0.0, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,True,True,,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,35.411983531312984,16.342528216271113,-13.936769033745644,1.2472411076859369,27,0.25925925925925924,2.3667313084692867,27,0,0.2890864614715862,0.6664562729017066,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,43.80955370987307,19.92062112492292,-8.792085746420275,1.4642236911355888,45,0.35555555555555557,2.166420493906501,45,0,0.1519359934964517,0.43301694996146994,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,24.556543845384105,11.588141465384115,-15.871575577368057,0.9157999966282013,27.0,0.25925925925925924,1.8101528289148872,27.0,0.0,0.29423954144296316,0.6748364535983887,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,18.24420666735471,8.740152044842532,-12.571805724100948,0.7092305326581901,48.0,0.3333333333333333,1.4289082189988975,48.0,0.0,0.1677665088368373,0.47747428250415697
iter-69c9f0c7192c,R1_macro_momentum,"{""atr_cap"": 0.0035, ""atr_floor"": 0.0, ""body_atr_min"": -100.0, ""close_location_min"": 0.0, ""cooldown_bars"": 0, ""ema_spread_min"": 0.0, ""max_hold_bars"": 192, ""momentum_lookback"": 1536, ""momentum_threshold"": 0.05, ""role"": ""child"", ""round_name"": ""R1_macro_momentum"", ""rvol_min"": 0.0, ""slow_slope_atr_min"": 0.0, ""stop_atr"": 4.0, ""take_profit_atr"": 0.0}",True,False,False,train_sample|train_top3_trade_concentration|validation_top3_trade_concentration,2020-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,44.73805623520843,20.27670728269233,-10.103146023725074,1.7020640088961616,17,0.35294117647058826,3.9225143072726327,17,0,0.31215076450373813,0.7278645548463929,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,13.27726060455987,6.431790647606728,-13.312764484102912,0.7715373784844469,25,0.28,1.6200922175489256,25,0,0.30018438124185604,0.7716491489961245,,,,,,,,,,,,,,,,,,,,,,,,,,
