window,start,end_exclusive,return_pct,annual_return_pct,max_drawdown_pct,sharpe,trades,win_rate,profit_factor,long_trades,short_trades,top_trade_positive_pnl_share,top3_trade_positive_pnl_share
0,2020-01-01T00:00:00+00:00,2020-06-29T00:00:00+00:00,6.344160002946975,13.284198429238646,-11.890424238443952,0.7651122583940774,7,0.2857142857142857,2.2376567021151863,7,0,0.8838600444092999,1.0
1,2020-06-29T00:00:00+00:00,2020-12-26T00:00:00+00:00,19.440389575938767,43.365783238856096,-10.081196420850368,2.062718204154728,24,0.25,1.9705920852920402,24,0,0.4107494673072733,0.8486937073271743
2,2020-12-26T00:00:00+00:00,2021-06-24T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0
3,2021-06-24T00:00:00+00:00,2021-12-21T00:00:00+00:00,4.824372748356698,10.025396200487569,-3.0844640100916476,1.6196348286093707,2,0.5,4.135374554552223,2,0,1.0,1.0
4,2021-12-21T00:00:00+00:00,2022-06-19T00:00:00+00:00,2.104343076225601,4.313293862738821,-6.7468944048595825,0.4443708141273338,9,0.2222222222222222,1.2373380676203025,9,0,0.5120959524637401,1.0
5,2022-06-19T00:00:00+00:00,2022-12-16T00:00:00+00:00,-4.501537043838566,-8.917045976257965,-7.176220830442848,-0.7581034832414182,16,0.3125,0.6705507963633481,16,0,0.40482783889481017,0.8072316701050598
6,2022-12-16T00:00:00+00:00,2023-06-14T00:00:00+00:00,8.824741667008173,18.706773851146743,-6.689707818608948,1.480697748857263,13,0.3076923076923077,2.1536896190381265,13,0,0.5919690419684015,0.8807491423118861
7,2023-06-14T00:00:00+00:00,2023-12-11T00:00:00+00:00,21.19149044607149,47.66002014642217,-6.940995795950222,2.239947157498542,18,0.3333333333333333,2.6125830634765754,18,0,0.32997990542234357,0.7755191507427008
8,2023-12-11T00:00:00+00:00,2024-06-08T00:00:00+00:00,37.087986158959275,89.58515678435298,-10.06179877295672,3.3538156679204767,24,0.375,2.8332474854785317,24,0,0.2942563506046511,0.6018496272988313
9,2024-06-08T00:00:00+00:00,2024-12-05T00:00:00+00:00,13.233129568937274,28.660811250933094,-14.226913313872846,1.64560478117186,26,0.2692307692307692,1.596359865391265,26,0,0.40397493243814153,0.7573718773054411
10,2024-12-05T00:00:00+00:00,2025-06-03T00:00:00+00:00,-0.014522257994376009,-0.029445714400366807,-13.120127603917798,0.07245037524341899,25,0.28,1.033968299822143,25,0,0.3933000565512525,0.7388494604972949
11,2025-06-03T00:00:00+00:00,2025-11-30T00:00:00+00:00,0.7762677993101486,1.580378365182744,-9.54122754948642,0.19036504481852431,26,0.3076923076923077,1.0734600913678307,26,0,0.39511851127571296,0.6640214074293597
12,2025-11-30T00:00:00+00:00,2026-05-29T00:00:00+00:00,4.426903297412155,9.18107490262312,-7.203378799296489,0.6705421684837947,25,0.36,1.2838920404383483,25,0,0.2441787083847825,0.6128325340906473
