window,start,end_exclusive,return_pct,annual_return_pct,max_drawdown_pct,sharpe,trades,win_rate,profit_factor,long_trades,short_trades,top_trade_positive_pnl_share,top3_trade_positive_pnl_share
0,2020-01-01T00:00:00+00:00,2020-06-29T00:00:00+00:00,7.0685455427272,14.854429239682787,-6.36248385511291,1.2785114548329792,10,0.7,2.112168827547698,0,10,0.4684037306964812,0.7233221451856942
1,2020-06-29T00:00:00+00:00,2020-12-26T00:00:00+00:00,-2.455103755203103,-4.915609129688436,-4.154220324774249,-1.1846370557624482,5,0.2,0.37216524886705626,0,5,1.0,1.0
2,2020-12-26T00:00:00+00:00,2021-06-24T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0
3,2021-06-24T00:00:00+00:00,2021-12-21T00:00:00+00:00,-3.2261016886475757,-6.433395937660357,-3.5608175966886035,-2.5735278062386366,2,0.0,0.0,0,2,1.0,1.0
4,2021-12-21T00:00:00+00:00,2022-06-19T00:00:00+00:00,12.282590918463377,26.48016346131459,-5.414238488153678,2.347547782077457,14,0.5714285714285714,2.7898851842937704,0,14,0.26117567380348355,0.6696318312493797
5,2022-06-19T00:00:00+00:00,2022-12-16T00:00:00+00:00,-2.8699238048248477,-5.733762421353539,-15.87886710163211,-0.41229744567330195,26,0.3076923076923077,0.8975374580106852,0,26,0.35332415313750715,0.7814694000962554
6,2022-12-16T00:00:00+00:00,2023-06-14T00:00:00+00:00,-2.9041415668379367,-5.801090430798905,-8.454049772566009,-0.7241921575344907,17,0.47058823529411764,0.7382167761978351,0,17,0.310492514267588,0.6529144780009776
7,2023-06-14T00:00:00+00:00,2023-12-11T00:00:00+00:00,-6.812801350022591,-13.331496509562124,-9.643779449723777,-2.5016363713654393,16,0.3125,0.29001164065067647,0,16,0.6774128955679216,0.9731356040274749
8,2023-12-11T00:00:00+00:00,2024-06-08T00:00:00+00:00,-10.184426383359579,-19.571955738292235,-13.720988738093032,-2.2841106759991865,14,0.21428571428571427,0.20956868296355208,0,14,0.8597898493034042,1.0
9,2024-06-08T00:00:00+00:00,2024-12-05T00:00:00+00:00,-2.9391641918532607,-5.8699768666390035,-8.39302611527799,-0.4695495336750542,24,0.4583333333333333,0.8378520599739355,0,24,0.17800539823955203,0.4743692040833314
10,2024-12-05T00:00:00+00:00,2025-06-03T00:00:00+00:00,2.9877442275150434,6.151526916819594,-8.082192885518392,0.5691042243008099,24,0.4166666666666667,1.1974541072139304,0,24,0.29886378456169443,0.6055545757227773
11,2025-06-03T00:00:00+00:00,2025-11-30T00:00:00+00:00,-3.4999664374753103,-6.969546909751867,-9.311646972421828,-0.9074794297737727,17,0.4117647058823529,0.6252723727935281,0,17,0.3425260338738845,0.654785471965987
12,2025-11-30T00:00:00+00:00,2026-05-29T00:00:00+00:00,3.0121558673261717,6.202555194550818,-9.390500631060627,0.6879745064687535,25,0.52,1.3068179023374755,0,25,0.1724665590998085,0.45032119797107917
