window,start,end_exclusive,return_pct,annual_return_pct,max_drawdown_pct,sharpe,trades,win_rate,profit_factor,long_trades,short_trades,top_trade_positive_pnl_share,top3_trade_positive_pnl_share
0,2020-01-01T00:00:00+00:00,2020-06-29T00:00:00+00:00,26.255215635575937,60.43943994269918,-9.51277641122925,3.053006613921552,15,0.4,3.0435834975488425,15,0,0.3185838171085741,0.7420724353946989
1,2020-06-29T00:00:00+00:00,2020-12-26T00:00:00+00:00,37.249917273500884,90.03953672076892,-11.287284583751934,4.0729003098632885,36,0.3333333333333333,2.2788929414260175,36,0,0.2708721367900815,0.6023630089667708
2,2020-12-26T00:00:00+00:00,2021-06-24T00:00:00+00:00,0.6699870030557387,1.3632626379562307,-4.4144070751550135,0.34589874306317386,1,1.0,inf,1,0,1.0,1.0
3,2021-06-24T00:00:00+00:00,2021-12-21T00:00:00+00:00,1.8044536992682492,3.692966538948239,-5.982636485740245,0.6539126136849188,4,0.25,1.4525644629635361,4,0,1.0,1.0
4,2021-12-21T00:00:00+00:00,2022-06-19T00:00:00+00:00,-5.623390935595407,-11.073637842247763,-11.177833787539038,-1.4571440932953896,13,0.15384615384615385,0.6356708252292448,13,0,0.727001635689367,1.0
5,2022-06-19T00:00:00+00:00,2022-12-16T00:00:00+00:00,2.490755201460715,5.115360359048737,-6.714554139923501,0.6696058485099502,14,0.35714285714285715,1.2876234545788954,14,0,0.41588432141834736,0.8380385211022342
6,2022-12-16T00:00:00+00:00,2023-06-14T00:00:00+00:00,40.70186944652057,99.85691359880764,-13.396420558862388,4.4026468225738045,28,0.2857142857142857,2.7506048025829037,28,0,0.4084272650165595,0.7199807075302703
7,2023-06-14T00:00:00+00:00,2023-12-11T00:00:00+00:00,21.302010175795203,47.933203637673685,-16.360183736607205,2.445630856810852,44,0.2727272727272727,1.6609274771469837,44,0,0.23180482880305686,0.6233745638121508
8,2023-12-11T00:00:00+00:00,2024-06-08T00:00:00+00:00,28.064576062695167,65.13615627283913,-8.098484498667924,3.491878592916261,33,0.3333333333333333,2.0488374119643993,33,0,0.24368895005637997,0.5233901677964101
9,2024-06-08T00:00:00+00:00,2024-12-05T00:00:00+00:00,14.291936307784248,31.112085420083503,-11.186106629042825,2.0109310718327116,36,0.2222222222222222,1.4829946917740113,36,0,0.3235744144131557,0.6181139463943237
10,2024-12-05T00:00:00+00:00,2025-06-03T00:00:00+00:00,-10.01680188887548,-19.267285500326846,-13.359629433471376,-1.6965882025903742,38,0.21052631578947367,0.7305020107822425,38,0,0.30056479583272283,0.6306727215511971
11,2025-06-03T00:00:00+00:00,2025-11-30T00:00:00+00:00,-13.647868909956928,-25.736412138629007,-22.719165670434617,-2.459986566483854,50,0.26,0.6240726243496173,50,0,0.2781862809016321,0.5658370372656675
12,2025-11-30T00:00:00+00:00,2026-05-29T00:00:00+00:00,-19.6661645605423,-35.85610967302236,-19.6661645605423,-4.316124641101628,41,0.14634146341463414,0.4423480557955797,41,0,0.291983042093088,0.6394203511421692
