window,start,end_exclusive,return_pct,annual_return_pct,max_drawdown_pct,sharpe,trades,win_rate,profit_factor,long_trades,short_trades,top_trade_positive_pnl_share,top3_trade_positive_pnl_share
0,2020-01-01T00:00:00+00:00,2020-06-29T00:00:00+00:00,-1.8915513959826602,-3.798368156481413,-4.194674251177011,-1.2039856686198422,1,0.0,0.0,1,0,1.0,1.0
1,2020-06-29T00:00:00+00:00,2020-12-26T00:00:00+00:00,35.39566776945953,84.86948231277596,-4.860263078439919,5.322277202525887,6,0.6666666666666666,10.202727354269719,6,0,0.4183714533871739,0.8965373356503998
2,2020-12-26T00:00:00+00:00,2021-06-24T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0
3,2021-06-24T00:00:00+00:00,2021-12-21T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0
4,2021-12-21T00:00:00+00:00,2022-06-19T00:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,1.0
5,2022-06-19T00:00:00+00:00,2022-12-16T00:00:00+00:00,1.0673416397985802,2.1762040797931315,-5.085577611290237,0.38435110323150323,5,0.2,1.2538642116144907,5,0,1.0,1.0
6,2022-12-16T00:00:00+00:00,2023-06-14T00:00:00+00:00,19.92470013788723,44.54703548135577,-6.523145429612853,3.7739247401764358,8,0.5,4.956931575552493,8,0,0.7580826790344565,0.9979986917230236
7,2023-06-14T00:00:00+00:00,2023-12-11T00:00:00+00:00,10.510681071662088,22.46561976099759,-7.392129994125729,1.7194040169817248,9,0.3333333333333333,2.372892108545315,9,0,0.4513961459460671,1.0
8,2023-12-11T00:00:00+00:00,2024-06-08T00:00:00+00:00,0.6812890180112108,1.386339771359335,-2.6648070728629403,0.39246423173161477,2,0.5,1.3833759399974876,2,0,1.0,1.0
9,2024-06-08T00:00:00+00:00,2024-12-05T00:00:00+00:00,-3.626505437242833,-7.216747601620444,-5.930534111646657,-1.9222580011614643,2,0.0,0.0,2,0,1.0,1.0
10,2024-12-05T00:00:00+00:00,2025-06-03T00:00:00+00:00,1.6176074516761174,3.3074194179539607,-6.152297080852387,0.4911010035152343,7,0.2857142857142857,1.2246489823171076,7,0,0.739214557979172,1.0
11,2025-06-03T00:00:00+00:00,2025-11-30T00:00:00+00:00,12.10531611972787,26.075564415674577,-7.2759864033040245,2.311423890875505,15,0.4666666666666667,2.143617377682901,15,0,0.3273551078482001,0.7809308556285561
12,2025-11-30T00:00:00+00:00,2026-05-29T00:00:00+00:00,5.598483836676427,11.679258893824107,-5.0345662984840445,1.3787293916165229,8,0.375,1.6927746596292867,8,0,0.4250889274018978,1.0
