window,strategy,label,cost_bps_one_way,start_ts,end_ts,observations,net_return,max_drawdown,sharpe,turnover,average_abs_position
1d,tsmom_1m,1M,0.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,-0.0034744030132708437,0.0,,0.0,0.7129315240564508
1d,tsmom_1m,1M,2.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,-0.0034744030132708437,0.0,,0.0,0.7129315240564508
1d,tsmom_3m,3M,0.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0034744030132709547,0.0,,0.0,0.7129315240564508
1d,tsmom_3m,3M,2.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0034744030132709547,0.0,,0.0,0.7129315240564508
1d,tsmom_12m,12M,0.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0034744030132709547,0.0,,0.0,0.7129315240564508
1d,tsmom_12m,12M,2.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0034744030132709547,0.0,,0.0,0.7129315240564508
1d,composite_1_3_12m,Composite,0.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0011581343377569109,0.0,,0.0,0.23764384135215025
1d,composite_1_3_12m,Composite,2.0,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,1,0.0011581343377569109,0.0,,0.0,0.23764384135215025
7d,tsmom_1m,1M,0.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,-0.002916098795903377,-0.00470602239385165,-4.902415229088658,0.0,0.7129315240564508
7d,tsmom_1m,1M,2.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,-0.002916098795903377,-0.00470602239385165,-4.902415229088658,0.0,0.7129315240564508
7d,tsmom_3m,3M,0.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.002908654626967211,-0.0015982324139582893,4.902415229088658,0.0,0.7129315240564508
7d,tsmom_3m,3M,2.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.002908654626967211,-0.0015982324139582893,4.902415229088658,0.0,0.7129315240564508
7d,tsmom_12m,12M,0.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.002908654626967211,-0.0015982324139582893,4.902415229088658,0.0,0.7129315240564508
7d,tsmom_12m,12M,2.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.002908654626967211,-0.0015982324139582893,4.902415229088658,0.0,0.7129315240564508
7d,composite_1_3_12m,Composite,0.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.0009703804479281875,-0.0005327441379860964,4.902415229088658,0.0,0.23764384135215028
7d,composite_1_3_12m,Composite,2.0,2021-11-24T00:00:00+00:00,2021-11-30T00:00:00+00:00,5,0.0009703804479281875,-0.0005327441379860964,4.902415229088658,0.0,0.23764384135215028
1m,tsmom_1m,1M,0.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,-0.0027664497148471856,-0.03589723955386237,-0.24549903439462106,1.3987278258442992,0.7129315240564508
1m,tsmom_1m,1M,2.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,-0.0030441009222605953,-0.03589723955386204,-0.2758427069184387,1.3987278258442992,0.7129315240564508
1m,tsmom_3m,3M,0.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.001818400832477307,-0.04131726186605944,0.24549903439462106,0.02713522226860221,0.7129315240564508
1m,tsmom_3m,3M,2.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.0018129379390117162,-0.04131726186605944,0.24491101709183624,0.02713522226860221,0.7129315240564508
1m,tsmom_12m,12M,0.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.001818400832477307,-0.04131726186605944,0.24549903439462106,0.02713522226860221,0.7129315240564508
1m,tsmom_12m,12M,2.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.0018129379390117162,-0.04131726186605944,0.24491101709183624,0.02713522226860221,0.7129315240564508
1m,composite_1_3_12m,Composite,0.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.000711409199996238,-0.013922782392011834,0.24549903439462115,0.44815246043569834,0.2376438413521502
1m,composite_1_3_12m,Composite,2.0,2021-11-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,22,0.0006215725286446983,-0.013922782392011945,0.21639643596504943,0.44815246043569834,0.2376438413521502
3m,tsmom_1m,1M,0.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,-0.03657360670531706,-0.04725397670231091,-1.4298220591447595,2.773936594325573,0.6921182364204176
3m,tsmom_1m,1M,2.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,-0.037106898732296334,-0.04751377812272728,-1.4526817080174825,2.773936594325573,0.6921182364204176
3m,tsmom_3m,3M,0.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,0.01229783496714143,-0.057152288927931005,0.530606803890003,1.402343990749876,0.6921182364204176
3m,tsmom_3m,3M,2.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,0.012014107888685288,-0.05715910996777407,0.5195424719033106,1.402343990749876,0.6921182364204176
3m,tsmom_12m,12M,0.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,0.01335413346856651,-0.05715228892793123,0.5718762460883989,0.04855705707616531,0.6921182364204176
3m,tsmom_12m,12M,2.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,0.013344267113878816,-0.05715910996777396,0.5714860021480604,0.04855705707616531,0.6921182364204176
3m,composite_1_3_12m,Composite,0.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,-0.003074888613228466,-0.02654332966367856,-0.1963467669737758,1.3637529177880219,0.37617802161028896
3m,composite_1_3_12m,Composite,2.0,2021-08-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,66,-0.003346944150443565,-0.02672035070310741,-0.21599382515793755,1.3637529177880219,0.37617802161028896
6m,tsmom_1m,1M,0.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.0914449398150401,-0.09909754066551513,-1.8551004343848287,5.400887953108237,0.6744935890440856
6m,tsmom_1m,1M,2.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.09242442741718226,-0.0998104021724785,-1.8774434779917342,5.400887953108237,0.6744935890440856
6m,tsmom_3m,3M,0.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.017701296101173325,-0.06660748622124468,-0.3030646227135475,2.8149541698351364,0.6744935890440856
6m,tsmom_3m,3M,2.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.018253759698232175,-0.06663080994409987,-0.31420376561228247,2.8149541698351364,0.6744935890440856
6m,tsmom_12m,12M,0.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.050674531744597906,-0.08672641072137566,-0.9785173654573117,1.4462161563897724,0.6744935890440856
6m,tsmom_12m,12M,2.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.05094961697520706,-0.0869831927432061,-0.9841441526129765,1.4462161563897724,0.6744935890440856
6m,composite_1_3_12m,Composite,0.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.05244154232258835,-0.0662445896537629,-1.5718087808626895,3.126315572209267,0.37488687418880745
6m,composite_1_3_12m,Composite,2.0,2021-06-01T00:00:00+00:00,2021-11-30T00:00:00+00:00,129,-0.0530339474328384,-0.06674298892127639,-1.5905367182495063,3.126315572209267,0.37488687418880745
1y,tsmom_1m,1M,0.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.07108568847291608,-0.09909754066551557,-0.745768250329978,8.81244583472471,0.6138267840170574
1y,tsmom_1m,1M,2.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.07271628305888922,-0.0998104021724775,-0.7652482710354567,8.81244583472471,0.6138267840170574
1y,tsmom_3m,3M,0.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.061688726972064956,-0.13312880749678646,-0.6375706557101987,3.02648538724729,0.6138267840170574
1y,tsmom_3m,3M,2.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.06225646724274614,-0.1333873961880382,-0.6440851541845698,3.02648538724729,0.6138267840170574
1y,tsmom_12m,12M,0.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.009745852428909907,-0.08963574346169989,-0.058923350989467355,1.657747373801926,0.6138267840170574
1y,tsmom_12m,12M,2.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.010074324916846344,-0.08992063609733003,-0.062479327939269136,1.657747373801926,0.6138267840170574
1y,composite_1_3_12m,Composite,0.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.04503314893767907,-0.06624458965376223,-0.8731527668708349,4.263501532748091,0.2808183076964751
1y,composite_1_3_12m,Composite,2.0,2020-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00,254,-0.04584678664497921,-0.06674298892127639,-0.8899514354507808,4.263501532748091,0.2808183076964751
