strategy,label,cost_bps_one_way,start_ts,end_ts,observations,months,years,cagr,annualized_arithmetic_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,positive_month_ratio,positive_months,daily_win_rate,annualized_turnover,total_turnover,gross_total_return,net_total_return,cost_drag_total_return,simple_cost_sum,average_abs_position,max_abs_position
tsmom_1m,1M,0.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.05425713717412739,0.05892989374452184,0.10901571384624555,0.5405632973943174,0.7459571638041399,-0.16616037210844936,0.3265347596761212,0.625,35,0.515358361774744,6.237646422650394,29.083400021283012,0.27935085223458045,0.27935085223458045,0.0,0.0,0.6309951634520828,0.8836921987754801
tsmom_1m,1M,2.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.05294402134965415,0.05767920828285574,0.10900620953536197,0.529136904481982,0.7296607713971591,-0.16794288108846334,0.31525016723850335,0.625,35,0.515358361774744,6.237646422650394,29.083400021283012,0.27935085223458045,0.27193809216786713,0.00741276006671332,0.005816680004256603,0.6309951634520828,0.8836921987754801
tsmom_3m,3M,0.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.11641894107823814,0.11636194453228325,0.10883217295163458,1.0691870002815704,1.5067241324812093,-0.09662560997288938,1.2048456005700998,0.625,35,0.5418088737201365,3.115072946128204,14.52421417455532,0.6710797101588908,0.6710797101588908,0.0,0.0,0.6309951634520828,0.8836921987754801
tsmom_3m,3M,2.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.11572395092723098,0.11573735375208052,0.10883152691173895,1.0634542860539127,1.4981344328765187,-0.09693288322340277,1.1938564817113728,0.625,35,0.5418088737201365,3.115072946128204,14.52421417455532,0.6710797101588908,0.6662348869093122,0.004844823249578578,0.0029048428349110643,0.6309951634520828,0.8836921987754801
tsmom_12m,12M,0.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.06751396143743293,0.07145592045948863,0.10898595925242688,0.6556433594715319,0.9099045447990632,-0.2540866525671104,0.2657123495284778,0.5714285714285714,32,0.5281569965870307,2.5237705630926364,11.767231400264913,0.3561053826248992,0.3561053826248992,0.0,0.0,0.6309951634520828,0.8836921987754801
tsmom_12m,12M,2.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.06697594326601686,0.07094988934807792,0.10898119302199798,0.6510287452419116,0.9033315296039401,-0.25558942633401927,0.26204504711587234,0.5714285714285714,32,0.5281569965870307,2.5237705630926364,11.767231400264913,0.3561053826248992,0.3529216220105862,0.003183760614313025,0.002353446280052983,0.6309951634520828,0.8836921987754801
composite_1_3_12m,Composite,0.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.08068753757578584,0.0822492529120979,0.09415045510630117,0.8735937900590481,1.2131114243431527,-0.12428099847370155,0.6492347065658609,0.5714285714285714,32,0.5238907849829352,3.795525732459968,17.69686604347522,0.4359156740552941,0.4359156740552941,0.0,0.0,0.4679523181800128,0.8266307956144261
composite_1_3_12m,Composite,2.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.07986866676629956,0.08148822727336824,0.09414122124793825,0.865595604063325,1.20161484723488,-0.1253725537762891,0.6370506491302294,0.5714285714285714,32,0.5238907849829352,3.795525732459968,17.69686604347522,0.4359156740552941,0.43084966503729927,0.00506600901799481,0.003539373208695045,0.4679523181800128,0.8266307956144261
buy_and_hold,Buy&Hold,0.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.19253327579961899,0.19462192656863045,0.1892602667939241,1.0283295583670733,1.4303641896221682,-0.2506016525948249,0.7682841426066275,0.5892857142857143,33,0.5469283276450512,0.21447445684086905,1.0,1.2727324613509738,1.2727324613509738,0.0,0.0,1.0,1.0
buy_and_hold,Buy&Hold,2.0,2021-12-01T00:00:00+00:00,2026-07-31T00:00:00+00:00,1172,56,4.662559890485968,0.19248211819557692,0.19457892315566114,0.18926046514837613,1.0281012624750523,1.4300478060008432,-0.2506016525948256,0.768080003473813,0.5892857142857143,33,0.5469283276450512,0.21447445684086905,1.0,1.2727324613509738,1.2722779148586971,0.0004545464922767195,0.0002,1.0,1.0
