ts,session_date,provider_ts,open,high,low,close,volume,open_interest,exchange,symbol,market_type,timeframe,source,source_dataset_id,continuous_contract_identity,roll_adjustment,price_semantics,ts_semantics,quality_status,daily_return,sigma_ann,month,return_1m,return_3m,return_12m,forecast_1m,forecast_3m,forecast_12m,forecast_composite,target_tsmom_1m,target_tsmom_3m,target_tsmom_12m,target_composite_1_3_12m,common_valid,applied_next_month_in_sample
2021-11-30 00:00:00+00:00,2021-11-30,2021-11-30 05:00:00+00:00,1783.9000244140625,1808.0999755859375,1768.699951171875,1773.5999755859375,4903.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,-0.004881374069370614,0.14359981460908403,2021-11,-0.005272027153147785,-0.02280993080664595,-0.0011826184849257348,-1.0,-1.0,-1.0,-1.0,-0.6963797291258764,-0.6963797291258764,-0.6963797291258764,-0.6963797291258764,True,True
2021-12-31 00:00:00+00:00,2021-12-31,2021-12-31 05:00:00+00:00,1825.0999755859375,1827.800048828125,1821.4000244140625,1827.5,80.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.008164643474810607,0.13369359141271955,2021-12,0.03039018107578384,0.04113254096932151,-0.034652145386898314,1.0,1.0,-1.0,0.3333333333333333,0.7479790088912672,0.7479790088912672,-0.7479790088912672,0.24932633629708906,True,True
2022-01-31 00:00:00+00:00,2022-01-31,2022-01-31 05:00:00+00:00,1788.5,1798.5,1785.0999755859375,1795.0,1735.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.005658566557111833,0.14055162102695068,2022-01,-0.017783857729138153,0.006730229949523325,-0.028311615571765203,-1.0,1.0,-1.0,-0.3333333333333333,-0.7114823669008064,0.7114823669008064,-0.7114823669008064,-0.23716078896693543,True,True
2022-02-28 00:00:00+00:00,2022-02-28,2022-02-28 05:00:00+00:00,1928.300048828125,1928.4000244140625,1894.199951171875,1899.4000244140625,390.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.006838072840743337,0.13886586186251879,2022-02,0.0581615734897285,0.07092921208829228,0.09912623762988204,1.0,1.0,1.0,1.0,0.7201193918992336,0.7201193918992336,0.7201193918992336,0.7201193918992336,True,True
2022-03-31 00:00:00+00:00,2022-03-31,2022-03-31 04:00:00+00:00,1933.5,1949.9000244140625,1919.0999755859375,1949.199951171875,3617.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.008119964402314439,0.16341023826054915,2022-03,0.02621876704101611,0.0665936805318057,0.1373555231864496,1.0,1.0,1.0,1.0,0.6119567602646487,0.6119567602646487,0.6119567602646487,0.6119567602646487,True,True
2022-04-29 00:00:00+00:00,2022-04-29,2022-04-29 04:00:00+00:00,1902.699951171875,1918.199951171875,1902.4000244140625,1909.300048828125,132.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.010907025037761198,0.15602933540608513,2022-04,-0.020469886796252945,0.06367690742513932,0.08034855207193514,-1.0,1.0,1.0,0.3333333333333333,-0.6409051204360896,0.6409051204360896,0.6409051204360896,0.2136350401453632,True,True
2022-05-31 00:00:00+00:00,2022-05-31,2022-05-31 04:00:00+00:00,1850.300048828125,1862.0999755859375,1832.800048828125,1842.699951171875,4073.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,-0.004645436952099624,0.1525741211936698,2022-05,-0.03488194414341905,-0.029851570239754377,-0.031432351552233895,-1.0,-1.0,-1.0,-1.0,-0.6554191445944172,-0.6554191445944172,-0.6554191445944172,-0.6554191445944172,True,True
2022-06-30 00:00:00+00:00,2022-06-30,2022-06-30 04:00:00+00:00,1809.5999755859375,1817.300048828125,1801.0,1804.0999755859375,328.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,-0.00529303404332937,0.14689755766291857,2022-06,-0.020947509962970123,-0.07444078556368838,0.018805017980347172,-1.0,-1.0,1.0,-0.3333333333333333,-0.6807465119976127,-0.6807465119976127,0.6807465119976127,-0.22691550399920424,True,True
2022-07-29 00:00:00+00:00,2022-07-29,2022-07-29 04:00:00+00:00,1754.0,1765.699951171875,1750.0,1762.9000244140625,3485.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,0.007198751776515966,0.14559294528217628,2022-07,-0.022836844814264845,-0.07667732711991426,-0.027419150304141993,-1.0,-1.0,-1.0,-1.0,-0.6868464664011585,-0.6868464664011585,-0.6868464664011585,-0.6868464664011585,True,True
2022-08-31 00:00:00+00:00,2022-08-31,2022-08-31 04:00:00+00:00,1718.300048828125,1720.9000244140625,1708.5,1712.800048828125,2133.0,,comex,GC=F,futures,1d,yahoo_chart_snapshot,yahoo-chart-api:GC=F:2020-01-01:2026-08-18,Yahoo Finance GC=F continuous futures,provider_method_unverified; raw quote.close used,Yahoo quote OHLC; adjclose deliberately excluded,exchange-local session date normalized to 00:00 UTC,raw_unaccepted,-0.006035226693615781,0.13588844148664703,2022-08,-0.028419067951734434,-0.07049433211366807,-0.0563085130423554,-1.0,-1.0,-1.0,-1.0,-0.7358977622083217,-0.7358977622083217,-0.7358977622083217,-0.7358977622083217,True,True
