window,strategy,label,cost_bps_one_way,start_ts,end_ts,observations,net_return,max_drawdown,sharpe,turnover,average_abs_position
1d,tsmom_1m,1M,0.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.00423071943244957,0.0,,0.0,0.3401249638851414
1d,tsmom_1m,1M,2.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.00423071943244957,0.0,,0.0,0.3401249638851414
1d,tsmom_3m,3M,0.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.00423071943244957,0.0,,0.0,0.3401249638851414
1d,tsmom_3m,3M,2.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.00423071943244957,0.0,,0.0,0.3401249638851414
1d,tsmom_12m,12M,0.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,-0.004230719432449459,0.0,,0.0,0.3401249638851414
1d,tsmom_12m,12M,2.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,-0.004230719432449459,0.0,,0.0,0.3401249638851414
1d,composite_1_3_12m,Composite,0.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.0014102398108164493,0.0,,0.0,0.11337498796171379
1d,composite_1_3_12m,Composite,2.0,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,1,0.0014102398108164493,0.0,,0.0,0.11337498796171379
7d,tsmom_1m,1M,0.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.0014357693233371105,-0.005513228425975014,1.2167425011551343,0.0,0.3401249638851414
7d,tsmom_1m,1M,2.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.0014357693233371105,-0.005513228425975014,1.2167425011551343,0.0,0.3401249638851414
7d,tsmom_3m,3M,0.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.0014357693233371105,-0.005513228425975014,1.2167425011551343,0.0,0.3401249638851414
7d,tsmom_3m,3M,2.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.0014357693233371105,-0.005513228425975014,1.2167425011551343,0.0,0.3401249638851414
7d,tsmom_12m,12M,0.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,-0.0014924396346206459,-0.004230719432449459,-1.2167425011551343,0.0,0.3401249638851414
7d,tsmom_12m,12M,2.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,-0.0014924396346206459,-0.004230719432449459,-1.2167425011551343,0.0,0.3401249638851414
7d,composite_1_3_12m,Composite,0.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.00048490496295605645,-0.001837742808658338,1.216742501155135,0.0,0.11337498796171379
7d,composite_1_3_12m,Composite,2.0,2026-07-27T00:00:00+00:00,2026-07-31T00:00:00+00:00,5,0.00048490496295605645,-0.001837742808658338,1.216742501155135,0.0,0.11337498796171379
1m,tsmom_1m,1M,0.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.0031328608903372634,-0.01354229435393517,-0.4477472203293098,0.006388466921219638,0.3404027233164989
1m,tsmom_1m,1M,2.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.003134139488729426,-0.013542294353935058,-0.4479386520505407,0.006388466921219638,0.3404027233164989
1m,tsmom_3m,3M,0.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.0031328608903372634,-0.01354229435393517,-0.4477472203293098,0.006388466921219638,0.3404027233164989
1m,tsmom_3m,3M,2.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.003134139488729426,-0.013542294353935058,-0.4479386520505407,0.006388466921219638,0.3404027233164989
1m,tsmom_12m,12M,0.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,0.002696636838225741,-0.013870413513402902,0.4477472203293098,0.006388466921219638,0.3404027233164989
1m,tsmom_12m,12M,2.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,0.002695360598158114,-0.013870413513402902,0.4475557829999132,0.006388466921219638,0.3404027233164989
1m,composite_1_3_12m,Composite,0.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.000996080432392854,-0.004526616922449489,-0.44774722032931,0.0021294889737398792,0.11346757443883289
1m,composite_1_3_12m,Composite,2.0,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,23,-0.000996506451043766,-0.004526616922449267,-0.44793865205054056,0.0021294889737398792,0.11346757443883289
3m,tsmom_1m,1M,0.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.03802121709600281,-0.02217870387380394,1.8564754810253536,0.06705797133516944,0.33290129078044645
3m,tsmom_1m,1M,2.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.038007329480318486,-0.022178703873803718,1.855850959110757,0.06705797133516944,0.33290129078044645
3m,tsmom_3m,3M,0.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.047135014222406735,-0.02217870387380383,2.2900732787738733,0.6387458241199919,0.33290129078044645
3m,tsmom_3m,3M,2.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.04700115518633652,-0.02217870387380405,2.283572613358286,0.6387458241199919,0.33290129078044645
3m,tsmom_12m,12M,0.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,-0.03822552139130042,-0.05460460304131465,-1.8564754810253536,0.06705797133516944,0.33290129078044645
3m,tsmom_12m,12M,2.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,-0.038238452222563724,-0.05461218144033264,-1.8570999012536762,0.06705797133516944,0.33290129078044645
3m,composite_1_3_12m,Composite,0.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.015657725166605907,-0.007425658413824476,2.290073278773874,0.21291527470666397,0.11096709692681545
3m,composite_1_3_12m,Composite,2.0,2026-04-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,64,0.015614465861855775,-0.007425658413824365,2.2835726133582868,0.21291527470666397,0.11096709692681545
6m,tsmom_1m,1M,0.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.05486902981958486,-0.053984893847296545,1.1561346365932283,0.8080662663126792,0.33158353263461043
6m,tsmom_1m,1M,2.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.05469757606794645,-0.05398489384729699,1.1525357350491603,0.8080662663126792,0.33158353263461043
6m,tsmom_3m,3M,0.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.051849633971476905,-0.053984893847296545,1.0963949727850775,0.8080662663126792,0.33158353263461043
6m,tsmom_3m,3M,2.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.05167959810387912,-0.05398489384729699,1.0930159365138896,0.8080662663126792,0.33158353263461043
6m,tsmom_12m,12M,0.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,-0.03389522884123497,-0.08416668287732121,-0.6654742801043141,0.2363784135278567,0.33158353263461043
6m,tsmom_12m,12M,2.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,-0.033940895835662066,-0.08418107849809597,-0.6664556333981729,0.2363784135278567,0.33158353263461043
6m,composite_1_3_12m,Composite,0.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.024332757872001842,-0.053984893847296545,0.6685471075294622,0.5727983344942921,0.187463206566361
6m,composite_1_3_12m,Composite,2.0,2026-02-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,125,0.024215540910230704,-0.05398489384729699,0.6655655943013112,0.5727983344942921,0.187463206566361
1y,tsmom_1m,1M,0.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.19991768271697752,-0.05936483887982813,1.589192199068698,3.081997520101288,0.41780417501577016
1y,tsmom_1m,1M,2.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.19917832995954976,-0.0593724601426322,1.5839805842368733,3.081997520101288,0.41780417501577016
1y,tsmom_3m,3M,0.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.1964831080286995,-0.05936483887982813,1.5649097823414846,3.081997520101288,0.41780417501577016
1y,tsmom_3m,3M,2.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.19574692568127627,-0.0593724601426322,1.5597965938984906,3.081997520101288,0.41780417501577016
1y,tsmom_12m,12M,0.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.1630317572451765,-0.08896718532111791,1.3252968194814974,0.53591350190699,0.41780417501577016
1y,tsmom_12m,12M,2.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.16290744910022759,-0.08901024910851618,1.324420579776587,0.53591350190699,0.41780417501577016
1y,composite_1_3_12m,Composite,0.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.18764872328590965,-0.05936483887982813,1.622546008034303,2.1496974630987,0.31727291282146336
1y,composite_1_3_12m,Composite,2.0,2025-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,252,0.18714014259882772,-0.0593724601426322,1.6188101410553715,2.1496974630987,0.31727291282146336
