year,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position,partial_year
2021,tsmom_1m,1M,0.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021256536692125017,-0.02612833862473174,1.4114692978874452,0.6963797291258764,True
2022,tsmom_1m,1M,0.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.0343541773211149,0.0343541773211149,-0.07123759211025216,7.193199883741886,0.6883520407426139,False
2023,tsmom_1m,1M,0.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,-0.06421412677561833,-0.06421412677561833,-0.14785158074435512,9.028724550099795,0.7329085868650925,False
2024,tsmom_1m,1M,0.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.056463252510342565,0.056463252510342565,-0.08830085868518478,5.034484621778482,0.71720026228206,False
2025,tsmom_1m,1M,0.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.16231227028399542,0.16231227028399542,-0.05119464046621092,5.603715539410777,0.5433205299059334,False
2026,tsmom_1m,1M,0.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.09975972939645894,0.09975972939645894,-0.05936483887982813,0.8118061283646275,0.3486291651795055,True
2021,tsmom_1m,1M,2.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021533700558675317,-0.02612833862473185,1.4114692978874452,0.6963797291258764,True
2022,tsmom_1m,1M,2.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.0343541773211149,0.032877226282507666,-0.07150926139864633,7.193199883741886,0.6883520407426139,False
2023,tsmom_1m,1M,2.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,-0.06421412677561833,-0.06590786244951674,-0.14938581693961628,9.028724550099795,0.7329085868650925,False
2024,tsmom_1m,1M,2.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.056463252510342565,0.05540321194653974,-0.08831277062526144,5.034484621778482,0.71720026228206,False
2025,tsmom_1m,1M,2.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.16231227028399542,0.16101111677901647,-0.051223882426397194,5.603715539410777,0.5433205299059334,False
2026,tsmom_1m,1M,2.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.09975972939645894,0.09958015588215985,-0.05937246014263231,0.8118061283646275,0.3486291651795055,True
2021,tsmom_3m,3M,0.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021256536692125017,-0.02612833862473174,0.018709839635692505,0.6963797291258764,True
2022,tsmom_3m,3M,0.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.07330066083815101,0.07330066083815101,-0.0769378100122583,4.405167136481542,0.6883520407426139,False
2023,tsmom_3m,3M,0.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,0.038406074947026525,0.038406074947026525,-0.09662560997288949,3.5366581457603723,0.7329085868650925,False
