variant,reason,count
baseline_v18_24h5,block_short_ret96_gt_0.05,94
baseline_v18_24h5,block_long_ret96_lt_-0.05,63
baseline_v18_24h5,missing_96,1
cooldown_12,block_short_ret96_gt_0.05,91
cooldown_12,block_long_ret96_lt_-0.05,69
cooldown_12,missing_96,1
dual_4h3_24h5,block_short_ret96_gt_0.05,100
dual_4h3_24h5,block_short_ret16_gt_0.03,81
dual_4h3_24h5,block_long_ret96_lt_-0.05,71
dual_4h3_24h5,block_long_ret16_lt_-0.03,59
dual_4h3_24h5,missing_96,1
dual_4h3_8h4_24h5,block_short_ret96_gt_0.05,101
dual_4h3_8h4_24h5,block_short_ret16_gt_0.03,83
dual_4h3_8h4_24h5,block_long_ret96_lt_-0.05,80
dual_4h3_8h4_24h5,block_short_ret32_gt_0.04,76
dual_4h3_8h4_24h5,block_long_ret16_lt_-0.03,63
dual_4h3_8h4_24h5,block_long_ret32_lt_-0.04,53
dual_4h3_8h4_24h5,missing_96,1
dual_4h4_24h5,block_short_ret96_gt_0.05,96
dual_4h4_24h5,block_long_ret96_lt_-0.05,67
dual_4h4_24h5,block_short_ret16_gt_0.04,46
dual_4h4_24h5,block_long_ret16_lt_-0.04,22
dual_4h4_24h5,missing_96,1
dual_8h4_24h5,block_short_ret96_gt_0.05,97
dual_8h4_24h5,block_long_ret96_lt_-0.05,77
dual_8h4_24h5,block_short_ret32_gt_0.04,75
dual_8h4_24h5,block_long_ret32_lt_-0.04,44
dual_8h4_24h5,missing_96,1
risk_decay_025,block_short_ret96_gt_0.05,94
risk_decay_025,block_long_ret96_lt_-0.05,63
risk_decay_025,missing_96,1
risk_decay_033,block_short_ret96_gt_0.05,94
risk_decay_033,block_long_ret96_lt_-0.05,63
risk_decay_033,missing_96,1
risk_off_2x_target003,block_short_ret96_gt_0.05,94
risk_off_2x_target003,block_long_ret96_lt_-0.05,63
risk_off_2x_target003,missing_96,1
single_4h3_only,block_short_ret16_gt_0.03,70
single_4h3_only,block_long_ret16_lt_-0.03,54
single_8h4_only,block_short_ret32_gt_0.04,72
single_8h4_only,block_long_ret32_lt_-0.04,45
strict_9of10,block_short_ret96_gt_0.05,34
strict_9of10,block_long_ret96_lt_-0.05,23
