variant,note,trend_filters,start,end,days,cumulative_return,max_drawdown,annualized_return,sharpe,entries,exits,long_entries,short_entries,stops,takes,stop_rate,both_stop_take_hits,both_hit_rate_per_exit,avg_allocation,max_allocation,costs,funding,blocked_by_trend_total
risk_off_2x_target003,风险下调：2x 上限 + 0.3% 目标 ATR,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.4042624933925056,-0.14107210369173484,2.4263483597491593,3.3894333470804363,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.29427959540499643,1.4494567866922792,0.3160149580978518,-0.0023407464068996584,158
strict_9of10,信号改为 9/10 同色才反转,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,0.2222864841503016,-0.22170108973728753,0.22358229353466452,0.6819692975545858,106,106,52,54,51,55,0.4811320754716981,0,0.0,0.20726608329906754,2.9090806273470284,0.20102594605837204,-0.0019942480364699916,57
cooldown_12,平仓后冷却 3 小时,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,10.883388115315908,-0.2755940144436415,11.039674413199265,3.660047480817127,312,311,156,156,123,188,0.3954983922829582,0,0.0,0.5775566219142863,2.8989135733845584,0.6210135732380563,-0.00411565806639001,161
baseline_v18_24h5,当前 V18：24h 5% 禁逆势,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,8.998697398046577,-0.27977454853154593,9.120966514421243,3.3894333470804363,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.5885591908099929,2.8989135733845584,0.6320299161957036,-0.004681492813799317,158
risk_decay_033,止损后仓位乘 0.33,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,7.969003101963461,-0.3163239502715529,8.07347357712121,3.3164781862938155,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.549838505729233,2.8989135733845584,0.5902232627338958,-0.004796508115859121,158
dual_4h4_24h5,新增 4h 4% + 保留 24h 5%,16:0.040+96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,4.195095445008723,-0.31763104881784365,4.240479785635716,2.58584527339605,300,299,150,150,125,174,0.4180602006688963,0,0.0,0.564336087400558,2.8989135733845584,0.5918985940404491,-0.0051798133727229394,232
dual_8h4_24h5,新增 8h 4% + 保留 24h 5%,32:0.040+96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,4.9153395340055095,-0.3185901936764046,4.971106971662356,2.764514833926686,293,292,145,148,123,169,0.4212328767123288,0,0.0,0.5627945436193794,2.8989135733845584,0.5788835263006864,-0.00440413001588625,294
risk_decay_025,止损后仓位乘 0.25,96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,7.6086407641028,-0.33625317435556157,7.707028690515507,3.282017635511244,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.5355759169029326,2.8989135733845584,0.5750900561704758,-0.0049645102855840634,158
dual_4h3_24h5,新增 4h 3% + 保留 24h 5%,16:0.030+96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.838387937690447,-0.35169059358372357,2.8657388049150447,2.2336497273958873,285,284,146,139,121,163,0.426056338028169,0,0.0,0.533653414665014,2.8989135733845584,0.5639911836453366,-0.00522959526827722,312
single_4h3_only,只用 4h 3% 趋势过滤,16:0.030,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,0.627313881498641,-0.3873199628929448,0.63150217465612,1.0256907923161775,324,323,156,168,147,176,0.4551083591331269,0,0.0,0.5885954551079488,2.9661263383297647,0.6187976563716848,-0.0019367671376603667,124
dual_4h3_8h4_24h5,4h/8h/24h 三重趋势过滤,16:0.030+32:0.040+96:0.050,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.547638438844986,-0.4016767573540231,2.5714321644858695,2.1378288683152893,273,272,136,137,117,155,0.43014705882352944,0,0.0,0.5211735293031422,2.8989135733845584,0.5389801035745004,-0.004553155354148644,457
single_8h4_only,只用 8h 4% 趋势过滤,32:0.040,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,1.934069559939405,-0.425375240899019,1.950788738368408,1.7777742619632042,327,326,159,168,144,182,0.44171779141104295,0,0.0,0.5953092582615234,2.9661263383297647,0.6297327565785096,-0.0027617190808220658,117
