variant,window,note,start,end,days,cumulative_return,max_drawdown,annualized_return,sharpe,entries,exits,long_entries,short_entries,stops,takes,stop_rate,both_stop_take_hits,both_hit_rate_per_exit,avg_allocation,max_allocation,costs,funding,blocked_by_trend_total
baseline_v18_24h5,7d,当前 V18：24h 5% 禁逆势,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,0.09647305587639354,-0.11243022572853134,120.78901682222843,6.937593309779019,7,6,3,4,2,4,0.3333333333333333,0,0.0,0.38244736871917295,1.5609728886832286,0.01171891412498222,3.769602728595687e-05,9
baseline_v18_24h5,30d,当前 V18：24h 5% 禁逆势,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.3451847608690324,-0.21432001044922866,35.884756507859045,4.1545313657987775,27,26,13,14,9,17,0.34615384615384615,0,0.0,1.0109208182771459,2.8989135733845584,0.08096292241351428,-0.0003317545541542154,22
baseline_v18_24h5,90d,当前 V18：24h 5% 禁逆势,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,2.6419285730766187,-0.21432001044922888,188.02131277642647,6.226601135085277,72,71,39,33,21,50,0.29577464788732394,0,0.0,0.9451816145853786,2.8989135733845584,0.1992603076054969,-0.0009560101515810866,41
baseline_v18_24h5,180d,当前 V18：24h 5% 禁逆势,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,2.6706059281267147,-0.27971965473328764,12.968915279240129,3.6087578348713896,151,150,73,78,58,92,0.38666666666666666,0,0.0,0.7286473749812465,2.8989135733845584,0.3333883519202477,4.973299485047369e-06,76
baseline_v18_24h5,full,当前 V18：24h 5% 禁逆势,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,8.998697398046577,-0.27977454853154593,9.120966514421243,3.3894333470804363,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.5885591908099929,2.8989135733845584,0.6320299161957036,-0.004681492813799317,158
dual_4h3_24h5,7d,新增 4h 3% + 保留 24h 5%,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,0.05428471591598405,-0.10881844712995525,14.74312885110276,4.274158163064265,6,5,3,3,2,3,0.4,0,0.0,0.35453881910093527,1.5609728886832286,0.00971194285855,3.769602728595687e-05,14
dual_4h3_24h5,30d,新增 4h 3% + 保留 24h 5%,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.29342688893870617,-0.21432001044922866,21.883701290162527,3.683834520653684,26,25,13,13,9,16,0.36,0,0.0,1.0043165799181184,2.8989135733845584,0.07895595114708208,-0.0003317545541542154,35
dual_4h3_24h5,90d,新增 4h 3% + 保留 24h 5%,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,1.1951852107769616,-0.24563447233329938,23.258016829868396,4.229340569445703,70,69,38,32,24,45,0.34782608695652173,0,0.0,0.8363099173096418,2.8989135733845584,0.1894027000806007,-0.0006046225128396328,71
dual_4h3_24h5,180d,新增 4h 3% + 保留 24h 5%,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,1.9061813643417707,-0.24563447233329982,7.699924876312146,3.140829523324356,140,139,69,71,54,85,0.38848920863309355,0,0.0,0.6739212455457403,2.8989135733845584,0.3164720108710796,-0.0002188982809559935,141
dual_4h3_24h5,full,新增 4h 3% + 保留 24h 5%,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.838387937690447,-0.35169059358372357,2.8657388049150447,2.2336497273958873,285,284,146,139,121,163,0.426056338028169,0,0.0,0.533653414665014,2.8989135733845584,0.5639911836453366,-0.00522959526827722,312
dual_4h4_24h5,7d,新增 4h 4% + 保留 24h 5%,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,0.09647305587639354,-0.11243022572853134,120.78901682222843,6.937593309779019,7,6,3,4,2,4,0.3333333333333333,0,0.0,0.38244736871917295,1.5609728886832286,0.01171891412498222,3.769602728595687e-05,12
