variant,date,equity
baseline_v18_24h5,2025-05-30,1.0
baseline_v18_24h5,2025-06-06,1.1929094206778992
baseline_v18_24h5,2025-06-13,1.140439820753353
baseline_v18_24h5,2025-06-20,1.2954719218313462
baseline_v18_24h5,2025-06-27,1.1531478136003244
baseline_v18_24h5,2025-07-04,1.098377583786565
baseline_v18_24h5,2025-07-11,1.1712340947056297
baseline_v18_24h5,2025-07-18,1.3742334805689786
baseline_v18_24h5,2025-07-25,1.461226752159983
baseline_v18_24h5,2025-08-01,1.4197520612879975
baseline_v18_24h5,2025-08-08,1.5193461836718616
baseline_v18_24h5,2025-08-15,1.3308733356026272
baseline_v18_24h5,2025-08-22,1.539804860598195
baseline_v18_24h5,2025-08-29,1.46673540612232
baseline_v18_24h5,2025-09-05,1.4545609237023431
baseline_v18_24h5,2025-09-12,1.3637449383495548
baseline_v18_24h5,2025-09-19,1.2881038573659154
baseline_v18_24h5,2025-09-26,1.4243200539969745
baseline_v18_24h5,2025-10-03,1.3060861967965411
baseline_v18_24h5,2025-10-10,1.4990430775523855
baseline_v18_24h5,2025-10-17,1.52104934139101
baseline_v18_24h5,2025-10-24,2.2415229034382413
baseline_v18_24h5,2025-10-31,2.5619001660974954
baseline_v18_24h5,2025-11-07,2.301691888474094
baseline_v18_24h5,2025-11-14,2.6059399476357106
baseline_v18_24h5,2025-11-21,2.6113741350256663
baseline_v18_24h5,2025-11-28,2.4768363928886648
baseline_v18_24h5,2025-12-05,2.38319133380099
baseline_v18_24h5,2025-12-12,2.4851771471343516
baseline_v18_24h5,2025-12-19,2.6115562126534537
baseline_v18_24h5,2025-12-26,2.3620872081777473
baseline_v18_24h5,2026-01-02,2.1752962506626092
baseline_v18_24h5,2026-01-09,2.1033984799076655
baseline_v18_24h5,2026-01-16,2.369841648383238
baseline_v18_24h5,2026-01-23,2.2099378830761456
baseline_v18_24h5,2026-01-30,2.031406310566723
baseline_v18_24h5,2026-02-06,2.0393081732569107
baseline_v18_24h5,2026-02-13,2.5965329951139995
baseline_v18_24h5,2026-02-20,2.3835183323924527
baseline_v18_24h5,2026-02-27,3.0395088109375763
baseline_v18_24h5,2026-03-06,3.3234362153997523
baseline_v18_24h5,2026-03-13,3.761652534857178
baseline_v18_24h5,2026-03-20,4.581037079847306
baseline_v18_24h5,2026-03-27,5.060034289321227
baseline_v18_24h5,2026-04-03,5.583947504340905
baseline_v18_24h5,2026-04-10,7.75155604434465
baseline_v18_24h5,2026-04-17,8.1750462038694
baseline_v18_24h5,2026-04-24,7.8850924198380925
baseline_v18_24h5,2026-05-01,9.362456709337842
baseline_v18_24h5,2026-05-08,9.098130289612827
baseline_v18_24h5,2026-05-15,9.118963155966275
baseline_v18_24h5,2026-05-22,9.998697398046577
dual_4h3_24h5,2025-05-30,1.0
dual_4h3_24h5,2025-06-06,1.1929094206778992
dual_4h3_24h5,2025-06-13,1.0572995874715219
dual_4h3_24h5,2025-06-20,1.0070629895554406
dual_4h3_24h5,2025-06-27,0.9135337311987609
dual_4h3_24h5,2025-07-04,0.8701442785975733
dual_4h3_24h5,2025-07-11,0.927861840454812
dual_4h3_24h5,2025-07-18,1.0886797201850837
dual_4h3_24h5,2025-07-25,1.1947101882391553
dual_4h3_24h5,2025-08-01,1.0771107005152418
dual_4h3_24h5,2025-08-08,1.0918975404800353
dual_4h3_24h5,2025-08-15,0.9866106875637126
dual_4h3_24h5,2025-08-22,1.0527956167694001
dual_4h3_24h5,2025-08-29,1.0028365580857903
dual_4h3_24h5,2025-09-05,0.9945126190879566
dual_4h3_24h5,2025-09-12,0.9324198995761709
dual_4h3_24h5,2025-09-19,0.8628847644069183
dual_4h3_24h5,2025-09-26,0.9541343015201434
dual_4h3_24h5,2025-10-03,0.8675052421517166
dual_4h3_24h5,2025-10-10,0.8737252199791286
dual_4h3_24h5,2025-10-17,0.911579808149273
dual_4h3_24h5,2025-10-24,1.2132756224252124
dual_4h3_24h5,2025-10-31,1.2418113356525609
dual_4h3_24h5,2025-11-07,1.112160513801811
dual_4h3_24h5,2025-11-14,1.1573354714816388
dual_4h3_24h5,2025-11-21,1.2661629089748503
dual_4h3_24h5,2025-11-28,1.3431249494471764
dual_4h3_24h5,2025-12-05,1.2923436319511017
dual_4h3_24h5,2025-12-12,1.3927299709568866
dual_4h3_24h5,2025-12-19,1.4432820572682
dual_4h3_24h5,2025-12-26,1.54865134459143
dual_4h3_24h5,2026-01-02,1.4261858968671257
dual_4h3_24h5,2026-01-09,1.3790476798837321
dual_4h3_24h5,2026-01-16,1.5537353754473613
dual_4h3_24h5,2026-01-23,1.4488979332518617
dual_4h3_24h5,2026-01-30,1.3468876795944538
dual_4h3_24h5,2026-02-06,1.3369161604746604
dual_4h3_24h5,2026-02-13,1.6537107226005503
dual_4h3_24h5,2026-02-20,1.5180434183619256
dual_4h3_24h5,2026-02-27,1.8419968800719309
dual_4h3_24h5,2026-03-06,2.0228875242630817
dual_4h3_24h5,2026-03-13,2.2896181813616994
dual_4h3_24h5,2026-03-20,2.6546846797874717
dual_4h3_24h5,2026-03-27,2.932260811891982
dual_4h3_24h5,2026-04-03,3.235865511266584
dual_4h3_24h5,2026-04-10,3.1849763721313757
dual_4h3_24h5,2026-04-17,3.2638914767406146
dual_4h3_24h5,2026-04-24,3.1481272766678914
dual_4h3_24h5,2026-05-01,3.7379657426886506
dual_4h3_24h5,2026-05-08,3.632433281231796
dual_4h3_24h5,2026-05-15,3.6407508140299436
dual_4h3_24h5,2026-05-22,3.838387937690447
dual_4h4_24h5,2025-05-30,1.0
dual_4h4_24h5,2025-06-06,1.1929094206778992
dual_4h4_24h5,2025-06-13,1.0572995874715219
