parameter,value,name,action,exit_rvol,min_mfe_atr,fail_bars,cooldown_bars,reduce_fraction,wick_min,stop_atr,adx_exit,adx_exit_bars,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,reduce_events,exit_reasons,fitness,delta_return,delta_max_dd,delta_sharpe,delta_fitness
baseline,baseline,V8_full_exit_xrv2_mfe4_fb1_cd0,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
action,full_exit,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
action,half_reduce,Ablation_half_reduce_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,half_reduce,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,2.8494855306494538,-0.21927648127559285,2.7833671140329788,49,0.6938775510204082,0.04670345840758273,0.015242792168481135,0.8017530910211013,-0.12620230716950687,67.55102040816327,27,"{'trend_break': 47, 'stop_loss': 1, 'opposite_cross': 1}",2.5205708087360645,-2.0860651426285877,0.05699677746240073,-0.06472107535197402,-2.0005699764349862
exit_rvol,1.2,Ablation_full_exit_xrv1.2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,1.2,4.0,1,0,0.5,0.35,9.0,22.0,3,5.058665195447442,-0.3122317906519583,2.9056506104056674,103,0.7184466019417476,0.024064663230181728,0.04784948130886137,0.12010692843395553,-0.145047490017647,28.650485436893202,0,"{'volume_exhaustion': 63, 'trend_break': 36, 'stop_loss': 3, 'opposite_cross': 1}",4.590317509469505,0.12311452216940033,-0.0359585319139647,0.05756242102071463,0.06917672429845378
exit_rvol,1.5,Ablation_full_exit_xrv1.5_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,1.5,4.0,1,0,0.5,0.35,9.0,22.0,3,4.764762173280074,-0.27627325873799324,2.8105829178965305,100,0.71,0.024280999134188467,0.047051388472359075,0.1659875736706442,-0.145047490017647,30.04,0,"{'volume_exhaustion': 58, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.350352285173084,-0.1707884999979674,3.3306690738754696e-16,-0.03750527148842231,-0.17078849999796653
exit_rvol,2.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
exit_rvol,2.5,Ablation_full_exit_xrv2.5_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.5,4.0,1,0,0.5,0.35,9.0,22.0,3,4.787966361898225,-0.27769838257071566,2.8080042205936917,96,0.7083333333333334,0.02518488876644004,0.04754389264830507,0.2442876257195108,-0.145047490017647,31.364583333333332,0,"{'volume_exhaustion': 54, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.371418788042152,-0.1475843113798163,-0.001425123832722086,-0.04008396879126108,-0.149721997128899
exit_rvol,3.0,Ablation_full_exit_xrv3_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,3.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.652104404468358,-0.2776983825707159,2.7803030947637573,95,0.7052631578947368,0.02515567737714176,0.04723830398774877,0.2442876257195108,-0.145047490017647,31.57894736842105,0,"{'volume_exhaustion': 53, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.235556830612284,-0.2834462688096835,-0.0014251238327223081,-0.06778509462119553,-0.28558395455876706
min_mfe_atr,1.5,Ablation_full_exit_xrv2_mfe1.5_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,1.5,1,0,0.5,0.35,9.0,22.0,3,3.523796478139807,-0.27627325873799313,2.5391819923089627,143,0.7692307692307693,0.016345020771190683,0.02245300867110966,0.1659875736706442,-0.1450568916160212,19.307692307692307,0,"{'volume_exhaustion': 104, 'trend_break': 35, 'stop_loss': 3, 'opposite_cross': 1}",3.109386590032817,-1.4117541951382346,4.440892098500626e-16,-0.3089061970759901,-1.4117541951382337
min_mfe_atr,2.0,Ablation_full_exit_xrv2_mfe2_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,2.0,1,0,0.5,0.35,9.0,22.0,3,4.406884618069123,-0.27627325873799324,2.806133669603353,134,0.7910447761194029,0.018520932636601817,0.026156533469580325,0.1659875736706442,-0.14507386535204692,20.850746268656717,0,"{'volume_exhaustion': 96, 'trend_break': 34, 'stop_loss': 3, 'opposite_cross': 1}",3.992474729962133,-0.5286660552089186,3.3306690738754696e-16,-0.041954519781599586,-0.5286660552089177
min_mfe_atr,2.5,Ablation_full_exit_xrv2_mfe2.5_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,2.5,1,0,0.5,0.35,9.0,22.0,3,3.8989573489319405,-0.28307448860879314,2.6432118649716854,124,0.75,0.018863612297775844,0.027966703528971536,0.1659875736706442,-0.14507386535204692,22.782258064516128,0,"{'volume_exhaustion': 85, 'trend_break': 36, 'stop_loss': 2, 'opposite_cross': 1}",3.4743456160187507,-1.036593324346101,-0.006801229870799563,-0.20487632441326742,-1.0467951691523
min_mfe_atr,3.0,Ablation_full_exit_xrv2_mfe3_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,3.0,1,0,0.5,0.35,9.0,22.0,3,4.127248050678535,-0.2762732587379937,2.686585386094093,109,0.7247706422018348,0.02136704490976831,0.037278895712565006,0.1659875736706442,-0.14507386535204692,26.73394495412844,0,"{'volume_exhaustion': 69, 'trend_break': 36, 'stop_loss': 3, 'opposite_cross': 1}",3.7128381625715443,-0.8083026225995065,-1.1102230246251565e-16,-0.16150280329085964,-0.8083026225995065
min_mfe_atr,4.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
min_mfe_atr,5.0,Ablation_full_exit_xrv2_mfe5_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,5.0,1,0,0.5,0.35,9.0,22.0,3,4.758327080803934,-0.27627325873799347,2.792496110588686,90,0.7222222222222222,0.02656542606434184,0.03818077630698006,0.1659875736706442,-0.1450480397092712,34.21111111111111,0,"{'volume_exhaustion': 46, 'trend_break': 40, 'stop_loss': 3, 'opposite_cross': 1}",4.343917192696944,-0.17722359247410768,1.1102230246251565e-16,-0.05559207879626671,-0.1772235924741068
min_mfe_atr,6.0,Ablation_full_exit_xrv2_mfe6_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,6.0,1,0,0.5,0.35,9.0,22.0,3,4.349422836857673,-0.27627325873799347,2.6868979391431385,79,0.6708860759493671,0.028754464829907896,0.02231747743165683,0.1659875736706442,-0.1450568916160212,39.392405063291136,0,"{'volume_exhaustion': 35, 'trend_break': 40, 'stop_loss': 3, 'opposite_cross': 1}",3.9350129487506824,-0.5861278364203688,1.1102230246251565e-16,-0.16119025024181433,-0.5861278364203684
