parameter,tested_values,best_value,best_return,best_max_dd,best_sharpe,best_fitness,worst_value,worst_return,worst_max_dd,worst_sharpe,worst_fitness,return_range,max_dd_range,sharpe_range,fitness_range
cooldown_bars,"0, 16, 32, 64, 96",0,4.935550673278041,-0.2762732587379936,2.848088189384953,4.521140785171051,96,1.185175939105989,-0.27992449483494064,1.7977045845915396,0.7652891968535781,3.7503747341720524,0.024483033395138465,1.0503836047934132,3.755851588317473
adx_exit,"18.0, 20.0, 22.0, 24.0, 26.0, 28.0",18.0,5.403897180077157,-0.32131627584894085,2.8314386941599934,4.921922766303746,28.0,2.194380029148127,-0.31341634105511784,2.1339240466052867,1.72425551756545,3.2095171509290306,0.08509932834486,0.7141641427796661,3.197667248738296
reduce_fraction,"0.25, 0.33, 0.5, 0.67, 0.75, 1.0",0.25,3.7430195393492127,-0.2434846636442317,2.770649770163239,3.3777925438828653,1.0,1.368733553597528,-0.18443509781661183,2.178070782640291,1.0920809068726103,2.3742859857516847,0.05904956582761989,0.6072161382917249,2.2857116370102553
action,"full_exit, half_reduce",full_exit,4.935550673278041,-0.2762732587379936,2.848088189384953,4.521140785171051,half_reduce,2.8494855306494538,-0.21927648127559285,2.7833671140329788,2.5205708087360645,2.0860651426285877,0.05699677746240073,0.06472107535197402,2.0005699764349862
fail_bars,"1, 2, 3, 4",1,4.935550673278041,-0.2762732587379936,2.848088189384953,4.521140785171051,2,3.369178564272084,-0.2726980633029715,2.3792166135013066,2.9601314693176266,1.5663721090059575,0.008602094212966427,0.46887157588364614,1.5610093158534242
min_mfe_atr,"1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0",4.0,4.935550673278041,-0.2762732587379936,2.848088189384953,4.521140785171051,1.5,3.523796478139807,-0.27627325873799313,2.5391819923089627,3.109386590032817,1.4117541951382346,0.006801229870800007,0.3089061970759901,1.4117541951382337
stop_atr,"6.0, 7.5, 9.0, 10.5, 12.0",12.0,5.19979704302295,-0.2762732587379938,2.907316487488706,4.785387154915959,6.0,4.51605433436603,-0.28194576611112065,2.788463762399031,4.09313568519935,0.6837427086569194,0.005672507373127078,0.11885272508967493,0.6922514697166093
adx_exit_bars,"1, 2, 3, 4, 5",2,5.016574297173862,-0.2699821990533924,2.8803238715800594,4.611600998593773,4,4.377531292295011,-0.2821195237089086,2.6987818824168595,3.9543520067316478,0.6390430048788511,0.05479031278829383,0.18154198916319997,0.6572489918621254
wick_min,"0.25, 0.35, 0.45, 0.55, 0.65",0.55,5.306513068209174,-0.27627325873799335,2.936344069625511,4.892103180102184,0.25,4.935550673278041,-0.2762732587379936,2.848088189384953,4.521140785171051,0.3709623949311327,2.220446049250313e-16,0.08825588024055842,0.3709623949311336
exit_rvol,"1.2, 1.5, 2.0, 2.5, 3.0",1.2,5.058665195447442,-0.3122317906519583,2.9056506104056674,4.590317509469505,3.0,4.652104404468358,-0.2776983825707159,2.7803030947637573,4.235556830612284,0.4065607909790838,0.03595853191396503,0.12534751564191016,0.35476067885722085
overlay,no_overlay_v6,no_overlay_v6,4.540835502247385,-0.26767116452502715,2.655054680794021,4.139328755459845,no_overlay_v6,4.540835502247385,-0.26767116452502715,2.655054680794021,4.139328755459845,0.0,0.0,0.0,0.0
