parameter,candidates,best_value_by_return,best_return,best_return_delta,best_value_by_dd,best_max_dd,best_dd_delta,return_range,dd_range,sharpe_range,worst_return
hard_exit_mode,7,none,13.111289434337257,0.527026407264362,swing24,-0.271839168732398,0.02287899334787391,12.061526335399197,0.03525848656767627,2.3094616376022055,1.04976309893806
confirm_mode,7,ema21_or_donchian,12.584263027072895,0.0,atr_trail,-0.2798696793261156,0.01484848275415629,9.543352566976054,0.05316655547645721,1.7275940117273185,3.04091046009684
entry_max_regime_age,5,0,15.870878277940179,3.2866152508672837,64,-0.2039142158086017,0.09080394627167021,8.408202627422767,0.17134571738042326,0.4216200462028481,7.462675650517411
warning_source,2,either,12.584263027072895,0.0,either,-0.2947181620802719,0.0,6.944881244594733,0.0915227829137446,1.566393647552542,5.639381782478162
exit_rvol,3,2.5,12.584263027072895,0.0,3.0,-0.29471816208027113,7.771561172376096e-16,5.57388240157759,7.771561172376096e-16,0.7795989976281921,7.010380625495305
volume_warning_mode,4,blowoff_only,11.56274791040797,-1.0215151166649257,mfi_rvol_exit_wick35,-0.29471816208027124,6.661338147750939e-16,5.0282978058092915,6.661338147750939e-16,0.5952377711032084,6.534450104598678
segment_min_mfe_atr,2,6.0,6.9393035710381845,-5.6449594560347105,2.0,-0.2947181620802707,1.2212453270876722e-15,4.497178584742292,6.661338147750939e-16,0.9776720367816898,2.4421249862958923
wick_min,3,0.45,10.58793743447243,-1.9963255926004653,0.35,-0.29471816208027113,7.771561172376096e-16,4.052255294192259,4.440892098500626e-16,0.4517541141007593,6.535682140280171
stop_atr,4,8.0,13.033902831419692,0.4496398043467966,7.0,-0.27321262013278214,0.02150554194748977,3.9634124979964422,0.05962327394862821,0.40779096031592443,9.07049033342325
segment_exit_mode,5,ema55_adx22,6.809894518454805,-5.77436850861809,adx22,-0.294718162080271,8.881784197001252e-16,3.1481143839230716,5.551115123125783e-16,0.4714513494045085,3.6617801345317336
warning_exit_min_capture,3,0.2,12.22735194006908,-0.35691108700381413,0.0,-0.2929787599447875,0.0017394021354844025,1.7734692457774237,0.0017394021354845135,0.26284357267478375,10.453882694291657
min_mfe_atr,4,3.0,11.473503208826182,-1.1107598182467129,2.0,-0.29471816208027124,6.661338147750939e-16,1.7593684491070327,6.661338147750939e-16,0.3451316648667859,9.71413475971915
entry_min_rvol96,2,1.2,12.658464202437575,0.07420117536467963,1.5,-0.2943589203205408,0.0003592417597311215,1.4528825098151206,0.0003592417597305664,0.07380897627470828,11.205581692622454
segment_bars,3,4,4.983146571320653,-7.601116455752242,2,-0.2947181620802709,9.992007221626409e-16,1.321366436788919,6.661338147750939e-16,0.3377451093362076,3.6617801345317336
segment_adx,2,22.0,4.7348623471903855,-7.84940067988251,22.0,-0.294718162080271,8.881784197001252e-16,1.073082212658652,5.551115123125783e-16,0.43328806103900064,3.6617801345317336
hard_exit_bars,2,3,13.111289434337257,0.527026407264362,3,-0.29471816208027113,7.771561172376096e-16,1.0718872223961107,4.440892098500626e-16,0.08137865715482251,12.039402211941146
segment_exit_min_capture,2,0.5,7.414092885714419,-5.170170141358476,0.5,-0.2947181620802716,3.3306690738754696e-16,1.000692872035847,2.220446049250313e-16,0.08497613180721553,6.413400013678572
entry_max_dist_ema96,2,0.08,15.731450131323182,3.1471871042502872,0.1,-0.2039142158086018,0.0908039462716701,0.8471859286464056,2.220446049250313e-16,0.10380181538589195,14.884264202676777
entry_max_move48,2,0.12,14.504250778738246,1.9199877516653512,0.12,-0.20391421580860203,0.09080394627166988,0.36432702788865434,0.008685866871728232,0.01558528642137258,14.139923750849592
fallback_adx,2,18.0,2.062910071465043,-10.521352955607853,22.0,-0.24672633317029746,0.04799182890997444,0.24467449467617053,0.04799182890997389,0.06079707652992328,1.8182355767888723
confirm_window,2,48,12.584263027072895,0.0,48,-0.2947181620802719,0.0,0.0,0.0,0.0,12.584263027072895
trail_atr,2,7.5,12.584263027072895,0.0,7.5,-0.2947181620802719,0.0,0.0,0.0,0.0,12.584263027072895
osc_min_score,2,2,12.584263027072895,0.0,2,-0.2947181620802719,0.0,0.0,0.0,0.0,12.584263027072895
fallback_bars,2,2,12.584263027072895,0.0,2,-0.2947181620802719,0.0,0.0,0.0,0.0,12.584263027072895
reentry_mode,2,breakout48,4.694694948558048,-7.889568078514847,breakout48,-0.2957522516740172,-0.001034089593745291,0.0,0.0,0.0,4.694694948558048
