name,hard_exit_mode,hard_exit_bars,volume_warning_mode,warning_exit_min_capture,entry_max_regime_age,entry_min_rvol96,entry_max_dist_ema96,entry_max_move48,segment_exit_mode,segment_min_mfe_atr,segment_exit_min_capture,segment_adx,segment_bars,fallback_adx,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness
V12_4_cap35_dist08,swing96,1,no_mfi_div,0.35,0,0.0,0.08,0.0,none,0.0,0.0,0.0,1,0.0,16.163969357019212,-0.3765216542764862,3.2541381229419444,60,0.65,0.0611599997429185,0.053820794991809875,0.5920380316936312,-0.13826903700571208,115.0,"{'hard_swing96': 20, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}",15.599186875604483
V12_4_cap35_move48_12,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.12,none,0.0,0.0,0.0,1,0.0,16.01371386307293,-0.3697207240094055,3.2689998365721236,59,0.6610169491525424,0.06169606318979602,0.05508211387509543,0.5920380316936312,-0.12881683816648531,114.11864406779661,"{'hard_swing96': 19, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}",15.459132777058821
V12_4_cap35_dist10_move12,swing96,1,no_mfi_div,0.35,0,0.0,0.1,0.12,none,0.0,0.0,0.0,1,0.0,16.01371386307293,-0.3697207240094055,3.2689998365721236,59,0.6610169491525424,0.06169606318979602,0.05508211387509543,0.5920380316936312,-0.12881683816648531,114.11864406779661,"{'hard_swing96': 19, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}",15.459132777058821
V12_4_cap35_rvol12,swing96,1,no_mfi_div,0.35,0,1.2,0.0,0.0,none,0.0,0.0,0.0,1,0.0,15.992906918110322,-0.39925825757340483,3.274600051798726,60,0.65,0.06101069587935567,0.053820794991809875,0.5920380316936312,-0.14521973063110719,111.93333333333334,"{'hard_swing96': 18, 'warning_confirm_volume': 36, 'stop_loss': 5, 'opposite_cross': 1}",15.394019531750214
V12_3_no_mfi_cap35,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,15.870878277940179,-0.37525993318902473,3.232677964219786,60,0.65,0.06097450396284778,0.053820794991809875,0.5920380316936312,-0.144563902827127,113.03333333333333,"{'hard_swing96': 19, 'warning_confirm_volume': 36, 'stop_loss': 4, 'opposite_cross': 1}",15.307988378156642
V12_4_cap35_move48_10,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.1,none,0.0,0.0,0.0,1,0.0,15.61391667883349,-0.36972072400940603,3.2611105794538315,58,0.6551724137931034,0.0620441392062088,0.053820794991809875,0.5920380316936312,-0.12881683816648531,115.56896551724138,"{'hard_swing96': 19, 'warning_confirm_volume': 35, 'stop_loss': 3, 'opposite_cross': 1}",15.059335592819382
V12_2_swing96_no_mfi_div,swing96,1,no_mfi_div,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,15.479815462662472,-0.37525993318902495,3.243088795308459,65,0.6615384615384615,0.055995562657179976,0.03713991218676416,0.5920380316936312,-0.144563902827127,99.64615384615385,"{'hard_swing96': 17, 'warning_confirm_volume': 43, 'stop_loss': 4, 'opposite_cross': 1}",14.916925562878935
V12_4_cap35_age256_dist08,swing96,1,no_mfi_div,0.35,256,0.0,0.08,0.0,none,0.0,0.0,0.0,1,0.0,15.41418950895957,-0.37652165427648676,3.6838899506069263,39,0.7435897435897436,0.086603098452204,0.06817646602792897,0.5920380316936312,-0.13826903700571208,123.2051282051282,"{'hard_swing96': 10, 'warning_confirm_volume': 26, 'stop_loss': 3}",14.84940702754484
V12_4_cap35_dist10,swing96,1,no_mfi_div,0.35,0,0.0,0.1,0.0,none,0.0,0.0,0.0,1,0.0,15.238585508885894,-0.3788849062921894,3.184878428077885,60,0.65,0.06032282062523955,0.053820794991809875,0.5920380316936312,-0.13826903700571208,115.5,"{'hard_swing96': 20, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}",14.67025814944761
V12_4_cap35_age256,swing96,1,no_mfi_div,0.35,256,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,15.128469831336972,-0.3752599331890242,3.654298010422634,39,0.7435897435897436,0.08630889838651025,0.06817646602792897,0.5920380316936312,-0.144563902827127,120.2051282051282,"{'hard_swing96': 9, 'warning_confirm_volume': 26, 'stop_loss': 4}",14.565579931553435
