regime_id,side,reason,start_ts,end_ts,signals,age_start,dist_start,future_move
33,short,age_gt_128,2025-09-22 13:45:00+00:00,2025-09-22 13:45:00+00:00,1,192.0,0.00808169753463317,0.20453407566138626
33,short,age_gt_128,2025-09-22 08:45:00+00:00,2025-09-22 08:45:00+00:00,1,172.0,0.032945606495075275,0.19417337850723249
33,short,age_gt_128,2025-09-22 05:30:00+00:00,2025-09-22 07:00:00+00:00,7,159.0,0.04781752019725716,0.19163139042657118
104,long,age_gt_128,2026-04-08 16:00:00+00:00,2026-04-08 16:00:00+00:00,1,249.0,0.006496472917842722,0.1817125145292522
33,short,age_gt_128,2025-09-22 07:30:00+00:00,2025-09-22 07:45:00+00:00,2,167.0,0.053244259620122025,0.18032110281068137
4,long,age_gt_128,2025-06-09 20:30:00+00:00,2025-06-09 21:30:00+00:00,5,157.0,0.029457646041000984,0.17056074766355134
4,long,age_gt_128,2025-06-09 19:30:00+00:00,2025-06-09 19:30:00+00:00,1,153.0,0.0322941386613973,0.1704053731184796
48,long,age_gt_128,2025-10-25 19:00:00+00:00,2025-10-25 19:15:00+00:00,2,240.0,0.057173610033193656,0.16976738771043376
104,long,age_gt_128,2026-04-08 13:30:00+00:00,2026-04-08 15:00:00+00:00,7,239.0,0.022200888876109826,0.165813011237673
48,long,age_gt_128,2025-10-25 20:15:00+00:00,2025-10-25 20:15:00+00:00,1,245.0,0.054695041292846636,0.16572303694078339
4,long,age_gt_128,2025-06-09 18:30:00+00:00,2025-06-09 18:30:00+00:00,1,149.0,0.04373920660504704,0.16124953906126538
48,long,age_gt_128,2025-10-25 21:15:00+00:00,2025-10-25 21:15:00+00:00,1,249.0,0.05828232883313733,0.1567846369937138
30,long,age_gt_128,2025-09-08 06:15:00+00:00,2025-09-08 11:30:00+00:00,22,464.0,0.0438665534274687,0.15678187743934324
4,long,age_gt_128,2025-06-09 17:15:00+00:00,2025-06-09 17:30:00+00:00,2,144.0,0.05348876153841298,0.15640655737704923
104,long,age_gt_128,2026-04-08 12:45:00+00:00,2026-04-08 13:00:00+00:00,2,236.0,0.03495039476533601,0.1536424843028974
48,long,age_gt_128,2025-10-25 21:45:00+00:00,2025-10-25 23:00:00+00:00,6,251.0,0.06223153486584487,0.14961098398169326
48,long,age_gt_128,2025-10-26 03:45:00+00:00,2025-10-26 03:45:00+00:00,1,275.0,0.03280354737715885,0.14958467769616246
30,long,age_gt_128,2025-09-08 20:15:00+00:00,2025-09-08 20:15:00+00:00,1,520.0,0.004538803295356386,0.14867051561220213
4,long,age_gt_128,2025-06-09 22:00:00+00:00,2025-06-09 23:00:00+00:00,5,163.0,0.04532351710797222,0.14624444271117687
48,long,age_gt_128,2025-10-26 05:15:00+00:00,2025-10-26 05:30:00+00:00,2,281.0,0.03182383641221809,0.1462012320328543
48,long,age_gt_128,2025-10-26 03:15:00+00:00,2025-10-26 03:15:00+00:00,1,273.0,0.04052372366092816,0.142707669911746
48,long,age_gt_128,2025-10-26 02:15:00+00:00,2025-10-26 02:15:00+00:00,1,269.0,0.04615365603395505,0.14058030241111563
48,long,age_gt_128,2025-10-26 00:00:00+00:00,2025-10-26 00:30:00+00:00,3,260.0,0.05748928711972012,0.14021788470267804
48,long,age_gt_128,2025-10-26 01:45:00+00:00,2025-10-26 01:45:00+00:00,1,267.0,0.05039632678272343,0.138306067884171
4,long,age_gt_128,2025-06-10 06:00:00+00:00,2025-06-10 06:00:00+00:00,1,195.0,0.02301855289904875,0.13793103448275867
