spec,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,warning_ts,exit_reason,equity_after,entry_dt,regime_id,entry_key
V12_3_no_entry_filter,2025-09-08 17:15:00+00:00,2025-09-09 11:45:00+00:00,1,long,50.6863305,54.213879500000004,3.0,0.06959566741569523,0.20878700224708568,74,19.076232662208263,volume,2025-09-09 06:45:00+00:00,warning_confirm_volume,2.380754585939061,2025-09-08 17:15:00+00:00,30,2025-09-08 17:15:00+00:00
V12_3_no_entry_filter,2025-10-25 19:15:00+00:00,2025-10-26 15:00:00+00:00,1,long,42.9684735,46.946515,2.0478433271689527,0.09258047065600317,0.1895902990590571,79,16.7865448753212,volume,2025-10-26 08:00:00+00:00,warning_confirm_volume,2.912160032480956,2025-10-25 19:15:00+00:00,48,2025-10-25 19:15:00+00:00
V12_3_no_entry_filter,2025-11-21 09:45:00+00:00,2025-11-23 01:00:00+00:00,-1,short,33.48824750000001,30.3341595,1.4327826110671718,0.09418492263591904,0.13494651937745167,157,12.646673515392452,volume,2025-11-22 16:15:00+00:00,warning_confirm_volume,3.3545150044862835,2025-11-21 09:45:00+00:00,59,2025-11-21 09:45:00+00:00
V12_3_no_entry_filter,2025-08-09 13:45:00+00:00,2025-08-11 08:00:00+00:00,1,long,43.691835,46.0519625,2.46878054166601,0.05401758703885995,0.1333575677892875,169,10.973029188041744,volume,2025-08-11 02:15:00+00:00,warning_confirm_volume,1.7344317436657253,2025-08-09 13:45:00+00:00,26,2025-08-09 13:45:00+00:00
V12_3_no_entry_filter,2025-08-01 08:30:00+00:00,2025-08-02 20:30:00+00:00,-1,short,39.581199500000004,36.8454135,1.8153650100624212,0.06911831967093374,0.12547497908492228,144,13.393036557409545,volume,2025-08-02 19:00:00+00:00,warning_confirm_volume,1.5374457908528802,2025-08-01 08:30:00+00:00,25,2025-08-01 08:30:00+00:00
V12_3_no_entry_filter,2026-05-21 07:15:00+00:00,2026-05-22 14:30:00+00:00,1,long,57.168569999999995,60.295837000000006,2.2421663680124966,0.054702557716591604,0.12265223515640417,125,13.438896758505996,volume,2026-05-21 14:00:00+00:00,warning_confirm_volume,17.287077361509652,2026-05-21 07:15:00+00:00,114,2026-05-21 07:15:00+00:00
V12_3_no_entry_filter,2025-06-09 17:30:00+00:00,2025-06-12 11:30:00+00:00,1,long,38.143062,40.391794000000004,1.9997658353822731,0.05895520396343645,0.1178966027040738,264,19.480089042579046,,,hard_swing96,1.1066469555179468,2025-06-09 17:30:00+00:00,4,2025-06-09 17:30:00+00:00
V12_3_no_entry_filter,2026-03-17 02:15:00+00:00,2026-03-18 19:30:00+00:00,1,long,40.505242499999994,42.100939000000004,2.480269397104323,0.03939481414041679,0.09770975191708842,165,12.429430487402428,volume,2026-03-18 17:45:00+00:00,warning_confirm_volume,8.136725365389578,2026-03-17 02:15:00+00:00,96,2026-03-17 02:15:00+00:00
V12_3_no_entry_filter,2025-09-08 06:30:00+00:00,2025-09-08 17:00:00+00:00,1,long,49.72985249999999,50.972501,3.0,0.024987978800057986,0.07496393640017396,42,9.45190905357028,volume,2025-09-08 09:15:00+00:00,warning_confirm_volume,1.9648134081181816,2025-09-08 06:30:00+00:00,30,2025-09-08 06:30:00+00:00
V12_3_no_entry_filter,2026-05-14 19:45:00+00:00,2026-05-15 05:15:00+00:00,1,long,44.67832799999999,45.7681045,3.0,0.02439161331193973,0.07317483993581919,38,12.477886294623092,volume,2026-05-15 01:15:00+00:00,warning_confirm_volume,9.0429840646027,2026-05-14 19:45:00+00:00,112,2026-05-14 19:45:00+00:00
V12_3_no_entry_filter,2025-07-11 14:45:00+00:00,2025-07-13 04:15:00+00:00,1,long,46.2421095,47.225375500000006,3.0,0.021263433062023385,0.06379029918607015,150,6.887119240338768,volume,2025-07-12 16:30:00+00:00,warning_confirm_volume,1.56825770194701,2025-07-11 14:45:00+00:00,18,2025-07-11 14:45:00+00:00
V12_3_no_entry_filter,2026-05-24 06:15:00+00:00,2026-05-24 14:15:00+00:00,1,long,60.7293495,62.758605,1.8151604909429215,0.03341474125290933,0.06065311813736159,32,7.00466238573448,volume,2026-05-24 08:30:00+00:00,warning_confirm_volume,18.278245410318867,2026-05-24 06:15:00+00:00,114,2026-05-24 06:15:00+00:00
V12_3_no_entry_filter,2026-03-16 12:15:00+00:00,2026-03-17 00:45:00+00:00,1,long,39.392686499999996,40.36880550000001,2.380901071954827,0.024779193467802996,0.058996808289668204,50,7.748859853505771,volume,2026-03-16 20:30:00+00:00,warning_confirm_volume,7.498809172628268,2026-03-16 12:15:00+00:00,96,2026-03-16 12:15:00+00:00
V12_3_no_entry_filter,2026-04-13 19:15:00+00:00,2026-04-15 20:15:00+00:00,1,long,43.658818499999995,44.465756,3.0,0.018482806629318338,0.055448419887955014,196,7.764560587430757,volume,2026-04-15 19:30:00+00:00,warning_confirm_volume,8.812687059145539,2026-04-13 19:15:00+00:00,104,2026-04-13 19:15:00+00:00
V12_3_no_entry_filter,2026-05-05 08:15:00+00:00,2026-05-06 09:15:00+00:00,1,long,43.05651749999999,43.8470655,3.0,0.01836070462503181,0.05508211387509543,100,9.06978119728233,volume,2026-05-06 08:00:00+00:00,warning_confirm_volume,9.80495900824117,2026-05-05 08:15:00+00:00,108,2026-05-05 08:15:00+00:00
V12_3_no_entry_filter,2025-09-22 05:45:00+00:00,2025-09-22 21:30:00+00:00,-1,short,49.11243150000001,47.9469615,2.214834933593975,0.023730651576475248,0.05255947610852432,63,10.058073678721463,volume,2025-09-22 06:00:00+00:00,warning_confirm_volume,2.6383563310179934,2025-09-22 05:45:00+00:00,33,2025-09-22 05:45:00+00:00
V12_3_no_entry_filter,2025-10-26 15:15:00+00:00,2025-10-28 15:00:00+00:00,1,long,47.0445105,47.932022,2.1663783070370144,0.018865357308798014,0.04086950082828221,191,7.067135901484686,volume,2025-10-27 13:45:00+00:00,warning_confirm_volume,2.984958563225649,2025-10-26 15:15:00+00:00,48,2025-10-26 15:15:00+00:00
V12_3_no_entry_filter,2026-04-10 14:15:00+00:00,2026-04-11 21:15:00+00:00,1,long,41.908944,42.4277755,3.0,0.012379970728921386,0.03713991218676416,124,6.583403612140992,volume,2026-04-11 18:30:00+00:00,warning_confirm_volume,8.447066106506991,2026-04-10 14:15:00+00:00,104,2026-04-10 14:15:00+00:00
V12_3_no_entry_filter,2026-01-10 09:15:00+00:00,2026-01-12 01:30:00+00:00,-1,short,24.573707,24.717352499999997,1.8194256229549457,-0.005845495756907848,-0.010635444758992554,161,4.350916890806423,,,hard_swing96,3.4933420143202816,2026-01-10 09:15:00+00:00,75,2026-01-10 09:15:00+00:00
V12_3_no_entry_filter,2026-05-14 19:15:00+00:00,2026-05-14 19:30:00+00:00,-1,short,44.471753,44.6833305,3.0,-0.004757570496490171,-0.014272711489470513,1,1.411543259552498,,,opposite_cross,8.513681737990291,2026-05-14 19:15:00+00:00,112,2026-05-14 19:15:00+00:00
V12_3_no_entry_filter,2025-09-09 12:00:00+00:00,2025-09-11 11:30:00+00:00,1,long,53.940957,53.623175,3.0,-0.005891293326516167,-0.0176738799795485,190,8.988126456831495,,,hard_swing96,2.293481807410238,2025-09-09 12:00:00+00:00,30,2025-09-09 12:00:00+00:00
V12_3_no_entry_filter,2026-05-14 18:30:00+00:00,2026-05-14 19:00:00+00:00,-1,short,44.2168805,44.548263,3.0,-0.007494479399106302,-0.022483438197318906,2,1.5484370046878306,,,hard_swing96,8.680947168731345,2026-05-14 18:30:00+00:00,111,2026-05-14 18:30:00+00:00
V12_3_no_entry_filter,2026-05-14 17:00:00+00:00,2026-05-14 17:15:00+00:00,-1,short,43.4852465,43.837908,3.0,-0.008109911484576626,-0.02432973445372988,1,0.7998171540232067,,,hard_swing96,9.518125675633963,2026-05-14 17:00:00+00:00,111,2026-05-14 17:00:00+00:00
V12_3_no_entry_filter,2025-10-11 03:15:00+00:00,2025-10-12 15:15:00+00:00,-1,short,38.536722,39.68283149999999,1.2823059537149293,-0.029740710691479988,-0.03813669038739804,144,7.959173067511631,,,hard_swing96,2.4933365887151755,2025-10-11 03:15:00+00:00,43,2025-10-11 03:15:00+00:00
V12_3_no_entry_filter,2025-08-26 21:00:00+00:00,2025-08-27 22:00:00+00:00,1,long,48.968472,47.95601,2.271843483291098,-0.020675793191995084,-0.04697216602510848,100,6.627174690941102,,,hard_swing96,1.8378671459986398,2025-08-26 21:00:00+00:00,28,2025-08-26 21:00:00+00:00
V12_3_no_entry_filter,2025-12-29 01:15:00+00:00,2025-12-31 20:45:00+00:00,1,long,25.9019445,25.4622625,2.816378192415104,-0.016974864570495796,-0.04780763839554414,270,5.409809459846023,volume,2025-12-30 08:15:00+00:00,hard_swing96,3.240964662158965,2025-12-29 01:15:00+00:00,70,2025-12-29 01:15:00+00:00
V12_3_no_entry_filter,2026-01-20 22:45:00+00:00,2026-01-21 20:00:00+00:00,-1,short,21.3523185,21.887938499999997,1.9351534676821456,-0.02508486373505514,-0.04854306104322605,85,5.679362967862569,volume,2026-01-21 14:45:00+00:00,hard_swing96,3.3781868623574716,2026-01-20 22:45:00+00:00,79,2026-01-20 22:45:00+00:00
V12_3_no_entry_filter,2026-05-24 14:30:00+00:00,2026-05-26 00:30:00+00:00,1,long,62.34315599999999,60.59368800000001,1.7846826750197782,-0.02806190947407261,-0.05008160366635076,136,4.386772130860698,volume,2026-05-24 19:00:00+00:00,hard_swing96,17.274119374091995,2026-05-24 14:30:00+00:00,114,2026-05-24 14:30:00+00:00
V12_3_no_entry_filter,2026-05-14 17:30:00+00:00,2026-05-14 18:15:00+00:00,-1,short,43.4452665,44.298138,3.0,-0.019630941842651684,-0.05889282552795505,3,0.999603241458276,,,hard_swing96,8.924446313860262,2026-05-14 17:30:00+00:00,111,2026-05-14 17:30:00+00:00
V12_3_no_entry_filter,2026-01-28 06:15:00+00:00,2026-01-29 03:00:00+00:00,1,long,32.878431,31.980002,2.5161583523831905,-0.02732578692699783,-0.06875600701180899,83,9.425373066573234,,,hard_swing96,5.83061049120783,2026-01-28 06:15:00+00:00,82,2026-01-28 06:15:00+00:00
V12_3_no_entry_filter,2026-01-12 16:15:00+00:00,2026-01-13 09:00:00+00:00,-1,short,23.585201500000004,24.5812845,1.9473819004683626,-0.0422333894412561,-0.08224453819333377,67,1.9120468194694726,,,hard_swing96,3.2046860667430077,2026-01-12 16:15:00+00:00,75,2026-01-12 16:15:00+00:00
V12_3_no_entry_filter,2025-07-13 19:45:00+00:00,2025-07-14 16:15:00+00:00,1,long,49.143559499999995,47.200388,2.967281357455893,-0.03954071540137416,-0.11732842767096666,82,2.9414068807125875,,,hard_swing96,1.377337588741392,2025-07-13 19:45:00+00:00,18,2025-07-13 19:45:00+00:00
V12_3_no_entry_filter,2026-04-27 02:15:00+00:00,2026-04-28 02:30:00+00:00,1,long,42.758368499999996,41.069566788124334,3.0,-0.03949640201720195,-0.11848920605160584,98,4.540478512684301,,,stop_loss,9.36121677786439,2026-04-27 02:15:00+00:00,106,2026-04-27 02:15:00+00:00
V12_3_no_entry_filter,2026-04-08 13:00:00+00:00,2026-04-08 18:30:00+00:00,1,long,39.677828999999996,38.08573654753347,3.0,-0.040125493067338036,-0.12037647920201411,23,0.664661395420752,,,stop_loss,8.212056194101882,2026-04-08 13:00:00+00:00,104,2026-04-08 13:00:00+00:00
