parameter,value,name,return,max_dd,calmar,risk_score,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,return_delta,max_dd_delta,sharpe_delta,trades_delta,win_rate_delta
min_prev_pnl,-0.03,V14__min_prev_pnl=-0.03,26.321765071137865,-0.2465534199427687,106.75887228515352,25.828658231252327,4.492819739140437,34,7,0.8235294117647058,0.11259774011851756,0.10307120850880638,0.5920380316936312,-0.1223496346958749,120.79411764705883,"{'warning_confirm_volume': 26, 'hard_swing96': 7, 'stop_loss': 1}",4.402587967666879,-1.1102230246251565e-16,0.19466942057600267,1,0.005347593582887611
pullback_buffer,0.02,V14__pullback_buffer=0.02,23.181386309033325,-0.2487043398551566,93.20861197088067,22.68397762932301,4.416371900328895,32,5,0.84375,0.11493221405440543,0.10307120850880638,0.5920380316936312,-0.1223496346958749,123.375,"{'warning_confirm_volume': 25, 'hard_swing96': 6, 'stop_loss': 1}",1.262209205562339,-0.0021509199123880274,0.11822158176446074,-1,0.025568181818181768
late_max_age,384,V14__late_max_age=384,22.843806216218802,-0.24655341994276858,92.6525627651867,22.350699376333264,4.26262372848128,35,8,0.8,0.10632642637494852,0.0998102340136185,0.5920380316936312,-0.1223496346958749,118.25714285714285,"{'warning_confirm_volume': 26, 'hard_swing96': 8, 'stop_loss': 1}",0.9246291127478159,0.0,-0.03552659008315384,2,-0.018181818181818188
hard_exit_mode,none,V14__hard_exit_mode=none,22.81731977456994,-0.3062672645206158,74.50133402368255,22.204785245528708,4.134061707303788,34,7,0.8529411764705882,0.10958142852086528,0.10307120850880638,0.5920380316936312,-0.1453092115322064,137.2941176470588,"{'warning_confirm_volume': 29, 'opposite_cross': 1, 'stop_loss': 4}",0.8981426710989524,-0.05971384457784723,-0.1640886112606461,1,0.03475935828876997
hard_exit_bars,3,V14__hard_exit_bars=3,22.81731977456994,-0.3062672645206158,74.50133402368255,22.204785245528708,4.134061707303788,34,7,0.8529411764705882,0.10958142852086528,0.10307120850880638,0.5920380316936312,-0.1453092115322064,137.2941176470588,"{'warning_confirm_volume': 29, 'opposite_cross': 1, 'stop_loss': 4}",0.8981426710989524,-0.05971384457784723,-0.1640886112606461,1,0.03475935828876997
stop_atr,8.0,V14__stop_atr=8.0,22.255991685740657,-0.24655341994276858,90.26843631253158,21.76288484585512,4.3210801854912235,33,6,0.8181818181818182,0.11067153339875668,0.0998102340136185,0.5920380316936312,-0.1089218975074443,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.3368145822696711,0.0,0.022929866926789444,0,0.0
entry_min_rvol96,1.1,V14__entry_min_rvol96=1.1,22.07743995550847,-0.24655341994276847,89.54424546466736,21.584333115622933,4.306465427203892,33,6,0.8181818181818182,0.11045886901820778,0.0998102340136185,0.5920380316936312,-0.1223496346958749,121.9090909090909,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.1582628520374847,1.1102230246251565e-16,0.008315108639457947,0,0.0
entry_min_rvol96,1.2,V14__entry_min_rvol96=1.2,22.04436828065013,-0.24655341994276914,89.41010952420432,21.55126144076459,4.301789581415096,33,6,0.8181818181818182,0.11042318200808357,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.18181818181819,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.1251911771791434,-5.551115123125783e-16,0.0036392628506618507,0,0.0
baseline,baseline,V14_age256_dist06_cd16,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
late_dist_ema96,0.05,V14__late_dist_ema96=0.05,21.919177103470986,-0.24655341994276858,88.90234460572071,21.426070263585448,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,0.5920380316936312,-0.1223496346958749,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",0.0,0.0,0.0,0,0.0
