parameter,candidates,best_value_by_return,best_return,best_return_delta,best_value_by_dd,best_max_dd,best_dd_delta,best_value_by_risk_score,best_risk_score,return_range,dd_range,win_rate_range,worst_return
hard_exit_mode,7,none,22.81731977456994,0.8981426710989524,ema96_and_swing96,-0.24655341994276858,0.0,none,22.204785245528708,20.957133022827506,0.11639365719425698,0.43188854489164086,1.8601867517424315
confirm_mode,7,ema21_or_donchian,21.919177103470986,0.0,atr_trail,-0.24021746076135675,0.006335959181411832,ema21_or_donchian,21.426070263585448,18.05300393077394,0.08952397443469307,0.17818181818181822,3.866173172697046
warning_source,2,either,21.919177103470986,0.0,either,-0.24655341994276858,0.0,either,21.426070263585448,16.252348586921965,0.13665555660190365,0.2797202797202798,5.666828516549021
volume_warning_mode,4,blowoff_only,21.413526077755893,-0.5056510257150926,blowoff_only,-0.24655341994276825,3.3306690738754696e-16,blowoff_only,20.920419237870355,9.883857823846965,3.3306690738754696e-16,0.07698607698607707,11.529668253908929
osc_min_score,2,2,15.60911504691336,-6.310062056557626,2,-0.2536917153653918,-0.007138295422623231,2,15.101731616182576,9.797342306016542,0.12539987100920147,0.20727272727272728,5.811772740896816
segment_min_mfe_atr,3,8.0,12.149054027741734,-9.770123075729252,2.0,-0.215566848874566,0.030986571068202573,8.0,11.655947187856198,8.45331381761796,0.047852190875064315,0.11960784313725492,3.6957402101237724
min_mfe_atr,5,3.0,20.045118794744333,-1.874058308726653,2.0,-0.2465534199427688,-2.220446049250313e-16,3.0,19.552011954858795,8.384402637714617,0.007138295422622787,0.12745098039215685,11.660716157029716
exit_rvol,3,2.5,19.117288459925515,-2.801888643545471,1.5,-0.2465534199427688,-2.220446049250313e-16,2.5,18.624181620039977,8.257186386322676,0.03850185536202799,0.1341911764705882,10.860102073602839
stop_atr,4,8.0,22.255991685740657,0.3368145822696711,8.0,-0.24655341994276858,0.0,8.0,21.76288484585512,7.853978714682842,0.004236585887982369,0.06060606060606066,14.402012971057815
entry_max_move48,4,0.16,21.919177103470986,0.0,0.08,-0.24615614510091066,0.0003972748418579197,0.16,21.426070263585448,7.8427807194412384,0.00039727484185814177,0.04398826979472148,14.076396384029747
entry_max_dist_ema96,4,0.1,20.758679705707344,-1.160497397763642,0.04,-0.17751462110088112,0.06903879884188746,0.1,20.265572865821806,7.761522431944776,0.17817031127748106,0.06302521008403361,12.997157273762568
late_max_age,5,384,22.843806216218802,0.9246291127478159,128,-0.20391421580860203,0.04263920413416655,384,22.350699376333264,7.1123560848956195,0.042639204134167,0.09509509509509506,15.731450131323182
pullback_buffer,3,0.02,23.181386309033325,1.262209205562339,0.02,-0.2487043398551566,-0.0021509199123880274,0.02,22.68397762932301,6.913364581404064,0.04252973141940675,0.01041666666666663,16.26802172762926
wick_min,3,0.45,18.551004702670507,-3.3681724008004785,0.45,-0.24655341994276891,-3.3306690738754696e-16,0.45,18.05789786278497,6.83690801414666,0.007138295422621899,0.07272727272727275,11.714096688523847
warning_exit_min_capture,4,0.2,21.392590711575124,-0.5265863918958615,0.0,-0.24469523145716987,0.0018581884855987107,0.2,20.899483871689586,6.805808268044785,0.0018581884855991548,0.18627450980392157,14.586782443530339
cooldown_bars,5,24,20.13363222112079,-1.7855448823501945,24,-0.24655341994276803,5.551115123125783e-16,24,19.640525381235257,5.55936137607106,0.04468065133179533,0.045454545454545525,14.574270845049732
trail_atr,3,10.0,8.327324808369285,-13.5918522951017,7.5,-0.3235726031017635,-0.07701918315899492,10.0,7.5691416356201024,5.285907972755639,0.05551898327282856,0.038461538461538436,3.0414168356136466
segment_exit_mode,6,ema55,11.124039766569833,-10.795137336901153,ema55_adx22,-0.24655341994276858,0.0,ema55,10.630932926684295,4.863721822746765,0.005843128963885835,0.08235294117647052,6.260317943823068
min_prev_pnl,4,-0.03,26.321765071137865,4.402587967666879,-0.01,-0.24655341994276858,0.0,-0.03,25.828658231252327,4.402587967666879,1.1102230246251565e-16,0.005347593582887611,21.919177103470986
entry_max_regime_age,5,0,16.163969357019212,-5.755207746451774,64,-0.2458948011364851,0.0006586188062834841,0,15.41092604846624,4.1540182186191625,0.13062685314000277,0.12777777777777777,12.00995113840005
segment_adx,4,16.0,9.588438825979528,-12.330738277491458,16.0,-0.24655341994276858,0.0,16.0,9.095331986093992,3.32812088215646,0.005843128963885835,0.061111111111111116,6.260317943823068
segment_bars,3,4,9.138457691434155,-12.78071941203683,4,-0.2365388428556967,0.010014577087071874,4,8.665380005722762,3.0002508699189168,0.030528472943752827,0.02857142857142858,6.138206821515238
segment_exit_min_capture,3,0.65,14.459394059254155,-7.459783044216831,0.2,-0.2465534199427678,7.771561172376096e-16,0.65,13.966287219368617,2.6899728836655274,8.881784197001252e-16,0.09358288770053469,11.769421175588628
min_prev_mfe_atr,6,2.0,21.919177103470986,0.0,10.0,-0.24655341994276847,1.1102230246251565e-16,2.0,21.426070263585448,2.6030173605285327,1.1102230246251565e-16,0.005681818181818232,19.316159742942453
entry_min_rvol96,3,1.1,22.07743995550847,0.1582628520374847,1.5,-0.24616964503076788,0.0003837749120007006,1.1,21.584333115622933,2.4843545664386077,0.0003837749120012557,0.005681818181818232,19.593085389069863
late_dist_ema96,5,0.05,21.919177103470986,0.0,0.04,-0.24655341994276814,4.440892098500626e-16,0.05,21.426070263585448,1.501318419213181,0.04935444337405048,0.0,20.417858684257805
hard_exit_bars,2,3,22.81731977456994,0.8981426710989524,2,-0.3062672645206157,-0.05971384457784712,3,22.204785245528708,1.1041001256573715,1.1102230246251565e-16,0.02941176470588236,21.713219648912567
fallback_bars,2,4,3.7459739858309637,-18.17320311764002,4,-0.2446966291012792,0.0018567908414893752,4,3.256580727628405,0.7129210741770962,0.029799259806642997,0.07258064516129037,3.0330529116538676
fallback_adx,2,18.0,3.17841596102204,-18.740761142448946,22.0,-0.21653349665662103,0.030019923286147554,18.0,2.5981509075185505,0.15408781508133984,0.07359903009512359,0.04105571847507328,3.0243281459407
confirm_window,2,48,21.919177103470986,0.0,48,-0.24655341994276858,0.0,48,21.426070263585448,0.0,0.0,0.0,21.919177103470986
