name,window,return,max_dd,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,exit_reasons
V14_age256_dist06_cd16,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14_age256_dist06_cd16,1M,0.9410735531337129,-0.2039142158086017,7.358315644791565,4,0,0.75,0.1970686078070744,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14_age256_dist06_cd16,3M,2.474115466939813,-0.20391421580860192,5.836406687794576,9,1,0.8888888888888888,0.1600849132969591,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14_age256_dist06_cd16,6M,7.618506221022612,-0.24655341994276858,5.045561839551745,21,3,0.8095238095238095,0.12053424290253074,0.10633218300399427,"{'warning_confirm_volume': 16, 'hard_swing96': 4, 'stop_loss': 1}"
V14_age256_dist06_cd16,1Y,21.919177103470986,-0.24655341994276858,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
V14__min_prev_pnl=-0.03,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14__min_prev_pnl=-0.03,1M,0.9410735531337129,-0.2039142158086017,7.358315644791565,4,0,0.75,0.1970686078070744,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14__min_prev_pnl=-0.03,3M,2.474115466939813,-0.20391421580860192,5.836406687794576,9,1,0.8888888888888888,0.1600849132969591,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14__min_prev_pnl=-0.03,6M,7.618506221022612,-0.24655341994276858,5.045561839551745,21,3,0.8095238095238095,0.12053424290253074,0.10633218300399427,"{'warning_confirm_volume': 16, 'hard_swing96': 4, 'stop_loss': 1}"
V14__min_prev_pnl=-0.03,1Y,26.321765071137865,-0.2465534199427687,4.492819739140437,34,7,0.8235294117647058,0.11259774011851756,0.10307120850880638,"{'warning_confirm_volume': 26, 'hard_swing96': 7, 'stop_loss': 1}"
V14__pullback_buffer=0.02,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
