name,return,max_dd,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,worst_trade_pct,signal_count,large_regime_covered,exit_reasons
V14_fixed_v6_entry,21.919177103470986,-0.24655341994276858,4.298150318564434,33,6,0.8181818181818182,0.11026463227183454,0.0998102340136185,-0.1223496346958749,1006,17,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
ATR_high_only_strict_cut,19.099479175651126,-0.2857750847991767,4.094366636687986,34,6,0.7941176470588235,0.10349723725513454,0.09534236149627742,-0.1284583478595794,1167,17,"{'warning_confirm_volume': 25, 'hard_swing96': 8, 'stop_loss': 1}"
ATR_high_relax_adx,18.68518117893163,-0.22835097855633313,4.044871853119829,35,8,0.7714285714285715,0.10031161472970322,0.07915368893514035,-0.1223496346958749,1113,18,"{'warning_confirm_volume': 25, 'hard_swing96': 9, 'stop_loss': 1}"
ATR_high_relax_vol,17.41311770320646,-0.2685201957336668,4.024615442692946,32,6,0.8125,0.10696430584488892,0.08501408895703835,-0.1284583478595794,1103,17,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 1}"
ATR_high_only_loose_cut,17.388851334713188,-0.2857750847991759,3.7319564395705105,45,9,0.7111111111111111,0.0789490509277406,0.06817646602792897,-0.1284583478595794,1614,19,"{'warning_confirm_volume': 29, 'hard_swing96': 14, 'opposite_cross': 1, 'stop_loss': 1}"
ATR_low_breakout_relax,17.199423469272517,-0.2664737908430207,3.8722658931835703,41,7,0.7073170731707317,0.0847116822006514,0.08233726897368529,-0.1223496346958749,1145,17,"{'warning_confirm_volume': 27, 'hard_swing96': 12, 'opposite_cross': 1, 'stop_loss': 1}"
ATR_gradual_relax,13.802513978168793,-0.26852019573366726,3.4523810550312977,47,7,0.6595744680851063,0.07170047834397913,0.061279981920431915,-0.1284583478595794,1521,19,"{'warning_confirm_volume': 28, 'hard_swing96': 18, 'stop_loss': 1}"
ATR_high_relax_both_h1,11.365721563208954,-0.2790641350055709,3.511860643536158,34,6,0.6764705882352942,0.08935584706946494,0.07204216592737568,-0.1284583478595794,1313,18,"{'warning_confirm_volume': 23, 'hard_swing96': 10, 'stop_loss': 1}"
ATR_high_relax_both,11.080471908259485,-0.2790641350055709,3.483231240839388,34,6,0.6764705882352942,0.08865200198250649,0.07064131585447145,-0.1284583478595794,1302,18,"{'warning_confirm_volume': 23, 'hard_swing96': 10, 'stop_loss': 1}"
ATR_low_and_high_relax,10.486646481144572,-0.30465847427042636,3.299291374099794,43,7,0.6511627906976745,0.07054263278413751,0.07066789075221214,-0.1284583478595794,1490,18,"{'warning_confirm_volume': 26, 'hard_swing96': 15, 'opposite_cross': 1, 'stop_loss': 1}"
