ts,outer_break_mid_exit_k1,outer_break_mid_exit_k2,compression_expansion_break_k1,compression_expansion_break_k2,trend_pullback_mid_reclaim_k1,trend_pullback_mid_reclaim_k2
2025-06-16 02:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 02:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 03:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 03:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 03:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 03:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 04:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 04:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 04:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 05:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 05:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 05:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 06:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 06:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 06:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 06:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 07:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 07:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 07:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 07:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 08:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 08:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 08:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 08:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 09:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 09:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 09:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 09:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 10:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 10:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 10:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 10:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 11:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 11:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 11:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 11:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 12:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 12:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 12:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 12:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 13:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 13:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 13:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 13:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 14:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 14:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 14:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 14:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 15:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 15:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 15:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 15:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 16:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 16:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 16:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 16:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 17:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 17:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 17:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 17:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 18:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 18:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 18:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 18:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 19:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 19:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 19:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 19:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 20:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-16 20:15:00+00:00,0.9964704391281031,1.0,1.0,1.0,1.0,1.0
2025-06-16 20:30:00+00:00,1.0003943455849202,1.002577973738608,1.0,1.0,1.0,1.0
2025-06-16 20:45:00+00:00,0.9992732294544011,1.00145441047236,1.0,1.0,1.0,1.0
2025-06-16 21:00:00+00:00,0.9904164120232991,0.992578260668999,1.0,1.0,1.0,1.0
2025-06-16 21:15:00+00:00,0.9889365387310136,0.9910951571575513,1.0,1.0,1.0,1.0
2025-06-16 21:30:00+00:00,0.9807075463330025,0.9828482027832894,1.0,1.0,1.0,1.0
2025-06-16 21:45:00+00:00,0.9826807107227163,0.9848256741318863,1.0,1.0,1.0,1.0
2025-06-16 22:00:00+00:00,0.9862010153725467,0.9883536627879057,1.0,1.0,1.0,1.0
2025-06-16 22:15:00+00:00,0.981021458849548,0.9831628004978391,1.0,1.0,1.0,1.0
2025-06-16 22:30:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 22:45:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:00:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:15:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:30:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-16 23:45:00+00:00,0.9597217930212759,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-17 00:00:00+00:00,0.9689949114693022,0.9596326984026373,1.0,1.0,1.0,1.0
2025-06-17 00:15:00+00:00,0.9506229025824133,0.9401294338536419,1.0,1.0,1.0,1.0
2025-06-17 00:30:00+00:00,0.953525945867133,0.9430004318406481,1.0,1.0,1.0,1.0
2025-06-17 00:45:00+00:00,0.9396689924591428,0.9292964386725887,1.0,1.0,1.0,1.0
2025-06-17 01:00:00+00:00,0.9464869535512981,0.9360391395734313,1.0,1.0,1.0,1.0
