variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
outer_break_mid_exit_k1,2025-06-16 20:00:00+00:00,2025-06-16 20:15:00+00:00,2025-06-16 22:30:00+00:00,1,44.5538144,42.84491362424,0.42293898809523806,1.0,1671,1680,9,stop_loss,-0.03835588038361093,-0.040278206978724085,1.0,0.9597217930212759
outer_break_mid_exit_k1,2025-06-16 23:45:00+00:00,2025-06-17 00:00:00+00:00,2025-06-17 04:15:00+00:00,-1,41.903232,43.356335599999994,0.42529464285714286,1.0,1686,1703,17,midline_exit_next_open,-0.03467760195681313,-0.03659984339418276,0.9597217930212759,0.924596125694713
outer_break_mid_exit_k1,2025-06-17 08:15:00+00:00,2025-06-17 08:30:00+00:00,2025-06-18 05:00:00+00:00,-1,41.992196400000005,40.876343999999996,0.42904761904761896,1.0,1720,1802,82,midline_exit_next_open,0.02657285152152722,0.020963295152034878,0.924596125694713,0.9439787071740792
outer_break_mid_exit_k1,2025-06-18 10:30:00+00:00,2025-06-18 10:45:00+00:00,2025-06-18 14:30:00+00:00,-1,39.3372588,40.0920304,0.43057886904761894,1.0,1825,1840,15,midline_exit_next_open,-0.01918719359265575,-0.022106290850109844,0.9439787071740792,0.9231108393169783
outer_break_mid_exit_k1,2025-06-18 16:00:00+00:00,2025-06-18 16:15:00+00:00,2025-06-18 23:15:00+00:00,-1,38.804472000000004,39.5888292,0.43477976190476175,1.0,1847,1875,28,midline_exit_next_open,-0.02021306204089046,-0.023858989556228227,0.9231108393169783,0.9010863474424735
outer_break_mid_exit_k1,2025-06-19 04:15:00+00:00,2025-06-19 04:30:00+00:00,2025-06-20 07:45:00+00:00,-1,37.8578508,37.24189079999999,0.4397499999999998,1.0,1896,2005,109,midline_exit_next_open,0.016270337247987876,0.010705461792786863,0.9010863474424735,0.9107328929070209
outer_break_mid_exit_k1,2025-06-20 14:45:00+00:00,2025-06-20 15:00:00+00:00,2025-06-21 08:45:00+00:00,-1,35.640738000000006,35.0830276,0.40744940476190467,1.0,2034,2105,71,midline_exit_next_open,0.015648115928463824,0.011377484152464534,0.9107328929070209,0.9210947419631987
outer_break_mid_exit_k1,2025-06-21 13:45:00+00:00,2025-06-21 14:00:00+00:00,2025-06-22 00:00:00+00:00,-1,34.0493748,34.4327676,0.39915476190476196,1.0,2126,2166,40,midline_exit_next_open,-0.011259907186313312,-0.017917150560636252,0.9210947419631987,0.9045913487908337
outer_break_mid_exit_k1,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 17:00:00+00:00,-1,32.2500948,33.6144404,0.42559970238095246,1.0,2220,2234,14,midline_exit_next_open,-0.04230516556497066,-0.04435407343972819,0.9045913487908337,0.8644690376736223
outer_break_mid_exit_k1,2025-06-22 21:00:00+00:00,2025-06-22 21:15:00+00:00,2025-06-23 11:30:00+00:00,1,34.9299664,34.8730452,0.43793452380952375,1.0,2251,2308,57,midline_exit_next_open,-0.001629580725849178,-0.0037747719228143906,0.8644690376736223,0.8612058642220695
outer_break_mid_exit_k1,2025-06-23 13:45:00+00:00,2025-06-23 14:00:00+00:00,2025-06-23 15:30:00+00:00,1,36.104436,34.720106400000006,0.44055803571428565,1.0,2318,2324,6,midline_exit_next_open,-0.03834236878814545,-0.0402647223929381,0.8612058642220695,0.8265296491759975
outer_break_mid_exit_k1,2025-06-23 18:00:00+00:00,2025-06-23 18:15:00+00:00,2025-06-24 10:15:00+00:00,1,37.0978332,36.490398000000006,0.44873958333333325,1.0,2335,2399,64,midline_exit_next_open,-0.016373872746831775,-0.01842851186491057,0.8265296491759975,0.8112979377294572
