window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts,days
rolling_30d_001_20250530_20250629,2025-05-30 10:30:00+00:00,2025-06-29 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1484729902813149,14.847299028131488,439.47406230204996,5.3947406230205,-6.925176226536534,79.41176470588235,34,1.1333333333333333,1.8930467058057472,0.42145403220757854,1.1250000000000013,-4.425000000000004,3,27,0,4,0.8497644673598652,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-06-29 10:30:00+00:00,30
rolling_30d_002_20250629_20250729,2025-06-29 10:30:00+00:00,2025-07-29 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9291688433912922,-7.083115660870776,-59.11610853659697,0.40883891463403027,-14.793319825703154,52.38095238095239,21,0.7,0.6013663558350842,-0.3363087372230236,0.21413558450846543,-4.425000000000004,1,9,0,11,-4.41457859715871,False,False,True,False,False,False,False,2025-06-29 10:30:00+00:00,2025-07-29 10:30:00+00:00,30
rolling_30d_003_20250729_20250828,2025-07-29 10:30:00+00:00,2025-08-28 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.145927274086642,14.592727408664196,425.09412418250986,5.250941241825099,-7.808116969830802,79.41176470588235,34,1.1333333333333333,1.8571454474641644,0.4123309877069435,1.1250000000000013,-4.425000000000004,1,27,0,6,0.7995379462342356,False,False,True,True,True,False,False,2025-07-29 10:30:00+00:00,2025-08-28 10:30:00+00:00,30
rolling_30d_004_20250828_20250927,2025-08-28 10:30:00+00:00,2025-09-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1150592907184815,11.505929071848154,276.57602808752034,3.7657602808752033,-3.135601037763036,92.3076923076923,13,0.43333333333333335,6.835683478682142,0.8445342924529741,1.1250000000000013,-1.881347033641381,0,11,0,2,0.01924671548417345,False,False,True,True,False,False,False,2025-08-28 10:30:00+00:00,2025-09-27 10:30:00+00:00,30
rolling_30d_005_20250927_20251027,2025-09-27 10:30:00+00:00,2025-10-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.240244129333099,24.024412933309904,1275.466179899678,13.75466179899678,-5.495160313987702,82.35294117647058,34,1.1333333333333333,3.5253128249318886,0.6420627919928354,1.1250000000000013,-4.425000000000004,1,27,0,6,2.6654217951030765,False,False,True,True,True,False,False,2025-09-27 10:30:00+00:00,2025-10-27 10:30:00+00:00,30
rolling_30d_006_20251027_20251126,2025-10-27 10:30:00+00:00,2025-11-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1923896655190673,19.238966551906735,751.9058991053594,8.519058991053594,-5.3715407918839,84.61538461538461,26,0.8666666666666667,3.5888088674384773,0.686675438476809,1.1250000000000013,-4.425000000000004,1,22,0,3,1.686650225022428,False,False,True,True,True,False,False,2025-10-27 10:30:00+00:00,2025-11-26 10:30:00+00:00,30
rolling_30d_007_20251126_20251226,2025-11-26 10:30:00+00:00,2025-12-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1283841071583738,12.838410715837378,335.17455716411246,4.351745571641125,-5.384934625262671,82.85714285714286,35,1.1666666666666667,1.6834894384525385,0.3602536617288883,1.1249999999999847,-4.425000000000004,3,27,0,5,0.5804736849289247,False,False,True,True,True,False,False,2025-11-26 10:30:00+00:00,2025-12-26 10:30:00+00:00,30
rolling_30d_008_20251226_20260125,2025-12-26 10:30:00+00:00,2026-01-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0492247633652685,4.922476336526849,79.50410223698663,1.7950410223698663,-6.36206751203614,70.0,20,0.6666666666666666,1.4719174727598296,0.25248359142143656,1.1250000000000013,-4.425000000000004,1,14,0,5,-0.8240886975163262,False,False,True,True,False,False,False,2025-12-26 10:30:00+00:00,2026-01-25 10:30:00+00:00,30
rolling_30d_009_20260125_20260224,2026-01-25 10:30:00+00:00,2026-02-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9375836378754757,-6.241636212452429,-54.37299209095803,0.45627007909041967,-13.466743419921023,75.0,28,0.9333333333333333,0.7904303437032473,-0.20526775571260342,1.1250000000000013,-4.425000000000004,5,19,0,4,-2.2237107923786668,False,False,True,True,True,False,False,2026-01-25 10:30:00+00:00,2026-02-24 10:30:00+00:00,30
rolling_30d_010_20260224_20260326,2026-02-24 10:30:00+00:00,2026-03-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1660442703822904,16.60442703822904,549.0162986998376,6.490162986998376,-7.943966787371981,82.05128205128204,39,1.3,1.7978848357697648,0.40965309040873693,1.1250000000000013,-4.425000000000004,4,32,0,3,1.1603770952986683,False,False,True,True,True,False,False,2026-02-24 10:30:00+00:00,2026-03-26 10:30:00+00:00,30
rolling_30d_011_20260326_20260425,2026-03-26 10:30:00+00:00,2026-04-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.969667839416179,-3.0332160583821044,-31.2718071104212,0.687281928895788,-12.16950577747028,59.09090909090909,22,0.7333333333333333,0.8426114398500255,-0.12417066446552026,1.1249999999999931,-4.425000000000004,2,13,0,7,-3.0529775589766963,False,False,True,False,False,False,False,2026-03-26 10:30:00+00:00,2026-04-25 10:30:00+00:00,30
rolling_30d_012_20260425_20260525,2026-04-25 10:30:00+00:00,2026-05-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9789917618731355,-2.1008238126864476,-22.779114261134904,0.772208857388651,-12.426701730225286,73.68421052631578,19,0.6333333333333333,0.9038063370889687,-0.08822629412591944,1.1250000000000013,-4.425000000000004,3,14,0,2,-1.8437042511882415,False,False,True,True,False,False,False,2026-04-25 10:30:00+00:00,2026-05-25 10:30:00+00:00,30
rolling_30d_013_20260525_20260624,2026-05-25 10:30:00+00:00,2026-06-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0339336662284258,3.393366622842575,50.12338191290395,1.5012338191290395,-13.905407777384692,78.04878048780488,41,1.3666666666666667,1.133277403893198,0.10104702162234425,1.1250000000000013,-4.425000000000004,5,31,0,5,-0.9021555748943428,False,False,True,True,True,False,False,2026-05-25 10:30:00+00:00,2026-06-24 10:30:00+00:00,30
rolling_60d_001_20250530_20250729,2025-05-30 10:30:00+00:00,2025-07-29 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0671253200458282,6.712532004582816,48.51194904948939,1.485119490494894,-14.793319825703144,69.0909090909091,55,0.9166666666666666,1.2152387653484744,0.13212642933407587,1.1250000000000013,-4.425000000000004,4,36,0,15,-1.1039260152102852,False,False,True,False,True,False,False,2025-05-30 10:30:00+00:00,2025-07-29 10:30:00+00:00,60
rolling_60d_002_20250629_20250828,2025-06-29 10:30:00+00:00,2025-08-28 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0647599198736213,6.4759919873621286,46.51925191301096,1.4651925191301096,-14.793319825703154,69.0909090909091,55,0.9166666666666666,1.2041756698167667,0.12648672909731962,1.1250000000000013,-4.425000000000004,2,36,0,17,-1.1194273001333381,False,False,True,False,True,False,False,2025-06-29 10:30:00+00:00,2025-08-28 10:30:00+00:00,60
