label,family,parameter,value,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,reason_counts,raw_trade_events,filter_pass_events,selected_trades,name,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts,first_half_trades,first_half_annual_return_pct,first_half_total_return_pct,first_half_max_drawdown_pct,first_half_win_rate_pct,first_half_trades_per_day,first_half_profit_factor,second_half_trades,second_half_annual_return_pct,second_half_total_return_pct,second_half_max_drawdown_pct,second_half_win_rate_pct,second_half_trades_per_day,second_half_profit_factor,last_90d_trades,last_90d_annual_return_pct,last_90d_total_return_pct,last_90d_max_drawdown_pct,last_90d_win_rate_pct,last_90d_trades_per_day,last_90d_profit_factor,q1_trades,q1_annual_return_pct,q1_total_return_pct,q1_max_drawdown_pct,q1_win_rate_pct,q1_trades_per_day,q1_profit_factor,q2_trades,q2_annual_return_pct,q2_total_return_pct,q2_max_drawdown_pct,q2_win_rate_pct,q2_trades_per_day,q2_profit_factor,q3_trades,q3_annual_return_pct,q3_total_return_pct,q3_max_drawdown_pct,q3_win_rate_pct,q3_trades_per_day,q3_profit_factor,q4_trades,q4_annual_return_pct,q4_total_return_pct,q4_max_drawdown_pct,q4_win_rate_pct,q4_trades_per_day,q4_profit_factor,oos_2026_06_01_to_latest_trades,oos_2026_06_01_to_latest_annual_return_pct,oos_2026_06_01_to_latest_total_return_pct,oos_2026_06_01_to_latest_max_drawdown_pct,oos_2026_06_01_to_latest_win_rate_pct,oos_2026_06_01_to_latest_trades_per_day,oos_2026_06_01_to_latest_profit_factor,stability_pass,ablation_gate_pass,delta_annual_return_pct,delta_total_return_pct,delta_annual_equity_multiple,delta_max_drawdown_pct,delta_win_rate_pct,delta_trades_per_day,delta_profit_factor
take_profit_pct_0p012,exit,take_profit_pct,0.012,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 91, ""stop_loss"": 35, ""take_profit"": 222}",4337,503,348,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.952246616683279,195.22466166832788,174.81336020997213,2.7481336020997214,-23.24187792807012,71.26436781609196,348,0.8897174358837785,1.4704517951854974,0.33167483703077866,1.5750000000000017,-4.425000000000004,35,222,0,91,-0.9824153354053257,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,172,356.6557673345666,125.51069451968146,-14.268834286541354,73.25581395348837,0.879490798689712,1.8510378798476894,176,65.38142809562886,30.913818653758796,-23.24187792807011,69.31818181818183,0.8999440730778449,1.2124325558775493,77,45.864262761462335,9.748371974114157,-13.811587118443358,66.23376623376623,0.8555555555555555,1.1689697690804457,84,133.61179777692035,25.502546125998936,-14.268834286541354,67.85714285714286,0.8590375243015792,1.4271909665178986,88,792.6539319690297,79.68615098316715,-8.141348146092364,78.4090909090909,0.8999440730778449,2.4178960815586743,94,90.71333788384395,18.86745024318397,-23.24187792807011,71.27659574468085,0.9613038962422434,1.255579367838799,82,43.41428377499308,10.134286876625985,-13.811587118443336,67.07317073170732,0.8385842499134464,1.1652651743324365,32,251.053330699107,8.815573320310598,-10.635916916007782,71.875,1.3022467147096226,1.3606890238812688,True,False,32.89430443303132,37.67502952298952,0.3289430443303134,-4.364182520106098,-5.637806096951522,-0.05113318597033212,-0.004947226016723372
exit_family_probe_trail_act240p0_trail50p0,exit_replacement_probe,exit_family_probe,trail_act240p0_trail50p0,rsi_reversal_w7_lo30_hi60,rsi_reversal,trail_act240p0_trail50p0_sl280p0_hold16,trailing,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 189, ""stop_loss"": 45, ""trailing_stop"": 88}",4337,503,322,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_trail_act240p0_trail50p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.292195792847104,129.2195792847104,116.97524326425088,2.169752432642509,-25.669916349431045,57.14285714285714,322,0.8232442941223468,1.3035049357925543,0.295186001887207,0.42516078608116087,-4.42500000000002,45,0,88,189,-3.213379829697814,False,False,False,False,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,157,296.11022319797763,108.97376123113509,-14.05009814582776,57.324840764331206,0.802791019734214,1.5909951858653073,165,18.85140405995265,9.68821058409457,-25.669916349431098,56.96969696969697,0.8436975685104796,1.0870662064317895,73,31.479553806813996,6.976268954318843,-17.30616029371319,54.794520547945204,0.8111111111111111,1.1180746431455906,77,136.57711534592445,25.927065507250035,-14.05009814582776,49.35064935064935,0.7874510639431143,1.3610213918382128,80,563.2226819256233,65.94824979789888,-11.978056888729238,65.0,0.8181309755253136,1.8567630127115107,87,12.399052327318927,3.1787007462137806,-25.53934440771206,58.620689655172406,0.8897174358837785,1.0683934787501996,78,25.674157873560887,6.308966667347393,-17.30616029371315,55.12820512820513,0.7976777011371807,1.106428190998998,31,227.393450054152,8.305959149478713,-12.199243990801612,61.29032258064516,1.261551504874947,1.2700248545275645,True,False,-24.94381251268993,-28.330052860627973,-0.2494381251268991,-6.792220941467022,-19.759316770186345,-0.11760632773176383,-0.17189408540966644
signal_family_probe_bb_reversion_w48_k1p5,signal_replacement_probe,signal_family_probe,bb_reversion_w48_k1p5,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 50, ""stop_loss"": 26, ""take_profit"": 234}",2291,360,310,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.243078723961033,124.3078723961033,112.63049923153687,2.1263049923153687,-20.425493654044057,77.41935483870968,310,0.7925643825401475,1.4777629664912908,0.27595714689474327,1.1249999999999847,-4.42500000000002,26,234,0,50,-0.6481438918143322,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,170,278.8087046660033,104.03581359775256,-10.558220264846607,80.0,0.8692641614956457,1.9429909629335023,140,19.35240306401058,9.935539472651644,-20.425493654044104,74.28571428571429,0.7158646035846493,1.1191157895637858,58,41.430913266405355,8.91686089537236,-13.758840960842257,74.13793103448276,0.6444444444444445,1.2541851336058178,81,203.22832203262564,34.57929398658295,-10.558220264846607,77.77777777777779,0.82835761271938,1.7827702753304413,89,373.2276779716377,51.610108474855146,-10.543218476671512,82.02247191011236,0.9101707102719113,2.105458312627838,79,39.24921043510818,9.268718045739055,-9.809242864726087,75.9493670886076,0.8079043383312471,1.1874229713142606,61,2.2985772963675544,0.6102583052484567,-13.758840960842257,72.1311475409836,0.6238248688380515,1.0371297370715984,25,132.4818483217781,5.839931108237617,-11.24002472211767,80.0,1.0173802458668928,1.3885941050694777,True,False,-29.288556545403935,-33.24175974923506,-0.2928855654540392,-1.5477982460800348,0.5171809256661959,-0.14828623931396312,0.002363945289070024
take_profit_pct_0p018,exit,take_profit_pct,0.018,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp180p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 154, ""stop_loss"": 42, ""take_profit"": 133}",4337,503,329,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp180p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.173221327693244,117.3221327693244,106.44023941173427,2.0644023941173426,-27.691167550323858,61.09422492401215,329,0.8411409092119629,1.2951550020625564,0.26504373924515484,0.7054266705945863,-4.42500000000002,42,133,0,154,-3.263499417507355,False,False,False,False,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,159,244.66398135050449,93.97273246143469,-14.439461062801106,62.893081761006286,0.8130176569282803,1.5860032519303255,170,23.649626170349023,12.037465272358139,-27.691167550323858,59.411764705882355,0.8692641614956457,1.0957957843159298,75,24.519899260563328,5.5522405365350025,-12.894643345703361,58.666666666666664,0.8333333333333334,1.0991935627177623,78,94.12402429633428,19.432877426994644,-14.439461062801106,56.41025641025641,0.7976777011371807,1.3087305136302394,81,511.9451751064083,62.4115039679956,-12.246533688270612,69.1358024691358,0.82835761271938,1.9002977198278252,90,29.413150000148946,7.146648479964934,-27.691167550323858,60.0,0.9203973474659778,1.1063661578100894,80,18.14278573738124,4.564600817456221,-12.894643345703338,58.75,0.8181309755253136,1.0840407031901809,31,1.0459186193852554,0.07002531062578754,-12.894643345703383,61.29032258064516,1.261551504874947,1.0318142528654417,True,False,-35.47881636520654,-40.22749937601397,-0.35478816365206534,-8.813472142359835,-15.807948989031331,-0.09970971264214767,-0.18024401913966437
min_rvol96_0p75,added_filter,min_rvol96,0.75,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,rvol0p75_macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 37, ""stop_loss"": 17, ""take_profit"": 181}",4337,293,235,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_rvol0p75_macd0p0_atr60p0to280p0_x1p5,2.032816847939484,103.28168479394839,93.95824699453101,1.9395824699453101,-16.719102001104382,79.14893617021276,235,0.6008149351514022,1.5706171395292026,0.3166786247116017,1.1250000000000013,-4.425000000000004,17,181,0,37,-0.8430482803532291,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,116,179.6480777296543,73.43298578563248,-12.304848503403576,81.89655172413794,0.5931449572558524,2.1776146919537323,119,34.52551464902245,17.210508642923237,-16.719102001104392,76.47058823529412,0.608484913046952,1.218319221665009,54,30.273679348091996,6.733669437417955,-16.719102001104368,74.07407407407408,0.6,1.2020061786978324,62,69.54499515835467,15.181736967301207,-12.304848503403576,75.80645161290323,0.634051506032118,1.4069684816010815,54,361.25246755204597,50.57333771140138,-5.49516031398769,88.88888888888889,0.5522384084795866,4.773945009196217,63,30.4967135713907,7.386092766657715,-11.327922217691766,77.77777777777779,0.6442781432261844,1.1822416718204538,56,38.67869616259729,9.148685479797948,-16.719102001104382,75.0,0.5726916828677194,1.2631556407971656,24,-33.11290416571686,-2.6693642312933363,-16.719102001104357,70.83333333333334,0.976685036032217,0.8921061559683189,True,False,-47.9608087824098,-54.26794735138998,-0.4796080878240978,2.158593406859641,2.24676225716928,-0.34003568670270845,0.0952181183269818
min_rvol96_1p0,added_filter,min_rvol96,1.0,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,rvol1_macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 26, ""stop_loss"": 12, ""take_profit"": 142}",4337,211,180,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_rvol1_macd0p0_atr60p0to280p0_x1p5,1.8717853140552803,87.17853140552802,79.57177644668671,1.7957177644668672,-14.091908320588209,80.0,180,0.4601986737329889,1.6893688710497352,0.3625217842004457,1.1250000000000013,-4.425000000000004,12,142,0,26,-1.110644485361916,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,96,119.8427645642862,52.468070123325106,-10.731783217590873,81.25,0.49087858531518813,2.0008720012050176,84,46.67766282928787,22.765724819712908,-14.091908320588232,78.57142857142857,0.4295187621507896,1.4262515461579568,36,37.31845538216605,8.12778544376187,-14.091908320588187,75.0,0.4,1.3788655490452806,52,41.9215264991885,9.826210629953103,-10.731783217590873,75.0,0.5317851340914538,1.3025583894506432,44,240.54623229792097,38.82666919743676,-5.3892083309840855,88.63636363636364,0.4499720365389224,4.435910249553035,47,54.10426411326317,12.27454127688652,-9.232720269411987,80.85106382978722,0.4806519481211217,1.4234810260971835,37,39.608964728254634,9.344223030004105,-14.091908320588221,75.67567567567568,0.37838557618045754,1.4299346434543643,14,-1.9709350820718785,-0.1338330654699238,-14.091908320588209,71.42857142857143,0.56973293768546,1.00989853396336,True,False,-62.347279330254096,-70.37110073981034,-0.6234727933025408,4.785787087375814,3.097826086956516,-0.4806519481211217,0.21396984984751444
min_atr_pct96_0p009,filter,min_atr_pct96,0.009,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr90p0to280p0,1.5,"{""max_hold"": 8, ""stop_loss"": 15, ""take_profit"": 127}",4337,187,150,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr90p0to280p0_x1p5,1.8394629286795354,83.94629286795355,76.67444517781865,1.7667444517781865,-15.750702154293494,85.33333333333334,150,0.3834988947774907,1.7948022632299343,0.42284279184359486,1.1250000000000013,-4.425000000000004,15,127,0,8,-1.2081123406364345,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,72,185.37853527381222,75.32691825197514,-6.81646899774806,91.66666666666666,0.36815893898639107,4.281989614896897,78,9.37704038932463,4.916172999511059,-15.75070215429346,79.48717948717949,0.39883885056859036,1.1043281923023225,36,9.56218299228735,2.275744928710388,-9.942044600604005,80.55555555555556,0.4,1.1061862363961454,34,105.48812218634103,21.265848971028056,-6.81646899774806,85.29411764705883,0.34770566459825825,2.5261186970225884,38,296.3290312282582,44.58062161743739,-4.985245011966921,97.36842105263158,0.38861221337452395,9.406779661016929,42,9.988873400050968,2.581675716604326,-15.75070215429346,78.57142857142857,0.4295187621507896,1.1027389747090481,36,8.768610810431475,2.275744928710388,-9.942044600604005,80.55555555555556,0.36815893898639107,1.1061862363961454,20,21.038236689093704,1.292847789671292,-9.942044600604005,80.0,0.8139041966935142,1.1100278129757275,True,False,-65.24461059912215,-73.60333927738482,-0.6524461059912214,3.1269932536705287,8.431159420289859,-0.55735172707662,0.31940324202771353
rsi_window_14,signal,rsi_window,14,rsi_reversal_w14_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 42, ""stop_loss"": 24, ""take_profit"": 193}",2062,378,259,HYPE_15M_MII_rsi_reversal_w14_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,1.7639629508264525,76.39629508264525,69.89349072723168,1.6989349072723168,-28.400662002876764,76.83397683397683,259,0.6621747583158006,1.3859442288981902,0.23520315102703576,1.1250000000000013,-4.425000000000004,24,193,0,42,-2.727642094484068,False,False,False,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,132,158.78609874429776,66.38076562475167,-16.733008601731903,79.54545454545455,0.6749580548083837,1.8276236380948176,127,11.535350358999974,6.019643809358577,-28.400662002876743,74.01574803149606,0.6493914618232176,1.0871487372971425,60,42.28931402861671,9.079379216847695,-19.423119608756657,76.66666666666667,0.6666666666666666,1.2391760611969804,62,49.85977972297577,11.438174966426518,-16.733008601731903,74.19354838709677,0.634051506032118,1.3087389019510027,70,346.88604925946055,49.30320392888534,-7.943744056167745,84.28571428571429,0.7158646035846493,2.6065677628479063,64,-2.0579381658742624,-0.5551476641443731,-18.892818784148492,71.875,0.6545047804202508,1.0135790753709328,63,27.01523887431978,6.611495033747827,-20.360163488486105,76.19047619047619,0.6442781432261844,1.1673802623334029,24,362.341894985347,10.850260659658462,-8.400628499410933,83.33333333333334,0.976685036032217,2.008271807181272,True,False,-72.02556504970913,-81.15333706269311,-0.7202556504970912,-9.522966594912742,-0.06819707906664974,-0.27867586353831,-0.08945479230403053
min_h1_dir_spread_0p0,added_filter,min_h1_dir_spread,0.0,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,h10p0_macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 23, ""stop_loss"": 11, ""take_profit"": 97}",4337,174,131,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_h10p0_macd0p0_atr60p0to280p0_x1p5,1.4896546014230223,48.965460142302234,45.087749908273224,1.4508774990827322,-10.496025038944524,77.86259541984732,131,0.3349223681056752,1.6104966191656047,0.31851463654557255,1.1250000000000013,-4.425000000000004,11,97,0,23,-1.5316944489531061,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,75,89.36646104212309,40.75953457178816,-10.309978994316605,80.0,0.3834988947774907,2.152415591769325,56,11.162531409208466,5.829747587243617,-10.496025038944513,75.0,0.2863458414338597,1.174791902751503,24,10.67778925957683,2.5313771716138023,-10.496025038944534,70.83333333333334,0.26666666666666666,1.184301812567987,40,65.24876631760665,14.39299817795192,-10.309978994316605,75.0,0.4090654877626568,1.7395997225947,35,117.00408037356272,23.04908238598662,-5.62922815105974,85.71428571428571,0.35793230179232466,2.8251936589600675,30,3.5303647613779354,0.9331669807919329,-9.847512086044052,76.66666666666667,0.3067991158219926,1.0677150683326846,26,19.357334611778086,4.851309785398339,-10.496025038944534,73.07692307692307,0.2658925670457269,1.3294927775924053,13,-32.10617451347044,-2.571492601921732,-10.496025038944545,69.23076923076923,0.5290377278507842,0.8008935868688966,True,False,-96.83130586866758,-108.58417200303613,-0.9683130586866757,8.3816703690195,0.96042150680384,-0.6059282537484354,0.13509759796338394
dir_rsi14_band_48_to_78,added_filter,dir_rsi14_band,48_to_78,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_rsi48to78_atr60p0to280p0,1.5,"{""max_hold"": 16, ""stop_loss"": 8, ""take_profit"": 70}",4337,97,94,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_rsi48to78_atr60p0to280p0_x1p5,1.2858981638043208,28.589816380432076,26.467596252515534,1.2646759625251554,-9.082841286136434,76.59574468085107,94,0.24032597406056086,1.505015211885201,0.28223663592223897,1.1250000000000013,-4.425000000000004,8,70,0,16,-1.8280984754501892,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,50,30.489508557012577,15.314320064626695,-9.082841286136434,78.0,0.2556659298516605,1.5551832237360723,44,22.56964624019009,11.512443821691276,-7.904342644137408,75.0,0.2249860182694612,1.452098727376015,22,11.393389059514014,2.694330588872673,-7.904342644137385,77.27272727272727,0.24444444444444444,1.1925541075471617,28,10.947600139141244,2.8202982720865855,-9.082841286136434,75.0,0.2863458414338597,1.16843961040024,22,53.47345793956934,12.15131837050112,-5.177948972872571,81.81818181818183,0.2249860182694612,2.553960140096556,21,30.463371768641622,7.378746695979155,-6.545439593943414,71.42857142857143,0.2147593810753948,1.7708289685043965,23,15.153532947830595,3.8496418079974726,-7.904342644137408,78.26086956521739,0.23521265546352765,1.262704349167583,12,-8.848063953653629,-0.621332083163495,-7.9043426441373965,75.0,0.4883425180161085,0.9664408380010351,True,False,-115.45145952442527,-128.9598157649063,-1.1545145952442526,9.794854121827589,-0.30642923219241425,-0.7005246477935497,0.02961619068298016
