window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
week_001_20250530_20250606,2025-05-30 10:30:00+00:00,2025-06-06 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0084139167630894,0.8413916763089446,54.83494417315513,1.5483494417315513,-6.816468997748048,71.42857142857143,7,1.0,1.208490127142858,0.13863308069162378,1.1250000000000013,-4.425000000000004,1,5,0,1,-0.8618545442732812,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-06-06 10:30:00+00:00
week_002_20250606_20250613,2025-06-06 10:30:00+00:00,2025-06-13 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0195837001708186,1.9583700170818563,175.10219082445926,2.7510219082445926,-6.490442055939294,75.0,8,1.1428571428571428,1.4448771180227444,0.25979030579801915,1.1249999999999931,-4.425000000000004,1,6,0,1,-0.12782978408571433,False,False,True,True,True,False,False,2025-06-06 10:30:00+00:00,2025-06-13 10:30:00+00:00
week_003_20250613_20250620,2025-06-13 10:30:00+00:00,2025-06-20 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0108756031148467,1.08756031148467,75.84096954848857,1.7584096954848858,-6.925176226536545,75.0,8,1.1428571428571428,1.2220170961889125,0.15329321127634754,1.1250000000000013,-4.425000000000004,1,6,0,1,-0.6790009742540724,False,False,True,True,True,False,False,2025-06-13 10:30:00+00:00,2025-06-20 10:30:00+00:00
week_004_20250620_20250627,2025-06-20 10:30:00+00:00,2025-06-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1059278927155916,10.592789271559155,19025.049220125693,191.25049220125692,-3.4575544679507186,100.0,9,1.2857142857142858,inf,1.1249999999999993,1.1250000000000013,1.1249999999999847,0,9,0,0,16.21900850162517,True,True,True,True,True,True,True,2025-06-20 10:30:00+00:00,2025-06-27 10:30:00+00:00
week_005_20250627_20250704,2025-06-27 10:30:00+00:00,2025-07-04 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9652150335431,-3.478496645689999,-84.23455139160342,0.15765448608396584,-8.298917208085022,50.0,8,1.1428571428571428,0.5199084397052127,-0.4259379109985255,-0.1903584640469328,-4.425000000000004,1,3,0,4,-5.514573160896511,False,False,True,False,True,False,False,2025-06-27 10:30:00+00:00,2025-07-04 10:30:00+00:00
week_006_20250704_20250711,2025-07-04 10:30:00+00:00,2025-07-11 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9600040723836627,-3.99959276163373,-88.11403641148694,0.11885963588513065,-6.3166580787300415,0.0,2,0.2857142857142857,0.0,-2.018069504325484,-2.018069504325484,-2.664583094719966,0,0,0,2,-11.977521201068482,False,False,True,False,False,False,False,2025-07-04 10:30:00+00:00,2025-07-11 10:30:00+00:00
week_007_20250711_20250718,2025-07-11 10:30:00+00:00,2025-07-18 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9753261963027547,-2.4673803697245256,-72.84456818591988,0.27155431814080117,-5.279016736223663,50.0,8,1.1428571428571428,0.6519518368531102,-0.30029379580417653,0.21126654380967422,-2.6848154326068934,0,4,0,4,-4.929227828350053,False,False,True,False,True,False,False,2025-07-11 10:30:00+00:00,2025-07-18 10:30:00+00:00
week_008_20250718_20250725,2025-07-18 10:30:00+00:00,2025-07-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0363455540279511,3.6345554027951144,544.1800691972642,6.441800691972642,-2.790711059532025,100.0,4,0.5714285714285714,inf,0.8972838961271132,1.1249999999999931,0.21413558450846543,0,3,0,1,1.1112239273320754,False,False,True,True,False,False,False,2025-07-18 10:30:00+00:00,2025-07-25 10:30:00+00:00
week_009_20250725_20250801,2025-07-25 10:30:00+00:00,2025-08-01 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0018772904581608,0.1877290458160763,10.281114344929154,1.1028111434492915,-5.1060793421224275,71.42857142857143,7,1.0,1.0610626943601884,0.0462444272145716,1.1249999999999847,-4.425000000000004,1,5,0,1,-1.2286314599867039,False,False,True,True,True,False,False,2025-07-25 10:30:00+00:00,2025-08-01 10:30:00+00:00
week_010_20250801_20250808,2025-08-01 10:30:00+00:00,2025-08-08 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0936246157879765,9.362461578797653,10568.200414027748,106.68200414027747,-1.8111839410077768,100.0,8,1.1428571428571428,inf,1.1249999999999971,1.1250000000000013,1.1249999999999847,0,8,0,0,15.651740646194066,True,True,True,True,True,True,True,2025-08-01 10:30:00+00:00,2025-08-08 10:30:00+00:00
