label,family,parameter,value,slice,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
baseline,baseline,surface_combo,search_best,full,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,2.5754963214533837,157.54963214533836,141.9190557769408,2.419190557769408,-18.877695407964023,76.90217391304348,368,0.9408506218541106,1.4753990212022208,0.2720472776875018,1.1250000000000013,-4.425000000000004,30,274,0,64,-0.39440315521524383,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
baseline,baseline,surface_combo,search_best,first_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,2.2389509585227674,123.89509585227674,350.5646626004774,4.505646626004774,-14.793319825703144,79.3296089385475,179,0.9152840288689446,2.1275450881909275,0.4615265578271316,1.1250000000000013,-4.425000000000004,8,137,0,34,0.5012589696732228,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-12-12 00:07:30+00:00
baseline,baseline,surface_combo,search_best,second_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.150313860895224,15.031386089522393,29.892187306090623,1.2989218730609062,-18.877695407964,74.60317460317461,189,0.9664172148392767,1.127440704159782,0.0925933562854185,1.1250000000000013,-4.425000000000004,22,137,0,30,-1.1513184287720613,False,False,True,True,True,False,False,2025-12-12 00:07:30+00:00,2026-06-25 13:45:00+00:00
baseline,baseline,surface_combo,search_best,last_90d,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9867668643199604,-1.3233135680039587,-5.2627562051493,0.947372437948507,-15.547764813126541,71.42857142857143,84,0.9333333333333333,1.0041688751451963,0.0032979227216746046,1.1250000000000013,-4.425000000000004,10,59,0,15,-1.5005176712732078,False,False,True,True,True,False,False,2026-03-27 13:45:00+00:00,2026-06-25 13:45:00+00:00
baseline,baseline,surface_combo,search_best,is_2025_05_30_to_2026_03_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,2.2123368219105326,121.23368219105326,187.57756012232085,2.8757756012232085,-18.66807496257398,77.91164658634538,249,0.9068973366719781,1.644240936068523,0.3325698881704387,1.1250000000000013,-4.425000000000004,17,186,0,46,-0.16366431143469762,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00
baseline,baseline,surface_combo,search_best,val_2026_03_01_to_2026_06_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.144702607777472,14.470260777747201,71.00794506161611,1.7100794506161612,-14.835966631080632,74.69879518072288,83,0.9021739130434783,1.2726573217255839,0.18004116047357643,1.1250000000000013,-4.425000000000004,9,62,0,12,-0.7938239376581022,False,False,True,True,True,False,False,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00
baseline,baseline,surface_combo,search_best,oos_2026_06_01_to_latest,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0169907760845491,1.699077608454913,28.457524876850027,1.2845752487685003,-13.905407777384681,75.0,36,1.4650275540483255,1.0866311715719639,0.06555776986818279,1.1249999999999847,-4.425000000000004,4,26,0,6,-1.1101684348975343,False,False,True,True,True,False,False,2026-06-01 00:00:00+00:00,2026-06-25 13:45:00+00:00
baseline,baseline,surface_combo,search_best,q1,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.2505168560150561,25.051685601505614,130.49238423059873,2.3049238423059872,-14.793319825703144,73.62637362637363,91,0.9306239846600441,1.469615509325586,0.25863963951000296,1.1250000000000013,-4.425000000000004,5,65,0,21,-0.44612944207424654,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-09-05 05:18:45+00:00
baseline,baseline,surface_combo,search_best,q2,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.7904204551528338,79.04204551528338,780.7601859034955,8.807601859034955,-5.495160313987679,85.22727272727273,88,0.8999440730778449,3.551900869127971,0.6713300756323443,1.1250000000000013,-4.425000000000004,3,72,0,13,1.7536965062365,False,False,True,True,True,False,False,2025-09-05 05:18:45+00:00,2025-12-12 00:07:30+00:00
baseline,baseline,surface_combo,search_best,q3,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.166335112686541,16.63351126865411,77.6658151700373,1.776658151700373,-18.877695407964,77.0,100,1.022663719406642,1.2580837978806103,0.17148118829323444,1.1250000000000013,-4.425000000000004,11,74,0,15,-0.7663769820753992,False,False,True,True,True,False,False,2025-12-12 00:07:30+00:00,2026-03-19 18:56:15+00:00
