label,family,parameter,value,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,reason_counts,raw_trade_events,filter_pass_events,selected_trades,name,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts,first_half_trades,first_half_annual_return_pct,first_half_total_return_pct,first_half_max_drawdown_pct,first_half_win_rate_pct,first_half_trades_per_day,first_half_profit_factor,second_half_trades,second_half_annual_return_pct,second_half_total_return_pct,second_half_max_drawdown_pct,second_half_win_rate_pct,second_half_trades_per_day,second_half_profit_factor,last_90d_trades,last_90d_annual_return_pct,last_90d_total_return_pct,last_90d_max_drawdown_pct,last_90d_win_rate_pct,last_90d_trades_per_day,last_90d_profit_factor,q1_trades,q1_annual_return_pct,q1_total_return_pct,q1_max_drawdown_pct,q1_win_rate_pct,q1_trades_per_day,q1_profit_factor,q2_trades,q2_annual_return_pct,q2_total_return_pct,q2_max_drawdown_pct,q2_win_rate_pct,q2_trades_per_day,q2_profit_factor,q3_trades,q3_annual_return_pct,q3_total_return_pct,q3_max_drawdown_pct,q3_win_rate_pct,q3_trades_per_day,q3_profit_factor,q4_trades,q4_annual_return_pct,q4_total_return_pct,q4_max_drawdown_pct,q4_win_rate_pct,q4_trades_per_day,q4_profit_factor,oos_2026_06_01_to_latest_trades,oos_2026_06_01_to_latest_annual_return_pct,oos_2026_06_01_to_latest_total_return_pct,oos_2026_06_01_to_latest_max_drawdown_pct,oos_2026_06_01_to_latest_win_rate_pct,oos_2026_06_01_to_latest_trades_per_day,oos_2026_06_01_to_latest_profit_factor,stability_pass,ablation_gate_pass,config_signal,config_exit,config_filter,config_exposure,higher_return_than_baseline,lower_dd_than_baseline,return_and_dd_pass,trade_shape_pass,recent_pass,optimization_gate_pass,objective_score
bb_reversion_w48_k1p5__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p5,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.5,bb_reversion_w48_k1p5,bb_reversion,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 72, ""stop_loss"": 33, ""take_profit"": 198}",2291,360,303,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.7021548104819493,170.21548104819493,153.0110922137589,2.530110922137589,-19.94063301284673,71.28712871287128,303,0.7746677674505312,1.4931585816890671,0.3494132666352075,1.5750000000000017,-4.42500000000002,33,198,0,72,-0.40526080626550187,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,164,374.76445810394904,130.2556219377684,-13.564707712003464,73.78048780487805,0.8385842499134464,1.910302100299817,139,34.834467261623004,17.35456392948629,-19.940633012846774,68.34532374100719,0.7107512849876162,1.1618497097776335,58,124.43912809233169,22.043033906693978,-13.694733305061336,70.6896551724138,0.6444444444444445,1.5498241708750988,77,459.5295342546163,58.564288976519016,-10.159617807651822,75.32467532467533,0.7874510639431143,2.205003605400398,87,302.84073829812553,45.21278619794755,-13.564707712003477,72.41379310344827,0.8897174358837785,1.7021821256840022,78,14.27203175396603,3.636215228143347,-19.556368454551365,67.94871794871796,0.7976777011371807,1.0775911710758443,61,59.09696609638424,13.237022088411422,-13.694733305061357,68.85245901639344,0.6238248688380515,1.2918272839892053,25,423.348842785164,11.778455699396883,-9.67599152362676,76.0,1.0173802458668928,1.7018371150851612,True,False,bb_reversion_w48_k1p5,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.5,True,False,False,True,True,False,-293.2728445791369
bb_reversion_w48_k1p5__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.25,bb_reversion_w48_k1p5,bb_reversion,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,"{""max_hold"": 72, ""stop_loss"": 33, ""take_profit"": 198}",2291,360,303,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,2.310484897808333,131.04848978083334,118.59146019993902,2.1859146019993902,-16.771168663873848,71.28712871287128,303,0.7746677674505312,1.493158581689068,0.2911777221960063,1.3125000000000013,-3.6875000000000173,33,198,0,72,-0.5542146161928516,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,164,269.1988213106706,101.24779826070748,-11.384835975793573,73.78048780487805,0.8385842499134464,1.9103021002998217,139,29.421394961968094,14.807959032436212,-16.771168663873905,68.34532374100719,0.7107512849876162,1.161849709777636,58,97.36412177831933,18.23771446711828,-11.496680134152381,70.6896551724138,0.6444444444444445,1.5498241708750962,77,322.79294309348654,47.10431581006325,-8.514946900182318,75.32467532467533,0.7874510639431143,2.2050036054003965,87,222.39840300988357,36.80618216569034,-11.38483597579354,72.41379310344827,0.8897174358837785,1.7021821256840008,78,12.9782242762996,3.3207680523751115,-16.51035433710003,67.94871794871796,0.7976777011371807,1.0775911710758435,61,48.25775127194633,11.117988374068366,-11.496680134152404,68.85245901639344,0.6238248688380515,1.291827283989203,25,301.37979225636934,9.800771364991512,-8.084325266330284,76.0,1.0173802458668928,1.701837115085162,True,False,bb_reversion_w48_k1p5,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.25,False,True,False,True,True,False,-315.8742649581799
bb_reversion_w48_k1p5__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.0,bb_reversion_w48_k1p5,bb_reversion,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,"{""max_hold"": 72, ""stop_loss"": 33, ""take_profit"": 198}",2291,360,303,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,1.9683567133326556,96.83567133326557,88.20881472751616,1.8820881472751616,-13.53807020199892,71.28712871287128,303,0.7746677674505312,1.4931585816890636,0.23294217775680504,1.0500000000000012,-2.9500000000000135,33,198,0,72,-0.7019187230755202,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,164,186.16782140247227,75.58638993426811,-9.172578880424687,73.78048780487805,0.8385842499134464,1.9103021002998215,139,23.782463617100746,12.10189548686107,-13.538070201998897,68.34532374100719,0.7107512849876162,1.1618497097776372,58,73.12332767655805,14.480728363934281,-9.265001676072494,70.6896551724138,0.6444444444444445,1.5498241708750968,77,218.6031297368907,36.37315666612846,-6.850980129154949,75.32467532467533,0.7874510639431143,2.205003605400396,87,157.03458115388128,28.754363561549255,-9.17257888042473,72.41379310344827,0.8897174358837785,1.702182125684001,78,11.209671339428073,2.8852636415776844,-13.380599953548234,67.94871794871796,0.7976777011371807,1.0775911710758432,61,37.776670990723545,8.958165162886168,-9.265001676072515,68.85245901639344,0.6238248688380515,1.2918272839892038,25,206.53588724954508,7.827365419893284,-6.4838401289963095,76.0,1.0173802458668928,1.701837115085161,True,False,bb_reversion_w48_k1p5,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.0,False,True,False,True,True,False,-332.51251978648395
rsi7_30_60__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p5,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 91, ""stop_loss"": 35, ""take_profit"": 222}",4337,503,348,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.952246616683279,195.22466166832788,174.81336020997213,2.7481336020997214,-23.24187792807012,71.26436781609196,348,0.8897174358837785,1.4704517951854974,0.33167483703077866,1.5750000000000017,-4.425000000000004,35,222,0,91,-0.9824153354053257,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,172,356.6557673345666,125.51069451968146,-14.268834286541354,73.25581395348837,0.879490798689712,1.8510378798476894,176,65.38142809562886,30.913818653758796,-23.24187792807011,69.31818181818183,0.8999440730778449,1.2124325558775493,77,45.864262761462335,9.748371974114157,-13.811587118443358,66.23376623376623,0.8555555555555555,1.1689697690804457,84,133.61179777692035,25.502546125998936,-14.268834286541354,67.85714285714286,0.8590375243015792,1.4271909665178986,88,792.6539319690297,79.68615098316715,-8.141348146092364,78.4090909090909,0.8999440730778449,2.4178960815586743,94,90.71333788384395,18.86745024318397,-23.24187792807011,71.27659574468085,0.9613038962422434,1.255579367838799,82,43.41428377499308,10.134286876625985,-13.811587118443336,67.07317073170732,0.8385842499134464,1.1652651743324365,32,251.053330699107,8.815573320310598,-10.635916916007782,71.875,1.3022467147096226,1.3606890238812688,True,False,rsi_reversal_w7_lo30_hi60,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.5,True,False,False,True,True,False,-337.1679685701455
rsi7_30_60__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,"{""max_hold"": 91, ""stop_loss"": 35, ""take_profit"": 222}",4337,503,348,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,2.4897906262687615,148.97906262687616,134.39303144271838,2.3439303144271837,-19.679840602652977,71.26436781609196,348,0.8897174358837785,1.4704517951854992,0.2763956975256488,1.3125000000000013,-3.687500000000003,35,222,0,91,-0.49793255448998974,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,172,257.3641380842283,97.76757317644463,-12.004440666817596,73.25581395348837,0.879490798689712,1.8510378798476923,176,53.73700753363786,25.894785797235432,-19.679840602652966,69.31818181818183,0.8999440730778449,1.2124325558775517,77,38.34669281093539,8.32673014338221,-11.54854819866138,66.23376623376623,0.8555555555555555,1.1689697690804444,84,104.41881494376575,21.09658661201994,-12.004440666817596,67.85714285714286,0.8590375243015792,1.427190966517897,88,524.7425278530009,63.31391223277818,-6.808354310057718,78.4090909090909,0.8999440730778449,2.417896081558673,94,73.2800614906919,15.855645410010366,-19.679840602652966,71.27659574468085,0.9613038962422434,1.2555793678387985,82,36.39807882147772,8.665214674431176,-11.54854819866138,67.07317073170732,0.8385842499134464,1.1652651743324354,32,188.96467657990152,7.3999905541234146,-8.890759329360154,71.875,1.3022467147096226,1.3606890238812688,True,False,rsi_reversal_w7_lo30_hi60,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.25,False,False,False,True,True,False,-352.8507837093256
rsi7_30_60__fixed_tp1p2_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp1p2_sl2p8_hold16|baseline_filter|x1.0,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp120p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,"{""max_hold"": 91, ""stop_loss"": 35, ""take_profit"": 222}",4337,503,348,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp120p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,2.091270099976033,109.1270099976033,99.16147068243039,1.991614706824304,-15.996109540493142,71.26436781609196,348,0.8897174358837785,1.4704517951854927,0.22111655802051905,1.0500000000000012,-2.950000000000003,35,222,0,91,-0.6592102263762114,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,172,178.7678834556505,73.14048757520905,-9.695268170522176,73.25581395348837,0.879490798689712,1.8510378798476934,176,42.28788091616382,20.784579578339525,-15.996109540493109,69.31818181818183,0.8999440730778449,1.2124325558775535,77,30.68735596505119,6.817083455127992,-9.268217190655047,66.23376623376623,0.8555555555555555,1.1689697690804444,84,78.30361527340068,16.74545788122741,-9.695268170522176,67.85714285714286,0.8590375243015792,1.427190966517897,88,335.83823427912176,48.30597328365074,-5.465801465364151,78.4090909090909,0.8999440730778449,2.4178960815586743,94,56.694971033117206,12.776775341878398,-15.996109540493109,71.27659574468085,0.9613038962422434,1.255579367838799,82,29.205429645432513,7.1005791859058975,-9.268217190655037,67.07317073170732,0.8385842499134464,1.1652651743324351,32,136.45485172842845,5.960659303578275,-7.142537163734907,71.875,1.3022467147096226,1.3606890238812681,True,False,rsi_reversal_w7_lo30_hi60,fixed_tp120p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.0,False,True,False,True,True,False,-362.44216439527696
bb_reversion_w48_k1p5__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p5,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.5,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,"{""max_hold"": 50, ""stop_loss"": 26, ""take_profit"": 234}",2291,360,310,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,2.243078723961033,124.3078723961033,112.63049923153687,2.1263049923153687,-20.425493654044057,77.41935483870968,310,0.7925643825401475,1.4777629664912908,0.27595714689474327,1.1249999999999847,-4.42500000000002,26,234,0,50,-0.6481438918143322,False,False,False,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,170,278.8087046660033,104.03581359775256,-10.558220264846607,80.0,0.8692641614956457,1.9429909629335023,140,19.35240306401058,9.935539472651644,-20.425493654044104,74.28571428571429,0.7158646035846493,1.1191157895637858,58,41.430913266405355,8.91686089537236,-13.758840960842257,74.13793103448276,0.6444444444444445,1.2541851336058178,81,203.22832203262564,34.57929398658295,-10.558220264846607,77.77777777777779,0.82835761271938,1.7827702753304413,89,373.2276779716377,51.610108474855146,-10.543218476671512,82.02247191011236,0.9101707102719113,2.105458312627838,79,39.24921043510818,9.268718045739055,-9.809242864726087,75.9493670886076,0.8079043383312471,1.1874229713142606,61,2.2985772963675544,0.6102583052484567,-13.758840960842257,72.1311475409836,0.6238248688380515,1.0371297370715984,25,132.4818483217781,5.839931108237617,-11.24002472211767,80.0,1.0173802458668928,1.3885941050694777,True,False,bb_reversion_w48_k1p5,fixed_tp90p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.5,False,False,False,True,True,False,-379.0364301039007
bb_reversion_w48_k1p5__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,"{""max_hold"": 50, ""stop_loss"": 26, ""take_profit"": 234}",2291,360,310,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,1.7319803216079437,73.19803216079437,67.0152527369886,1.670152527369886,-13.873626332638766,77.41935483870968,310,0.7925643825401475,1.477762966491295,0.18397143126316215,0.7499999999999898,-2.9500000000000135,26,234,0,50,-0.7846125061898892,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,170,145.24316430981563,61.66049402389617,-7.112778071544234,80.0,0.8692641614956457,1.9429909629335107,140,13.740559192758983,7.136894023837681,-13.873626332638878,74.28571428571429,0.7158646035846493,1.1191157895637882,58,27.023795507697223,6.071318588514774,-9.311167415181721,74.13793103448276,0.6444444444444445,1.2541851336058165,81,111.29645488885967,22.17416050746932,-7.112778071544234,77.77777777777779,0.82835761271938,1.7827702753304393,89,184.64372330490244,32.319709300570885,-7.08827609909638,82.02247191011236,0.9101707102719113,2.1054583126278357,79,26.253828389815894,6.440020563112214,-6.562413489973373,75.9493670886076,0.8079043383312471,1.1874229713142592,61,2.4675051083449473,0.6547100019699714,-9.311167415181732,72.1311475409836,0.6238248688380515,1.037129737071597,25,77.88068233944378,3.9508175212636942,-7.571332052822333,80.0,1.0173802458668928,1.3885941050694777,True,False,bb_reversion_w48_k1p5,fixed_tp90p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.0,False,True,False,True,True,False,-379.4402969065607
bb_reversion_w48_k1p5__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,bb_reversion_w48_k1p5,bb_reversion,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,"{""max_hold"": 50, ""stop_loss"": 26, ""take_profit"": 234}",2291,360,310,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,1.9737074798859946,97.37074798859946,88.68653779268523,1.8868653779268523,-17.183004133574965,77.41935483870968,310,0.7925643825401475,1.4777629664912915,0.22996428907895267,0.9374999999999871,-3.6875000000000173,26,234,0,50,-0.6740330331656701,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,170,205.14912774033175,81.72925776381041,-8.844762136061036,80.0,0.8692641614956457,1.9429909629335058,140,16.672820950963384,8.607029169247916,-17.183004133575032,74.28571428571429,0.7158646035846493,1.1191157895637873,58,34.17171476645835,7.51189131888359,-11.55221343835844,74.13793103448276,0.6444444444444445,1.2541851336058165,81,153.3961737148478,28.263882540121088,-8.844762136061036,77.77777777777779,0.82835761271938,1.78277027533044,89,267.471966113705,41.68388962260296,-8.823334713280428,82.02247191011236,0.9101707102719113,2.105458312627836,79,32.80146533086725,7.8905920115440065,-8.189042286734505,75.9493670886076,0.8079043383312471,1.1874229713142592,61,2.5029890652233266,0.6640404360995333,-11.55221343835844,72.1311475409836,0.6238248688380515,1.037129737071597,25,103.70553263695128,4.9032097498630245,-9.415522445499258,80.0,1.0173802458668928,1.3885941050694781,True,False,bb_reversion_w48_k1p5,fixed_tp90p0_sl280p0_hold16,macd0p0_atr60p0to280p0,1.25,False,True,False,True,True,False,-380.6700746289731
bb_reversion_w48_k1p5__fixed_tp1p2_sl2p8_hold16__min_rvol96_0p75__min_atr_pct96_0p009__x1p5,surface_combo_grid,surface_combo,bb_reversion_w48_k1p5|fixed_tp1p2_sl2p8_hold16|min_rvol96_0p75__min_atr_pct96_0p009|x1.5,bb_reversion_w48_k1p5,bb_reversion,fixed_tp120p0_sl280p0_hold16,fixed,rvol0p75_macd0p0_atr90p0to280p0,1.5,"{""max_hold"": 11, ""stop_loss"": 9, ""take_profit"": 76}",2291,100,96,HYPE_15M_MII_bb_reversion_w48_k1p5_fixed_tp120p0_sl280p0_hold16_rvol0p75_macd0p0_atr90p0to280p0_x1p5,2.0409886156541655,104.09886156541654,94.6862470342811,1.946862470342811,-13.467852220569432,84.375,96,0.24543929265759407,2.50168652385771,0.7635188701350587,1.5750000000000017,-4.42500000000002,9,76,0,11,-1.2868642489910243,False,False,True,True,False,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00,52,200.13214911613585,80.12331268404485,-8.141348146092376,90.38461538461539,0.2658925670457269,6.395141289633032,44,26.286820308699134,13.310630658579647,-13.467852220569421,77.27272727272727,0.2249860182694612,1.3626690978090317,19,139.61897174309814,24.027079537486195,-5.535428594491798,94.73684210526315,0.2111111111111111,5.934091063312853,24,179.48963037467212,31.673977532403995,-5.90138249362957,91.66666666666666,0.24543929265759407,7.008974455388469,28,222.2992810585282,36.79492034765786,-8.141348146092376,89.28571428571429,0.2863458414338597,5.951084715534867,25,-28.648065671285337,-8.64041056104008,-13.467852220569421,64.0,0.2556659298516605,0.7558961746033609,19,123.51686935645496,24.027079537486195,-5.535428594491798,94.73684210526315,0.19430610668726198,5.934091063312853,13,592.2294983745272,13.901511859864236,-5.535428594491787,92.3076923076923,0.5290377278507842,3.9950115897321514,True,False,bb_reversion_w48_k1p5,fixed_tp120p0_sl280p0_hold16,rvol0p75_macd0p0_atr90p0to280p0,1.5,False,True,False,False,True,False,-392.2255215950131
