config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_1M_MA_PBS_R03037,2026-03-31 16:55:00+00:00,2026-03-31 16:56:00+00:00,2026-03-31 17:26:00+00:00,1,36.972629109,37.139421000000006,time_open,31,0.0035089705296051784,-0.005791187392253427,0.009746964164695449,long
HYPE_1M_MA_PBS_R03037,2026-04-07 22:40:00+00:00,2026-04-07 22:41:00+00:00,2026-04-07 22:42:00+00:00,1,38.508275091,37.98866368105959,stop_market,2,-0.014486753250000046,-0.01458204054111839,-0.00042263879546788896,long
HYPE_1M_MA_PBS_R03037,2026-04-07 22:58:00+00:00,2026-04-07 22:59:00+00:00,2026-04-07 23:29:00+00:00,1,38.704485399,39.076451999999996,time_open,31,0.008605620998880495,-0.00813439678770761,0.01205324386025941,long
HYPE_1M_MA_PBS_R03037,2026-04-09 15:34:00+00:00,2026-04-09 15:35:00+00:00,2026-04-09 16:05:00+00:00,1,39.76462170600001,39.696142,time_open,31,-0.002721265366311198,-0.007607365639979491,0.001417800335605568,long
HYPE_1M_MA_PBS_R03037,2026-04-13 13:49:00+00:00,2026-04-13 13:50:00+00:00,2026-04-13 14:20:00+00:00,1,42.51557031,42.348815,time_open,31,-0.004920256299744334,-0.006181925662495036,0.007748448100260097,long
HYPE_1M_MA_PBS_R03037,2026-04-13 22:16:00+00:00,2026-04-13 22:17:00+00:00,2026-04-13 22:47:00+00:00,1,44.07223882500001,44.2748515,time_open,31,0.003594987095314429,-0.006767864586976924,0.005780536269364145,long
HYPE_1M_MA_PBS_R03037,2026-05-14 16:47:00+00:00,2026-05-14 16:48:00+00:00,2026-05-14 17:18:00+00:00,1,43.393511331000006,43.574202,time_open,31,0.0031619200227402354,-0.008877089565930418,0.011487631530843201,long
HYPE_1M_MA_PBS_R03037,2026-05-15 00:52:00+00:00,2026-05-15 00:53:00+00:00,2026-05-15 01:23:00+00:00,1,45.350609046,45.5602085,time_open,31,0.0036194452220147345,-0.00675369872568482,0.009732856146480673,long
HYPE_1M_MA_PBS_R03037,2026-05-15 01:35:00+00:00,2026-05-15 01:36:00+00:00,2026-05-15 02:06:00+00:00,1,45.869164860000005,45.8960405,time_open,31,-0.00041437341922450797,-0.003904571687246616,0.015497015089975585,long
HYPE_1M_MA_PBS_R03037,2026-05-15 03:05:00+00:00,2026-05-15 03:06:00+00:00,2026-05-15 03:21:00+00:00,1,46.96433872200001,46.330625417454705,stop_market,16,-0.014486753249999935,-0.013666132832407085,0.000610277473928722,long
HYPE_1M_MA_PBS_R03037,2026-05-17 19:37:00+00:00,2026-05-17 19:38:00+00:00,2026-05-17 20:08:00+00:00,1,46.413748572,46.927524500000004,time_open,31,0.010063942384213896,-0.005105285687459993,0.015474971319883846,long
HYPE_1M_MA_PBS_R03037,2026-05-18 00:59:00+00:00,2026-05-18 01:00:00+00:00,2026-05-18 01:15:00+00:00,1,46.98536125500001,46.351364282905664,stop_market,16,-0.014486753250000046,-0.014128952462973021,-0.00013538801937662548,long
HYPE_1M_MA_PBS_R03037,2026-05-18 12:58:00+00:00,2026-05-18 12:59:00+00:00,2026-05-18 13:29:00+00:00,1,46.062371949,45.9340215,time_open,31,-0.0037850557482697724,-0.0069558540174450845,0.004312154207341212,long
HYPE_1M_MA_PBS_R03037,2026-05-18 23:09:00+00:00,2026-05-18 23:10:00+00:00,2026-05-18 23:34:00+00:00,1,47.823259356,47.177956205879816,stop_market,25,-0.014486753249999935,-0.015268114208664751,-0.00040271943525704845,long
HYPE_1M_MA_PBS_R03037,2026-05-19 00:21:00+00:00,2026-05-19 00:22:00+00:00,2026-05-19 00:35:00+00:00,1,48.552040500000004,47.89690354151326,stop_market,14,-0.014486753249999824,-0.013641373533003265,0.0006170595445931237,long
HYPE_1M_MA_PBS_R03037,2026-05-20 13:18:00+00:00,2026-05-20 13:19:00+00:00,2026-05-20 13:49:00+00:00,1,50.450074908000005,51.41827800000001,time_open,31,0.01818171563112094,-0.003296327027408174,0.02259511198107722,long
HYPE_1M_MA_PBS_R03037,2026-05-20 15:15:00+00:00,2026-05-20 15:16:00+00:00,2026-05-20 15:43:00+00:00,1,51.86659320300001,51.16673132761533,stop_market,28,-0.014486753249999935,-0.013930479234940674,0.006158237456427296,long
HYPE_1M_MA_PBS_R03037,2026-05-20 19:40:00+00:00,2026-05-20 19:41:00+00:00,2026-05-20 20:11:00+00:00,1,52.876675860000006,52.390791500000006,time_open,31,-0.010184416567823219,-0.011103462696567534,0.005585149504895304,long
HYPE_1M_MA_PBS_R03037,2026-05-20 22:17:00+00:00,2026-05-20 22:18:00+00:00,2026-05-20 22:48:00+00:00,1,53.45529605400001,54.005983500000006,time_open,31,0.009296680458395984,-0.005070100102957553,0.019543506876187555,long
HYPE_1M_MA_PBS_R03037,2026-05-21 00:36:00+00:00,2026-05-21 00:37:00+00:00,2026-05-21 01:07:00+00:00,1,55.628625537000005,56.126922500000006,time_open,31,0.00795308502970725,-0.0019493533899444522,0.01900774021994689,long
HYPE_1M_MA_PBS_R03037,2026-05-21 07:45:00+00:00,2026-05-21 07:46:00+00:00,2026-05-21 08:16:00+00:00,1,58.086259752000004,58.55770650000001,time_open,31,0.007112263152040558,-0.004653473696362431,0.011891628948896393,long
HYPE_1M_MA_PBS_R03037,2026-05-21 09:22:00+00:00,2026-05-21 09:23:00+00:00,2026-05-21 09:53:00+00:00,1,58.94017502100001,58.1579065,time_open,31,-0.014265610196456512,-0.01967495189991092,0.005256600932888267,long
HYPE_1M_MA_PBS_R03037,2026-05-21 13:20:00+00:00,2026-05-21 13:21:00+00:00,2026-05-21 13:51:00+00:00,1,58.562770500000006,59.13042,time_open,31,0.0086881631522197,-0.001964590887140682,0.012435024739821499,long
HYPE_1M_MA_PBS_R03037,2026-05-22 08:42:00+00:00,2026-05-22 08:43:00+00:00,2026-05-22 09:13:00+00:00,1,59.44271366700001,59.737116500000006,time_open,31,0.003950238867490658,-0.008889819983552816,0.012033204557366783,long
HYPE_1M_MA_PBS_R03037,2026-05-22 12:12:00+00:00,2026-05-22 12:13:00+00:00,2026-05-22 12:43:00+00:00,1,61.110501285000005,61.434267500000004,time_open,31,0.004295396455403095,-0.01237195767903293,0.008468245295297772,long
HYPE_1M_MA_PBS_R03037,2026-05-22 21:38:00+00:00,2026-05-22 21:39:00+00:00,2026-05-22 22:09:00+00:00,1,56.45250861600001,55.828072000000006,time_open,31,-0.012055742481479597,-0.012111682670453094,7.956039705048212e-05,long
HYPE_1M_MA_PBS_R03037,2026-05-23 15:22:00+00:00,2026-05-23 15:23:00+00:00,2026-05-23 15:53:00+00:00,1,57.488619171,57.1943885,time_open,31,-0.006115509119983321,-0.010199644539058583,0.004581442949891823,long
HYPE_1M_MA_PBS_R03037,2026-05-23 16:49:00+00:00,2026-05-23 16:50:00+00:00,2026-05-23 17:20:00+00:00,1,58.070242584000006,57.71412850000001,time_open,31,-0.007129404857283468,-0.010302655519762782,0.0010290540101249857,long
HYPE_1M_MA_PBS_R03037,2026-05-23 18:37:00+00:00,2026-05-23 18:38:00+00:00,2026-05-23 19:08:00+00:00,1,58.780003341000004,58.4197755,time_open,31,-0.007125343766837846,-0.011507201500934705,0.0010547236385873848,long
HYPE_1M_MA_PBS_R03037,2026-05-24 00:47:00+00:00,2026-05-24 00:48:00+00:00,2026-05-24 01:18:00+00:00,1,59.81110853100001,60.809580000000004,time_open,31,0.015685399381090714,-0.0063535703416791045,0.018941154859432485,long
HYPE_1M_MA_PBS_R03037,2026-05-24 08:34:00+00:00,2026-05-24 08:35:00+00:00,2026-05-24 09:05:00+00:00,1,62.909429466000006,63.0054815,time_open,31,0.0005260670585938161,-0.0070082368331012,0.009165089222619605,long
HYPE_1M_MA_PBS_R03037,2026-05-24 09:22:00+00:00,2026-05-24 09:23:00+00:00,2026-05-24 09:53:00+00:00,1,63.61418485800001,64.3188245,time_open,31,0.010071230791546138,-0.006083422294773599,0.01359469030264937,long
HYPE_1M_MA_PBS_R03037,2026-05-24 12:58:00+00:00,2026-05-24 12:59:00+00:00,2026-05-24 13:29:00+00:00,1,64.170781446,63.946011000000006,time_open,31,-0.004500940080744531,-0.010843982589000933,0.0035720081450603125,long
HYPE_1M_MA_PBS_R03037,2026-05-26 10:36:00+00:00,2026-05-26 10:37:00+00:00,2026-05-26 11:07:00+00:00,1,61.878324276,61.60918,time_open,31,-0.005347398010684937,-0.01178544258705555,-0.0005385452238713118,long
HYPE_1M_MA_PBS_R03037,2026-05-26 12:58:00+00:00,2026-05-26 12:59:00+00:00,2026-05-26 13:29:00+00:00,1,62.238710556,61.926021500000004,time_open,31,-0.006021516491585909,-0.00809512129633011,0.00014925508444840752,long
HYPE_1M_MA_PBS_R03037,2026-05-28 16:32:00+00:00,2026-05-28 16:33:00+00:00,2026-05-28 17:03:00+00:00,1,58.88011064100001,59.0994355,time_open,31,0.0027230771848760892,-0.00393257916467421,0.01003546617978901,long
HYPE_1M_MA_PBS_R03037,2026-05-28 18:12:00+00:00,2026-05-28 18:13:00+00:00,2026-05-28 18:43:00+00:00,1,60.318652542,60.40978,time_open,31,0.0005100120846960479,-0.005152831755559972,0.007598768186687366,long
HYPE_1M_MA_PBS_R03037,2026-05-30 11:39:00+00:00,2026-05-30 11:40:00+00:00,2026-05-30 12:10:00+00:00,1,67.92480519600001,67.77109750000001,time_open,31,-0.0032617781782176987,-0.007475436950210301,0.0023584138892667195,long
HYPE_1M_MA_PBS_R03037,2026-05-31 22:11:00+00:00,2026-05-31 22:12:00+00:00,2026-05-31 22:42:00+00:00,1,71.92609397700001,72.5666985,time_open,31,0.007901974031055156,-0.006243311698979459,0.011997120589864574,long
HYPE_1M_MA_PBS_R03037,2026-06-01 00:43:00+00:00,2026-06-01 00:44:00+00:00,2026-06-01 01:05:00+00:00,1,74.09241594900001,73.09264993439218,stop_market,22,-0.014486753249999935,-0.013921291994102358,0.00030480921307152187,long
HYPE_1M_MA_PBS_R03037,2026-06-03 00:09:00+00:00,2026-06-03 00:10:00+00:00,2026-06-03 00:40:00+00:00,1,70.17021193500001,70.2558545,time_open,31,0.00021988720508323814,-0.002783190125582313,0.011454833081373073,long
HYPE_1M_MA_PBS_R03037,2026-06-04 03:39:00+00:00,2026-06-04 03:40:00+00:00,2026-06-04 04:10:00+00:00,1,73.84815413700001,74.300831,time_open,31,0.00512676822942835,-0.006893580753881634,0.010763246181149322,long
HYPE_1M_MA_PBS_R03037,2026-06-04 12:27:00+00:00,2026-06-04 12:28:00+00:00,2026-06-04 12:58:00+00:00,1,67.61547363900002,67.824071,time_open,31,0.0020835110825760264,-0.009868767308828408,0.007476489238232631,long
HYPE_1M_MA_PBS_R03037,2026-06-04 20:40:00+00:00,2026-06-04 20:41:00+00:00,2026-06-04 21:11:00+00:00,1,67.668530508,67.510228,time_open,31,-0.0033382118033034158,-0.010615935766021767,0.0015733974301010978,long
