bracket,source,events,avg_event_bps,win_rate,target_rate,long_share
tp120_sl160_h36,bb_revert_2p0,1028,-10.457301720326237,0.5214007782101168,0.40175097276264593,0.5262645914396887
tp120_sl160_h36,bb_revert_1p5,5015,-10.575086259371773,0.5214356929212363,0.3962113659022931,0.5070787637088734
tp120_sl160_h36,bb_revert_1p2,9313,-12.432896809948216,0.5072479329968861,0.38988510683990124,0.5057446580049393
tp120_sl160_h36,bb_revert_2p4,215,-12.943826924198133,0.5209302325581395,0.39069767441860465,0.5581395348837209
tp120_sl160_h36,bb_revert_1p8,2363,-13.885454742457052,0.5103681760473974,0.38679644519678374,0.5294117647058824
tp120_sl160_h36,vwap_revert_200,5641,-14.806888962246202,0.5169296224073746,0.4545293387697217,0.47207941854281155
tp120_sl160_h36,wick_reject_1p0,1759,-15.130271863700402,0.49118817509948837,0.36611711199545194,0.5611142694712905
tp120_sl160_h36,macd_flip,6724,-15.587745232053273,0.49405116002379534,0.38072575847709694,0.5056513979773944
tp120_sl160_h36,vwap_revert_50,21188,-15.660325210517245,0.4958939022087974,0.3880026430054748,0.4993864451576364
tp120_sl160_h36,vwap_revert_75,17521,-15.678168620651078,0.49803093430740253,0.39780834427258716,0.5014553963814851
tp120_sl160_h36,wick_reject_0p6,10932,-15.925509227324225,0.4903036955726308,0.37504573728503476,0.5392425905598244
tp120_sl160_h36,vwap_revert_20,26348,-16.04068840671759,0.4908531956884773,0.3763093972977076,0.5028465158645817
tp120_sl160_h36,vwap_revert_12,27767,-16.077411100899607,0.4905823459502287,0.3749414772931898,0.5021788453920121
tp120_sl160_h36,vwap_revert_140,9945,-16.122347914306538,0.5067873303167421,0.4263448969331322,0.49763700351935647
tp120_sl160_h36,vwap_revert_30,24668,-16.34762146594453,0.49120317820658344,0.37834441381546946,0.5018647640668072
tp120_sl160_h36,vwap_revert_100,14124,-16.354794017933187,0.4995751911639762,0.4054800339847069,0.5027612574341547
tp120_sl160_h36,ema34_144_reclaim,6973,-16.75860970611145,0.484726803384483,0.38233185142693243,0.49777714039868065
tp120_sl160_h36,ema21_96_reclaim,9263,-18.189208765841045,0.4772751808269459,0.3709381409910396,0.5015653675914931
tp120_sl160_h36,ema21_55_reclaim_buf5,10691,-18.713512522037465,0.47423066130390046,0.36217379103919184,0.5015433542231784
tp120_sl160_h36,ema21_55_reclaim,9304,-18.829569802240762,0.4748495270851247,0.3657566638005159,0.5026870163370594
tp120_sl160_h36,momentum_pause_48,16603,-19.267191139602243,0.4735891104017346,0.3733662591097994,0.5083418659278444
tp120_sl160_h36,breakout_24,8973,-24.565347833212847,0.4512426167391062,0.34380920539395965,0.5301459935361641
tp120_sl160_h36,breakout_48,5919,-25.55149128762066,0.4485554992397364,0.34363912823112014,0.5343808075688461
tp160_sl220_h48,bb_revert_1p5,5015,-9.36685233496558,0.521036889332004,0.35772681954137586,0.5070787637088734
tp160_sl220_h48,bb_revert_2p4,215,-9.415916168375535,0.5162790697674419,0.3581395348837209,0.5581395348837209
tp160_sl220_h48,bb_revert_1p2,9313,-9.77980844563682,0.5140126704606464,0.357027810587351,0.5057446580049393
tp160_sl220_h48,vwap_revert_75,17521,-12.216328141199567,0.5119570800753381,0.36675988813423893,0.5014553963814851
tp160_sl220_h48,vwap_revert_50,21188,-12.548045683832868,0.5090617330564471,0.3565697564659241,0.4993864451576364
tp160_sl220_h48,vwap_revert_100,14124,-13.397420339552065,0.5131690739167375,0.37482299631832344,0.5027612574341547
tp160_sl220_h48,vwap_revert_20,26348,-13.663274854512416,0.501707909518749,0.34488386215272504,0.5028465158645817
tp160_sl220_h48,vwap_revert_140,9945,-13.762229770178422,0.5182503770739065,0.3950729009552539,0.49763700351935647
tp160_sl220_h48,bb_revert_1p8,2363,-13.775673033566767,0.5048666948793906,0.3381294964028777,0.5294117647058824
tp160_sl220_h48,bb_revert_2p0,1028,-13.787962096931468,0.5126459143968871,0.3433852140077821,0.5262645914396887
tp160_sl220_h48,vwap_revert_30,24668,-13.788711375222782,0.5027971461002108,0.3465218096319118,0.5018647640668072
tp160_sl220_h48,vwap_revert_12,27767,-13.889681666385583,0.5004501746677711,0.34249288724024923,0.5021788453920121
tp160_sl220_h48,vwap_revert_200,5641,-14.183895359989998,0.5259705725935118,0.4215564616202801,0.47207941854281155
