candidate_id,style_set,allowed_styles,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
no_wick_no_breakout__cfg_side_88_12__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,549,365.0,1.5041095890410958,2.8760832141526436,2.8760832141526436,0.5901639344262295,1.4254760908979445,26.33302040670409,-0.16295290669778828,3.411163521135167,13,1,0.4629128449488682,0.24594318367000678,0.8700723566974107,True
no_wick_no_breakout__cfg_only__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,547,365.0,1.4986301369863013,2.721619679077032,2.721619679077032,0.5886654478976234,1.4113968909180226,25.69394288504143,-0.1614508770579569,3.306254775258208,13,1,0.4629128449488682,0.2481789522502873,0.9135779942415665,True
no_wick_no_breakout__current_70_20_10__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",current_70_20_10,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,545,365.0,1.4931506849315068,2.3878165934212165,2.3878165934212165,0.5908256880733945,1.38307834386517,24.048742191127236,-0.1675416021121343,3.094521600782306,13,2,0.47964358443990696,0.2532841490123523,0.7986650070341648,True
no_wick_no_breakout__cfg_style_78_22__q80,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,553,365.0,1.515068493150685,2.3436266110752766,2.3436266110752766,0.5858951175406871,1.3717220350173762,23.48786797751328,-0.1675416021121343,3.0429861627634276,13,2,0.47964358443990696,0.2532841490123523,0.7756044388754686,True
core_bb_vwap_macd__cfg_side_88_12__q80,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_side_88_12,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,477,365.0,1.3068493150684932,2.2780011187305407,2.2780011187305407,0.5870020964360587,1.397022477614799,26.761267946572136,-0.1681273229645277,3.037140881616458,13,3,0.41133860567951164,0.3847573208652846,1.0396718064269397,True
core_bb_vwap_macd__cfg_only__q80,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,473,365.0,1.295890410958904,2.1796657576684013,2.1796657576684013,0.5813953488372093,1.3877283033221852,26.358124785813736,-0.16812732296452726,2.9528746647003983,13,3,0.3052246673368122,0.3866555357979622,1.1098333894101615,True
bb_vwap_only__current_70_20_10__q85,bb_vwap_only,"bb_revert,vwap_revert",current_70_20_10,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,347,365.0,0.9506849315068493,1.9431145337034441,1.9431145337034441,0.6138328530259366,1.4886953330734725,33.06487629253409,-0.10785513647465927,3.147016563581729,13,1,0.4423140835046955,0.347726139297156,0.6422537979379326,True
bb_vwap_only__cfg_only__q80,bb_vwap_only,"bb_revert,vwap_revert",cfg_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,422,365.0,1.1561643835616437,1.8838961845718791,1.8838961845718791,0.5971563981042654,1.3962995210665858,26.967604262858867,-0.19643440429842918,2.883917133147113,13,4,0.4477037696253232,0.37527882063203966,0.9913482770410513,True
core_bb_vwap_macd__cfg_only__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,281,365.0,0.7698630136986301,1.821785827911976,1.821785827911976,0.6298932384341637,1.5584677220571967,39.21504174749935,-0.15043011964203334,3.1005288153853283,13,1,0.3671329406423369,0.39470942865219993,0.6490324020250307,True
core_bb_vwap_macd__equal_weight__q85,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",equal_weight,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,405,365.0,1.1095890410958904,1.8110888995264185,1.8110888995264185,0.6024691358024692,1.4029150728454396,27.461480828227295,-0.16462411343400074,2.820674825731086,13,4,0.527292794111996,0.6218078254854897,0.9523827170457244,True
core_bb_vwap_macd__current_70_20_10__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",current_70_20_10,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,289,365.0,0.7917808219178082,1.7944317602086373,1.7944317602086373,0.629757785467128,1.5343034856537108,37.81733595084006,-0.15043011964203334,3.0566107745533704,13,1,0.3039394465255749,0.36942297153942283,0.6017849117625595,True
