candidate_id,variant,quantile,event_id,signal_ts,entry_ts,exit_ts,side,cfg_name,style,score,reason,bars_held,net_ret_1x
current_70_20_10__q50,current_70_20_10,0.5,18261,2025-06-26 07:55:00+00:00,2025-06-26 08:00:00+00:00,2025-06-26 12:00:00+00:00,-1,R1_relax_frequency_R03668,trend_rsi_snapback,0.0030816318680880416,time_open,49,0.00689363904009603
current_70_20_10__q50,current_70_20_10,0.5,11867,2025-06-26 16:00:00+00:00,2025-06-26 16:05:00+00:00,2025-06-26 16:20:00+00:00,-1,R1_relax_frequency_R03927,wick_reject,0.0016714704848990007,target_limit,4,0.008436141815379652
current_70_20_10__q50,current_70_20_10,0.5,18654,2025-06-26 23:45:00+00:00,2025-06-26 23:50:00+00:00,2025-06-27 01:20:00+00:00,-1,R2_relax_winrate_payoff_R01029,macd_flip,0.001372578245332543,stop_market,19,-0.008066342289985528
current_70_20_10__q50,current_70_20_10,0.5,8048,2025-06-27 06:55:00+00:00,2025-06-27 07:00:00+00:00,2025-06-27 17:45:00+00:00,-1,R3_live_candidate_gate_R03986,vwap_revert,0.004890127271861647,target_limit,130,0.0154371956782615
current_70_20_10__q50,current_70_20_10,0.5,4286,2025-06-28 08:10:00+00:00,2025-06-28 08:15:00+00:00,2025-06-28 12:20:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.002978700692939169,target_limit,50,0.006935915987619051
current_70_20_10__q50,current_70_20_10,0.5,4287,2025-06-29 07:20:00+00:00,2025-06-29 07:25:00+00:00,2025-06-29 13:25:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.002978700692939169,time_open,73,-0.02227738395124613
current_70_20_10__q50,current_70_20_10,0.5,3481,2025-06-30 06:50:00+00:00,2025-06-30 06:55:00+00:00,2025-06-30 12:55:00+00:00,1,R2_relax_winrate_payoff_R04600,bb_revert,0.00326319501424001,time_open,73,-0.0020129209033104656
current_70_20_10__q50,current_70_20_10,0.5,5024,2025-06-30 23:35:00+00:00,2025-06-30 23:40:00+00:00,2025-07-01 11:40:00+00:00,-1,R2_relax_winrate_payoff_R01058,micro_breakout,5.01807245273496e-05,time_open,145,-3.8177684736112345e-05
current_70_20_10__q50,current_70_20_10,0.5,2079,2025-07-02 03:30:00+00:00,2025-07-02 03:35:00+00:00,2025-07-02 09:35:00+00:00,-1,R1_relax_frequency_R04051,vwap_revert,0.0026281571295386965,time_open,73,-0.02617895947363888
current_70_20_10__q50,current_70_20_10,0.5,12437,2025-07-02 16:25:00+00:00,2025-07-02 16:30:00+00:00,2025-07-02 18:30:00+00:00,1,R2_relax_winrate_payoff_R03904,wick_reject,0.0024025523961194806,time_open,25,-0.0025071356733039197
current_70_20_10__q50,current_70_20_10,0.5,4295,2025-07-03 02:40:00+00:00,2025-07-03 02:45:00+00:00,2025-07-03 08:45:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.00029838848562139804,time_open,73,-0.03149331487101707
current_70_20_10__q50,current_70_20_10,0.5,11875,2025-07-04 01:55:00+00:00,2025-07-04 02:00:00+00:00,2025-07-04 02:30:00+00:00,-1,R1_relax_frequency_R03927,wick_reject,0.001992732069749088,target_limit,7,0.008436141815379541
current_70_20_10__q50,current_70_20_10,0.5,16572,2025-07-04 08:35:00+00:00,2025-07-04 08:40:00+00:00,2025-07-04 11:40:00+00:00,-1,R3_live_candidate_gate_R05251,trend_rsi_snapback,0.0003213444097163697,time_open,37,-0.007307423976000663
current_70_20_10__q50,current_70_20_10,0.5,13677,2025-07-04 18:00:00+00:00,2025-07-04 18:05:00+00:00,2025-07-04 19:25:00+00:00,-1,R1_relax_frequency_R05866,trend_rsi_snapback,-0.00028657834021060633,target_limit,17,0.011436593470900301
current_70_20_10__q50,current_70_20_10,0.5,22545,2025-07-05 08:40:00+00:00,2025-07-05 08:45:00+00:00,2025-07-05 14:45:00+00:00,1,R1_relax_frequency_R02394,trend_rsi_snapback,0.0032280418394048556,time_open,73,0.0025215999126971447
current_70_20_10__q50,current_70_20_10,0.5,11880,2025-07-05 17:55:00+00:00,2025-07-05 18:00:00+00:00,2025-07-05 21:00:00+00:00,-1,R1_relax_frequency_R03927,wick_reject,0.001992732069749088,time_open,37,-0.006406648026822888
current_70_20_10__q50,current_70_20_10,0.5,21468,2025-07-06 08:40:00+00:00,2025-07-06 08:45:00+00:00,2025-07-06 10:30:00+00:00,1,R3_live_candidate_gate_R04191,macd_flip,0.0008776369116070918,target_limit,22,0.004433814053737181
current_70_20_10__q50,current_70_20_10,0.5,4300,2025-07-06 13:35:00+00:00,2025-07-06 13:40:00+00:00,2025-07-06 15:40:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.00029838848562139804,target_limit,25,0.00693591598761894
current_70_20_10__q50,current_70_20_10,0.5,151,2025-07-07 10:10:00+00:00,2025-07-07 10:15:00+00:00,2025-07-07 16:15:00+00:00,1,R2_relax_winrate_payoff_R05897,vwap_revert,0.002027276207469081,time_open,73,-0.004313183771172392
current_70_20_10__q50,current_70_20_10,0.5,1855,2025-07-07 18:15:00+00:00,2025-07-07 18:20:00+00:00,2025-07-07 21:25:00+00:00,-1,R3_live_candidate_gate_R00307,macd_flip,0.001043282423029041,target_limit,38,0.011436593470900413
current_70_20_10__q50,current_70_20_10,0.5,4304,2025-07-08 13:35:00+00:00,2025-07-08 13:40:00+00:00,2025-07-08 14:55:00+00:00,-1,R1_relax_frequency_R03626,wick_reject,0.00029838848562139804,target_limit,16,0.006935915987619051
current_70_20_10__q50,current_70_20_10,0.5,11882,2025-07-09 14:35:00+00:00,2025-07-09 14:40:00+00:00,2025-07-09 16:45:00+00:00,-1,R1_relax_frequency_R03927,wick_reject,0.001992732069749088,stop_market,26,-0.02256852529166994
