event_id,signal_idx,entry_idx,exit_idx,signal_ts,entry_ts,exit_ts,side,cfg_name,style,tp_bps,sl_bps,max_hold_bars,cooldown_bars,net_ret_1x,reason
5546,96,97,101,2025-05-30 18:30:00+00:00,2025-05-30 18:35:00+00:00,2025-05-30 18:55:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
5547,98,99,100,2025-05-30 18:40:00+00:00,2025-05-30 18:45:00+00:00,2025-05-30 18:50:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586013,stop_market
5548,102,103,105,2025-05-30 19:00:00+00:00,2025-05-30 19:05:00+00:00,2025-05-30 19:15:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
5549,116,117,118,2025-05-30 20:10:00+00:00,2025-05-30 20:15:00+00:00,2025-05-30 20:20:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
19601,165,166,169,2025-05-31 00:15:00+00:00,2025-05-31 00:20:00+00:00,2025-05-31 00:35:00+00:00,-1,R3_live_candidate_gate_R00665,trend_rsi_snapback,120.0,160.0,48,96,-0.016567621980627976,stop_market
19602,167,168,169,2025-05-31 00:25:00+00:00,2025-05-31 00:30:00+00:00,2025-05-31 00:35:00+00:00,-1,R3_live_candidate_gate_R00665,trend_rsi_snapback,120.0,160.0,48,96,-0.016567621980627976,stop_market
5550,170,171,174,2025-05-31 00:40:00+00:00,2025-05-31 00:45:00+00:00,2025-05-31 01:00:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,0.013436894574581068,target_limit
8645,198,199,216,2025-05-31 03:00:00+00:00,2025-05-31 03:05:00+00:00,2025-05-31 04:30:00+00:00,1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.021431250950452386,target_limit
7742,198,199,223,2025-05-31 03:00:00+00:00,2025-05-31 03:05:00+00:00,2025-05-31 05:05:00+00:00,1,R3_live_candidate_gate_R06012,vwap_revert,300.0,300.0,24,72,0.01650156880054067,time_open
8646,200,201,216,2025-05-31 03:10:00+00:00,2025-05-31 03:15:00+00:00,2025-05-31 04:30:00+00:00,1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.021431250950452386,target_limit
8647,203,204,222,2025-05-31 03:25:00+00:00,2025-05-31 03:30:00+00:00,2025-05-31 05:00:00+00:00,1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.010086736404544331,time_open
12142,217,218,224,2025-05-31 04:35:00+00:00,2025-05-31 04:40:00+00:00,2025-05-31 05:10:00+00:00,-1,R3_live_candidate_gate_R05254,bb_revert,120.0,400.0,48,96,0.011436593470900413,target_limit
19603,221,222,225,2025-05-31 04:55:00+00:00,2025-05-31 05:00:00+00:00,2025-05-31 05:15:00+00:00,-1,R3_live_candidate_gate_R00665,trend_rsi_snapback,120.0,160.0,48,96,0.011436593470900413,target_limit
14870,310,311,314,2025-05-31 12:20:00+00:00,2025-05-31 12:25:00+00:00,2025-05-31 12:40:00+00:00,-1,R1_relax_frequency_R01799,trend_rsi_snapback,220.0,160.0,96,48,-0.016567621980627976,stop_market
16010,310,311,316,2025-05-31 12:20:00+00:00,2025-05-31 12:25:00+00:00,2025-05-31 12:50:00+00:00,-1,R1_relax_frequency_R03752,bb_revert,75.0,220.0,96,144,-0.02256852529166994,stop_market
18369,310,311,314,2025-05-31 12:20:00+00:00,2025-05-31 12:25:00+00:00,2025-05-31 12:40:00+00:00,-1,R1_relax_frequency_R05578,vwap_revert,90.0,130.0,72,96,-0.013567170325106995,stop_market
22417,310,311,314,2025-05-31 12:20:00+00:00,2025-05-31 12:25:00+00:00,2025-05-31 12:40:00+00:00,-1,R2_relax_winrate_payoff_R04020,vwap_revert,160.0,160.0,48,48,-0.016567621980627976,stop_market
14259,314,315,345,2025-05-31 12:40:00+00:00,2025-05-31 12:45:00+00:00,2025-05-31 15:15:00+00:00,1,R2_relax_winrate_payoff_R04291,micro_breakout,300.0,130.0,96,12,0.029430044784200624,target_limit
16011,318,319,345,2025-05-31 13:00:00+00:00,2025-05-31 13:05:00+00:00,2025-05-31 15:15:00+00:00,-1,R1_relax_frequency_R03752,bb_revert,75.0,220.0,96,144,-0.02256852529166972,stop_market
5551,318,319,319,2025-05-31 13:00:00+00:00,2025-05-31 13:05:00+00:00,2025-05-31 13:05:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586013,stop_market
8648,318,319,337,2025-05-31 13:00:00+00:00,2025-05-31 13:05:00+00:00,2025-05-31 14:35:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.0009903895520277785,time_open
5552,320,321,331,2025-05-31 13:10:00+00:00,2025-05-31 13:15:00+00:00,2025-05-31 14:05:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586013,stop_market
8649,320,321,339,2025-05-31 13:10:00+00:00,2025-05-31 13:15:00+00:00,2025-05-31 14:45:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,-7.573641264978866e-05,time_open
5553,326,327,330,2025-05-31 13:40:00+00:00,2025-05-31 13:45:00+00:00,2025-05-31 14:00:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
8650,326,327,345,2025-05-31 13:40:00+00:00,2025-05-31 13:45:00+00:00,2025-05-31 15:15:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,-0.015133373131207856,time_open
8368,329,330,474,2025-05-31 13:55:00+00:00,2025-05-31 14:00:00+00:00,2025-06-01 02:00:00+00:00,1,R2_relax_winrate_payoff_R06697,wick_reject,550.0,160.0,144,24,-0.010190128665368515,time_open
11202,330,331,333,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 14:15:00+00:00,1,R2_relax_winrate_payoff_R02991,micro_breakout,550.0,100.0,96,18,-0.010563924384540796,stop_market
20677,330,331,335,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 14:25:00+00:00,1,R2_relax_winrate_payoff_R04114,macd_flip,400.0,160.0,96,72,-0.016563019759851808,stop_market
15606,330,331,403,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 20:05:00+00:00,1,R2_relax_winrate_payoff_R05092,macd_flip,330.0,300.0,72,18,0.00024364521100486724,time_open
3981,330,331,403,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 20:05:00+00:00,1,R2_relax_winrate_payoff_R05306,macd_flip,242.00000000000003,220.0,72,36,0.00024364521100486724,time_open
22961,330,331,335,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 14:25:00+00:00,1,R3_live_candidate_gate_R05124,macd_flip,120.0,160.0,9,36,-0.016563019759851808,stop_market
15058,330,331,345,2025-05-31 14:00:00+00:00,2025-05-31 14:05:00+00:00,2025-05-31 15:15:00+00:00,1,R3_live_candidate_gate_R06220,macd_flip,50.0,300.0,24,36,0.004433814053737181,target_limit
5554,342,343,344,2025-05-31 15:00:00+00:00,2025-05-31 15:05:00+00:00,2025-05-31 15:10:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
8651,342,343,361,2025-05-31 15:00:00+00:00,2025-05-31 15:05:00+00:00,2025-05-31 16:35:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,-0.016222111414618226,time_open
14260,345,346,349,2025-05-31 15:15:00+00:00,2025-05-31 15:20:00+00:00,2025-05-31 15:35:00+00:00,1,R2_relax_winrate_payoff_R04291,micro_breakout,300.0,130.0,96,12,-0.013563472072196303,stop_market
5555,347,348,351,2025-05-31 15:25:00+00:00,2025-05-31 15:30:00+00:00,2025-05-31 15:45:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,0.013436894574580846,target_limit
8652,347,348,366,2025-05-31 15:25:00+00:00,2025-05-31 15:30:00+00:00,2025-05-31 17:00:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.0036252996060048607,time_open
8653,349,350,368,2025-05-31 15:35:00+00:00,2025-05-31 15:40:00+00:00,2025-05-31 17:10:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.003374699154451987,time_open
5556,363,364,365,2025-05-31 16:45:00+00:00,2025-05-31 16:50:00+00:00,2025-05-31 16:55:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,-0.010566718669586235,stop_market
5557,431,432,446,2025-05-31 22:25:00+00:00,2025-05-31 22:30:00+00:00,2025-05-31 23:40:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,0.013436894574580957,target_limit
8654,431,432,450,2025-05-31 22:25:00+00:00,2025-05-31 22:30:00+00:00,2025-06-01 00:00:00+00:00,-1,R3_live_candidate_gate_R00110,vwap_revert,220.0,300.0,18,192,0.016977420363482057,time_open
3598,439,440,472,2025-05-31 23:05:00+00:00,2025-05-31 23:10:00+00:00,2025-06-01 01:50:00+00:00,1,R1_relax_frequency_R03831,bb_revert,160.0,220.0,96,72,-0.022562115135162934,stop_market
3599,451,452,511,2025-06-01 00:05:00+00:00,2025-06-01 00:10:00+00:00,2025-06-01 05:05:00+00:00,1,R1_relax_frequency_R03831,bb_revert,160.0,220.0,96,72,0.015432155575141372,target_limit
20818,468,469,486,2025-06-01 01:30:00+00:00,2025-06-01 01:35:00+00:00,2025-06-01 03:00:00+00:00,-1,R3_live_candidate_gate_R04085,micro_breakout,120.0,100.0,18,18,-0.010566718669586013,stop_market
18644,490,491,495,2025-06-01 03:20:00+00:00,2025-06-01 03:25:00+00:00,2025-06-01 03:45:00+00:00,-1,R2_relax_winrate_payoff_R01029,macd_flip,400.0,75.0,144,36,-0.008066342289985306,stop_market
11856,491,492,504,2025-06-01 03:25:00+00:00,2025-06-01 03:30:00+00:00,2025-06-01 04:30:00+00:00,-1,R1_relax_frequency_R03927,wick_reject,90.0,220.0,36,72,-0.02256852529166972,stop_market
22175,510,511,551,2025-06-01 05:00:00+00:00,2025-06-01 05:05:00+00:00,2025-06-01 08:25:00+00:00,1,R1_relax_frequency_R06150,wick_reject,160.0,300.0,96,72,-0.030560908968911175,stop_market
5558,514,515,526,2025-06-01 05:20:00+00:00,2025-06-01 05:25:00+00:00,2025-06-01 06:20:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,0.013436894574580957,target_limit
2574,517,518,519,2025-06-01 05:35:00+00:00,2025-06-01 05:40:00+00:00,2025-06-01 05:45:00+00:00,-1,R1_relax_frequency_R04636,vwap_revert,90.0,220.0,72,144,0.00843614181537943,target_limit
5559,517,518,526,2025-06-01 05:35:00+00:00,2025-06-01 05:40:00+00:00,2025-06-01 06:20:00+00:00,-1,R2_relax_winrate_payoff_R01097,vwap_revert,140.0,100.0,24,96,0.013436894574581068,target_limit
3600,528,529,563,2025-06-01 06:30:00+00:00,2025-06-01 06:35:00+00:00,2025-06-01 09:25:00+00:00,1,R1_relax_frequency_R03831,bb_revert,160.0,220.0,96,72,-0.022562115135162934,stop_market
