month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,worst_trade_1x,best_trade_1x,trade_sharpe
2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,8,4.819444444444445,1.659942363112392,0.024894189418943835,5.438356531536254,0.625,1.9147336765640488,31.380906488593002,-0.01790078092644709,-0.0105639243845406,0.0214380989893033,6.597717459598886
2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,44,31.0,1.4193548387096775,0.11392944635422153,2.56214379479422,0.5454545454545454,1.442450662486933,25.968209159248914,-0.04662455846379243,-0.0267361621144148,0.0394285370763858,3.4618060830939466
2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,58,31.0,1.8709677419354838,0.07192571938732883,1.2655044222336036,0.5862068965517241,1.2255447287850718,13.018236268891934,-0.1065843814753108,-0.0305609089689111,0.0294300447842006,2.3444586956204603
2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,49,30.0,1.6333333333333333,0.23122647054578827,11.563529144868335,0.673469387755102,2.334297325685153,43.45554820994536,-0.06003164508027148,-0.022562115135163,0.053442916648193,7.724863369487759
2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,53,31.0,1.7096774193548387,0.22200898268662694,9.598168469259655,0.5471698113207547,1.515300544307271,40.601837529280736,-0.13215915203828676,-0.0405712352247951,0.0534429166481929,4.308998088851992
2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,50,30.0,1.6666666666666667,0.11841343572316876,2.9023741338262834,0.64,1.3783595609765362,24.381255897143483,-0.09966060990656578,-0.0405712352247951,0.0544430672000332,2.9859310499149285
2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,44,31.0,1.4193548387096775,0.023585799973144805,0.31584552211711303,0.6136363636363636,1.0950490635331231,7.150084721115067,-0.15269613330140663,-0.0405712352247949,0.0544262755146636,0.8357287758377188
2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,42,31.0,1.3548387096774193,0.18355477718318935,6.2733409788540255,0.6190476190476191,1.833779600606541,41.49347842806166,-0.0547805945353238,-0.0305697297063921,0.0324397550595467,5.677272005941953
2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,47,28.0,1.6785714285714286,0.010815218470192844,0.1505351290140089,0.5106382978723404,1.0517171212242349,3.910410143281953,-0.09732073403535257,-0.0305697297063921,0.0544262755146636,0.5309213682164269
2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,47,31.0,1.5161290322580645,0.25523267142093653,13.534438089688761,0.723404255319149,2.160744693371176,49.53669404575457,-0.03334807855588151,-0.0225685252916697,0.0294300447842006,7.941164059654845
2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,25,30.0,0.8333333333333334,-0.09986555412786435,-0.7219818558139024,0.28,0.5136260653009432,-40.7953606102406,-0.10132439522857994,-0.022562115135163,0.0544262755146638,-4.45978828743932
2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,37,31.0,1.1935483870967742,0.013376264925254011,0.16935309604563842,0.5135135135135135,1.0718321723587811,4.772492803711542,-0.10989710091256166,-0.0273900108422338,0.02588531164318,0.6399889100365422
2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,45,25.180555555555557,1.7870932156646442,0.3424256333498841,70.41818863728665,0.6666666666666666,1.9439411183743562,68.48440136664533,-0.052448341280023514,-0.0305697297063921,0.054443067200033,7.239195085002871
