candidate,config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-09 00:35:00+00:00,2025-06-09 00:40:00+00:00,2025-06-09 02:35:00+00:00,-1,34.79662311800001,35.3440357984488,stop_market,24,-0.016567621980627976,-0.0174098990382512,0.0011961826829820499,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-12 11:50:00+00:00,2025-06-12 11:55:00+00:00,2025-06-12 12:40:00+00:00,-1,40.429572471,41.06560144888954,stop_market,10,-0.016567621980627976,-0.019718044485658406,0.0019681749307904894,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-12 15:25:00+00:00,2025-06-12 15:30:00+00:00,2025-06-12 15:50:00+00:00,1,42.986074620000004,42.30946417660049,stop_market,5,-0.016563019759851697,-0.02335405805080505,0.002929445898774974,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-16 07:10:00+00:00,2025-06-16 07:15:00+00:00,2025-06-16 10:45:00+00:00,1,44.636843997,43.934250073834164,stop_market,43,-0.016563019759851808,-0.021402793829011682,0.005626652346139904,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-18 11:45:00+00:00,2025-06-18 11:50:00+00:00,2025-06-18 13:15:00+00:00,-1,38.930183044,37.9079879333088,target_limit,18,0.025438701196664443,-0.010993007565628614,0.035170218502505235,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-18 13:35:00+00:00,2025-06-18 13:40:00+00:00,2025-06-18 13:50:00+00:00,-1,37.990192737,38.58784593933531,stop_market,3,-0.016567621980627976,-0.020362105859170324,0.0033743639545988913,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-06-21 16:55:00+00:00,2025-06-21 17:00:00+00:00,2025-06-21 17:05:00+00:00,-1,32.706867834,33.22140495242609,stop_market,2,-0.016567621980627976,-0.01695957073927913,-0.0009824287107857987,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-07-10 21:45:00+00:00,2025-07-10 21:50:00+00:00,2025-07-11 01:35:00+00:00,1,43.98714762,43.994611512,time_open,46,-0.0006597095093845973,-0.01414930092014423,0.002679245788294926,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-07-11 05:45:00+00:00,2025-07-11 05:50:00+00:00,2025-07-11 09:35:00+00:00,1,45.61489231800001,45.924120768,time_open,46,0.00594697803834607,-0.012425921014852086,0.01624705538782001,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-07-21 17:40:00+00:00,2025-07-21 17:45:00+00:00,2025-07-21 17:55:00+00:00,-1,45.210437093,45.92167756220917,stop_market,3,-0.016567621980627976,-0.019714693849943968,0.009498627321753883,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-07-29 14:45:00+00:00,2025-07-29 14:50:00+00:00,2025-07-29 15:00:00+00:00,-1,43.019790182,43.69656788471022,stop_market,3,-0.016567621980627976,-0.01643542326914217,0.013291328934450397,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-07-31 20:30:00+00:00,2025-07-31 20:35:00+00:00,2025-08-01 00:10:00+00:00,-1,41.539380368,40.44867520832169,target_limit,44,0.025438701196664776,-0.005894271983540437,0.028632597729268072,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-08-01 07:00:00+00:00,2025-08-01 07:05:00+00:00,2025-08-01 10:50:00+00:00,-1,39.832214125,39.531560912,time_open,46,0.0067217987221642505,-0.011405410497614692,0.015771509036092257,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-08-01 19:35:00+00:00,2025-08-01 19:40:00+00:00,2025-08-01 22:35:00+00:00,-1,37.407818296,36.42559612353864,target_limit,36,0.025438701196664554,-0.015202524629263319,0.027796817439930344,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-08-15 04:05:00+00:00,2025-08-15 04:10:00+00:00,2025-08-15 04:50:00+00:00,1,49.32286671000001,48.546513739662466,stop_market,9,-0.016563019759851808,-0.018111660050478054,0.0025775730098474003,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-08-25 20:35:00+00:00,2025-08-25 20:40:00+00:00,2025-08-26 00:25:00+00:00,-1,43.504269777000005,42.846685488,time_open,46,0.014292341691536793,-0.010522409935422654,0.022118973193494207,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-09-09 07:30:00+00:00,2025-09-09 07:35:00+00:00,2025-09-09 11:20:00+00:00,1,54.75068451600001,54.919494920000005,time_open,46,0.0022526553726294396,-0.013742065752499715,0.011110646184199213,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-09-22 01:15:00+00:00,2025-09-22 01:20:00+00:00,2025-09-22 05:05:00+00:00,-1,49.744566746000004,50.19174588,time_open,46,-0.009822557283359262,-0.012927249010727076,0.015410059754146777,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-09-25 04:10:00+00:00,2025-09-25 04:15:00+00:00,2025-09-25 04:20:00+00:00,-1,42.891927526,43.56669372204727,stop_market,2,-0.016567621980627976,-0.02207543823532611,-2.50040989495659e-05,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-09-25 12:35:00+00:00,2025-09-25 12:40:00+00:00,2025-09-25 13:15:00+00:00,-1,41.210733385000005,41.85905141140855,stop_market,8,-0.016567621980628198,-0.017188607276418036,0.01115567104096582,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-01 09:20:00+00:00,2025-10-01 09:25:00+00:00,2025-10-01 13:10:00+00:00,1,46.70005545,47.590560592,time_open,46,0.018231380313016517,-0.0055978553706681625,0.0211765176822718,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-11 13:45:00+00:00,2025-10-11 13:50:00+00:00,2025-10-11 15:35:00+00:00,-1,38.847272103,37.82725399616252,target_limit,22,0.025438701196664665,-0.005118412362323147,0.036122796454776784,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-13 07:45:00+00:00,2025-10-13 07:50:00+00:00,2025-10-13 10:30:00+00:00,1,41.948962992000006,41.28867691793822,stop_market,33,-0.016563019759851808,-0.018888610050637702,0.015543578708354211,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-14 06:20:00+00:00,2025-10-14 06:25:00+00:00,2025-10-14 06:45:00+00:00,-1,39.814233439,38.768825696856425,target_limit,5,0.025438701196664665,-0.00626097658295001,0.03300913581605325,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-14 16:40:00+00:00,2025-10-14 16:45:00+00:00,2025-10-14 17:00:00+00:00,1,40.33523331600001,39.7003477085139,stop_market,4,-0.01656301975985192,-0.019609624432441422,0.0019775932216647973,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-15 08:50:00+00:00,2025-10-15 08:55:00+00:00,2025-10-15 10:30:00+00:00,1,40.88782561200001,40.24424207799419,stop_market,20,-0.01656301975985192,-0.016796691951404222,0.004773410791076849,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-17 08:10:00+00:00,2025-10-17 08:15:00+00:00,2025-10-17 08:30:00+00:00,-1,33.605902134000004,34.13458265865001,stop_market,4,-0.016567621980627976,-0.018628660255454635,0.009727521454312216,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-21 05:35:00+00:00,2025-10-21 05:40:00+00:00,2025-10-21 09:25:00+00:00,-1,35.865475008000004,35.651585496,time_open,46,0.005136810648672664,-0.007371908968815803,0.013535998279451622,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-25 19:00:00+00:00,2025-10-25 19:05:00+00:00,2025-10-25 21:55:00+00:00,1,42.871952298000004,43.998235526235256,target_limit,35,0.025430647867326617,-0.004892001103244851,0.028131392142276335,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-10-30 13:55:00+00:00,2025-10-30 14:00:00+00:00,2025-10-30 14:05:00+00:00,-1,46.13044886,46.85616274824498,stop_market,2,-0.016567621980627976,-0.026244696991140085,-0.0009657642858669213,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-02 11:05:00+00:00,2025-11-02 11:10:00+00:00,2025-11-02 11:15:00+00:00,-1,41.808091731000005,42.46580726509955,stop_market,2,-0.016567621980627976,-0.019978057656801176,-0.00035658812403860374,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-04 06:15:00+00:00,2025-11-04 06:20:00+00:00,2025-11-04 06:35:00+00:00,-1,38.12904359,37.127884106907445,target_limit,4,0.025438701196664554,-0.002826376930840772,0.028562048440302967,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-04 07:00:00+00:00,2025-11-04 07:05:00+00:00,2025-11-04 07:40:00+00:00,-1,37.462759281000004,38.05211501835061,stop_market,8,-0.016567621980627976,-0.0186258324070301,0.0030099032522996616,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-07 20:05:00+00:00,2025-11-07 20:10:00+00:00,2025-11-07 23:25:00+00:00,1,43.090186212,42.41193702882141,stop_market,40,-0.016563019759851697,-0.01982015210839562,0.00691140638229748,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-12 15:35:00+00:00,2025-11-12 15:40:00+00:00,2025-11-12 16:10:00+00:00,-1,39.017089692999996,37.992612662606696,target_limit,7,0.025438701196664554,-0.0028215632028228002,0.040164187163378884,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-20 17:20:00+00:00,2025-11-20 17:25:00+00:00,2025-11-20 21:10:00+00:00,-1,37.716486739,37.808016048,time_open,46,-0.0032571007787568535,-0.01564707850222226,0.009822938747285459,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-21 08:10:00+00:00,2025-11-21 08:15:00+00:00,2025-11-21 09:40:00+00:00,-1,34.395054464000005,33.49193884121135,target_limit,18,0.025438701196664554,-0.0117519172645897,0.030005897071051835,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-22 21:10:00+00:00,2025-11-22 21:15:00+00:00,2025-11-22 22:40:00+00:00,-1,29.956821803,30.42809581327671,stop_market,18,-0.016567621980627976,-0.018446554031423604,0.0117776780634542,short
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-23 02:00:00+00:00,2025-11-23 02:05:00+00:00,2025-11-23 02:10:00+00:00,1,31.277524812000003,30.785209565293567,stop_market,2,-0.016563019759851808,-0.0182077832201505,0.00027096734958864666,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-11-25 09:45:00+00:00,2025-11-25 09:50:00+00:00,2025-11-25 10:10:00+00:00,1,34.03848414600001,33.502710780921525,stop_market,5,-0.016563019759851697,-0.0410593662885176,0.013441134806050359,long
HYPE_5M_MA_PBS_R03072__nb_0370,HYPE_5M_MA_PBS_R03072__nb_0370,2025-12-01 01:20:00+00:00,2025-12-01 01:25:00+00:00,2025-12-01 01:35:00+00:00,-1,30.751967695,31.235750762336977,stop_market,3,-0.016567621980627976,-0.019146220563063934,-1.0505018839257474e-06,short
