name,signals,trade_count,cfg_name,cfg_side_mode,cfg_trigger_style,cfg_fast_ma,cfg_slow_ma,cfg_structure_window,cfg_platform_window,cfg_structure_margin_bps,cfg_slope_lookback,cfg_min_slow_slope_bps,cfg_min_fast_slope_bps,cfg_pullback_touch_bps,cfg_reclaim_bps,cfg_min_body_atr,cfg_max_dist_slow_bps,cfg_min_atr_bps,cfg_max_atr_bps,cfg_min_rvol60,cfg_min_adx14,cfg_close_pos,cfg_require_body_dir,cfg_tp_bps,cfg_sl_bps,cfg_max_hold_bars,cfg_cooldown_bars,reason_target_limit,reason_stop_market,reason_time_open,full_trades,full_trades_per_day,full_equity_multiple,full_annualized_multiple,full_total_return,full_max_dd,full_win_rate,full_profit_factor,full_avg_trade,full_avg_win,full_avg_loss_abs,full_payoff_ratio,full_worst_trade,full_best_trade,full_target_rate,full_stop_rate,full_time_rate,full_long_trades,full_short_trades,full_avg_bars_held,train_first_60pct_trades,train_first_60pct_trades_per_day,train_first_60pct_equity_multiple,train_first_60pct_annualized_multiple,train_first_60pct_total_return,train_first_60pct_max_dd,train_first_60pct_win_rate,train_first_60pct_profit_factor,train_first_60pct_avg_trade,train_first_60pct_avg_win,train_first_60pct_avg_loss_abs,train_first_60pct_payoff_ratio,train_first_60pct_worst_trade,train_first_60pct_best_trade,train_first_60pct_target_rate,train_first_60pct_stop_rate,train_first_60pct_time_rate,train_first_60pct_long_trades,train_first_60pct_short_trades,train_first_60pct_avg_bars_held,val_next_20pct_trades,val_next_20pct_trades_per_day,val_next_20pct_equity_multiple,val_next_20pct_annualized_multiple,val_next_20pct_total_return,val_next_20pct_max_dd,val_next_20pct_win_rate,val_next_20pct_profit_factor,val_next_20pct_avg_trade,val_next_20pct_avg_win,val_next_20pct_avg_loss_abs,val_next_20pct_payoff_ratio,val_next_20pct_worst_trade,val_next_20pct_best_trade,val_next_20pct_target_rate,val_next_20pct_stop_rate,val_next_20pct_time_rate,val_next_20pct_long_trades,val_next_20pct_short_trades,val_next_20pct_avg_bars_held,fwd_last_20pct_trades,fwd_last_20pct_trades_per_day,fwd_last_20pct_equity_multiple,fwd_last_20pct_annualized_multiple,fwd_last_20pct_total_return,fwd_last_20pct_max_dd,fwd_last_20pct_win_rate,fwd_last_20pct_profit_factor,fwd_last_20pct_avg_trade,fwd_last_20pct_avg_win,fwd_last_20pct_avg_loss_abs,fwd_last_20pct_payoff_ratio,fwd_last_20pct_worst_trade,fwd_last_20pct_best_trade,fwd_last_20pct_target_rate,fwd_last_20pct_stop_rate,fwd_last_20pct_time_rate,fwd_last_20pct_long_trades,fwd_last_20pct_short_trades,fwd_last_20pct_avg_bars_held,recent_30d_trades,recent_30d_trades_per_day,recent_30d_equity_multiple,recent_30d_annualized_multiple,recent_30d_total_return,recent_30d_max_dd,recent_30d_win_rate,recent_30d_profit_factor,recent_30d_avg_trade,recent_30d_avg_win,recent_30d_avg_loss_abs,recent_30d_payoff_ratio,recent_30d_worst_trade,recent_30d_best_trade,recent_30d_target_rate,recent_30d_stop_rate,recent_30d_time_rate,recent_30d_long_trades,recent_30d_short_trades,recent_30d_avg_bars_held,recent_14d_trades,recent_14d_trades_per_day,recent_14d_equity_multiple,recent_14d_annualized_multiple,recent_14d_total_return,recent_14d_max_dd,recent_14d_win_rate,recent_14d_profit_factor,recent_14d_avg_trade,recent_14d_avg_win,recent_14d_avg_loss_abs,recent_14d_payoff_ratio,recent_14d_worst_trade,recent_14d_best_trade,recent_14d_target_rate,recent_14d_stop_rate,recent_14d_time_rate,recent_14d_long_trades,recent_14d_short_trades,recent_14d_avg_bars_held,paper_candidate_pass,frequency_fit,score,base_name,robust_pass,monthly_pass,negative_months,worst_month_return,reason_gap_stop_market
HYPE_5M_MA_PBS_R03072__nb_0370,90,76,HYPE_5M_MA_PBS_R03072__nb_0370,both,reclaim,13,89,11,3,35.0,15,-10.0,35.0,0.0,10.0,0.65,770.0,55.0,320.0,1.25,38.0,0.6799999999999999,False,260.0,160.0,45,4,22.0,33.0,21.0,76,0.194004715392388,1.1303912389410185,1.121060348314967,0.13039123894101845,-0.13588332537290282,0.5,1.233149964051082,0.001781253734232944,0.018842404606624386,0.015279897138158504,1.2331499640510817,-0.016567621980628198,0.025438701196664776,0.2894736842105263,0.4342105263157895,0.27631578947368424,31,45,22.80263157894737,49,0.2084699792593643,0.8913656777280863,0.8363523188094105,-0.10863432227191372,-0.1280913492578114,0.40816326530612246,0.7577583402380803,-0.002197238227099698,0.016839342186609062,0.015325914374485055,1.0987495933452165,-0.016567621980628198,0.025438701196664776,0.20408163265306123,0.5306122448979592,0.2653061224489796,16,33,22.163265306122447,16,0.20421548988672422,1.1260565797430495,1.7392672687529545,0.1260565797430495,-0.035107522898910615,0.625,2.2296026325072487,0.0076389931692380725,0.02216250203708011,0.016566854943831984,1.3377615795043492,-0.016567621980628198,0.025438701196664554,0.5,0.375,0.125,10,6,15.5,11,0.1403981492971229,1.1261925831107393,1.7402467829487986,0.12619258311073933,-0.02350799092576006,0.7272727272727273,4.284522891169409,0.010983278747434527,0.019699938868593045,0.012261148242321518,1.6066960841885287,-0.016567621980628198,0.025438701196664665,0.36363636363636365,0.09090909090909091,0.5454545454545454,5,6,36.27272727272727,7,0.23333333333333334,1.0639147685361168,2.1261345588321943,0.06391476853611677,-0.023507990925759947,0.7142857142857143,3.128551253768712,0.009024561127059422,0.01857005922234599,0.014839184111156995,1.2514205015074849,-0.016567621980628198,0.025438701196664665,0.2857142857142857,0.14285714285714285,0.5714285714285714,2,5,37.857142857142854,3,0.21428571428571427,1.0182745470035859,1.6039444204096047,0.018274547003585884,-0.023220539667322626,0.6666666666666666,2.123497656696353,0.006204561490755589,0.017590653226447484,0.016567621980628198,1.0617488283481764,-0.016567621980628198,0.025438701196664665,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,38.666666666666664,False,0.30651212407163325,174.93595285084615,HYPE_5M_MA_PBS_R03072,True,True,4,-0.0723571852610686,
HYPE_5M_MA_PBS_R03072__nb_0127,72,70,HYPE_5M_MA_PBS_R03072__nb_0127,both,reclaim,34,233,11,3,35.0,20,10.0,50.0,20.0,10.0,0.65,530.0,35.0,380.0,1.75,26.0,0.5,False,100.0,240.0,50,0,46.0,11.0,13.0,70,0.1786885536508837,1.0826324064010473,1.0768348876451406,0.0826324064010473,-0.07911584966691121,0.7,1.2376415008352921,0.0012196265418202002,0.009074054936720536,0.01710737304628058,0.530417786072268,-0.024568826395350376,0.00943629236721987,0.6571428571428571,0.15714285714285714,0.18571428571428572,31,39,21.65714285714286,39,0.16592508553296345,0.9871495575502289,0.9801022374442148,-0.012850442449771071,-0.07911584966691121,0.6410256410256411,0.960087138589935,-0.00023947965751951116,0.008986509019507767,0.016714459437925367,0.5376487976103635,-0.024568826395350376,0.00943629236721987,0.5897435897435898,0.1794871794871795,0.23076923076923078,17,22,23.205128205128204,13,0.16592508553296342,1.019481579837537,1.0941162904150654,0.019481579837536955,-0.04002107947551814,0.7692307692307693,1.2802868727081864,0.0015889994579321358,0.009435645933741844,0.0245664887947669,0.38408606181245586,-0.024568826395350376,0.00943629236721987,0.7692307692307693,0.23076923076923078,0.0,3,10,14.538461538461538,18,0.22974242612256474,1.0757681552113227,1.4056201082114301,0.07576815521132274,-0.034400737866015496,0.7777777777777778,2.436515126861198,0.0041142539787531775,0.008972107648156685,0.012888233864159099,0.6961471791031995,-0.024568826395350376,0.00943629236721987,0.7222222222222222,0.05555555555555555,0.2222222222222222,11,7,23.444444444444443,9,0.3,1.0353009222991565,1.5255830892106446,0.03530092229915649,-0.03440073786601561,0.7777777777777778,2.150106715691242,0.003925285816061602,0.00943490715262416,0.015358388861907348,0.6143162044832119,-0.024568826395350376,0.00943629236721987,0.7777777777777778,0.1111111111111111,0.1111111111111111,3,6,19.333333333333332,3,0.21428571428571427,0.9785790020558724,0.5683993275674731,-0.02142099794412755,-0.03440073786601561,0.3333333333333333,0.3070979737733516,-0.007094572507994927,0.009433060199829915,0.015358388861907348,0.6141959475467031,-0.024568826395350376,0.009433060199829915,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,31.666666666666668,True,0.303602991153667,164.44128426929035,HYPE_5M_MA_PBS_R03072,True,True,5,-0.048527185054814126,
HYPE_5M_MA_PBS_R03072__nb_0298,74,70,HYPE_5M_MA_PBS_R03072__nb_0298,both,reclaim,34,233,21,13,35.0,30,5.0,50.0,5.0,10.0,1.35,530.0,35.0,260.0,1.5,26.0,0.74,False,160.0,200.0,25,12,27.0,14.0,29.0,70,0.1786885536508837,1.0334387260505238,1.03114246998241,0.03343872605052378,-0.09190918265188486,0.5428571428571428,1.0907248853388918,0.0005743595916929725,0.012720000118367126,0.013848588533732583,0.918505166601172,-0.020568224187989287,0.01543719567826161,0.38571428571428573,0.2,0.4142857142857143,38,32,17.942857142857143,48,0.20421548988672422,0.9454296429316185,0.9164926027407267,-0.054570357068381536,-0.09190918265188486,0.4791666666666667,0.8452638769137217,-0.0010691131442247452,0.012188146574079297,0.013265792085064464,0.9187650836018714,-0.020568224187989287,0.01543719567826161,0.3125,0.20833333333333334,0.4791666666666667,26,22,18.020833333333332,10,0.12763468117920262,1.0310057924057303,1.1529789349124755,0.031005792405730315,-0.05816707259337339,0.6,1.5580309242179204,0.003169189672917442,0.014747377193709063,0.014198091608269993,1.0386872828119469,-0.020568224187989287,0.01543719567826161,0.5,0.2,0.3,4,6,19.4,12,0.15316161741504317,1.0602161405527009,1.3133640018032982,0.06021614055270086,-0.029454838322870658,0.75,2.0934440666875456,0.004985892134343451,0.012727596681319162,0.01823922150658368,0.6978146888958485,-0.02056241667672593,0.01543719567826161,0.5833333333333334,0.16666666666666666,0.25,8,4,16.416666666666668,7,0.23333333333333334,1.0430233039545127,1.6700504631244235,0.043023303954512704,-0.029454838322870658,0.7142857142857143,2.259561943153259,0.006145807191720272,0.015435179637013402,0.01707762392151256,0.9038247772613037,-0.020562416676725818,0.01543719567826161,0.7142857142857143,0.14285714285714285,0.14285714285714285,4,3,14.428571428571429,3,0.21428571428571427,1.0099005041040923,1.2930798091344426,0.009900504104092267,-0.029454838322870658,0.6666666666666666,1.5010060167303674,0.003433964824518827,0.01543215557514115,0.020562416676725818,0.7505030083651837,-0.020562416676725818,0.01543215557514115,0.6666666666666666,0.3333333333333333,0.0,3,0,12.333333333333334,False,0.303602991153667,146.04266792599313,HYPE_5M_MA_PBS_R03072,True,False,6,-0.04085654816527062,
HYPE_5M_MA_PBS_R03072__nb_0229,68,60,HYPE_5M_MA_PBS_R03072__nb_0229,both,reclaim,21,144,11,10,35.0,30,-5.0,20.0,25.0,5.0,1.35,530.0,45.0,140.0,2.0,32.0,0.56,False,100.0,240.0,40,4,43.0,9.0,8.0,60,0.15316161741504317,1.10428299502215,1.0968996958310555,0.10428299502215,-0.09353394545085947,0.7333333333333333,1.3460040172536907,0.0017414700802255384,0.009238039314670883,0.01887409531449916,0.4894560062740693,-0.024568826395350598,0.00943629236721987,0.7166666666666667,0.15,0.13333333333333333,23,37,16.1,42,0.1786885536508837,1.023177097006603,1.0362465172018192,0.023177097006602976,-0.09353394545085947,0.7142857142857143,1.109260565351147,0.0006434963793676575,0.009146275395872339,0.020613451161894045,0.44370422614045885,-0.024568826395350598,0.00943629236721987,0.6904761904761905,0.19047619047619047,0.11904761904761904,14,28,15.80952380952381,11,0.1403981492971229,1.0106080009297098,1.0504225609757591,0.010608000929709815,-0.04426556698594131,0.6363636363636364,1.2090695619824423,0.0010382035435555848,0.009434907152624208,0.013656027772314502,0.6908968925613956,-0.02456181359360016,0.00943629236721987,0.6363636363636364,0.09090909090909091,0.2727272727272727,5,6,18.636363636363637,7,0.08934427682544184,1.067939971911752,1.358567708057486,0.06793997191175194,-0.012679523611435206,1.0,inf,0.00943444541442561,0.00943444541442561,0.0,inf,0.009433060199829915,0.00943629236721987,1.0,0.0,0.0,4,3,13.857142857142858,2,0.06666666666666667,1.0189551030243935,1.256862350849423,0.018955103024393516,-0.008692958622383395,1.0,inf,0.009433060199830026,0.009433060199830026,0.0,inf,0.009433060199829915,0.009433060199830137,1.0,0.0,0.0,2,0,15.0,1,0.07142857142857142,1.0094330601998298,1.2775552676287114,0.009433060199829812,-0.006290945999669395,1.0,inf,0.009433060199829915,0.009433060199829915,0.0,inf,0.009433060199829915,0.009433060199829915,1.0,0.0,0.0,1,0,11.0,True,0.29879023301898333,143.30321255877647,HYPE_5M_MA_PBS_R03072,True,True,4,-0.032532401299486424,
HYPE_5M_MA_PBS_R03072__base,154,138,HYPE_5M_MA_PBS_R03072__base,both,reclaim,21,144,16,5,35.0,10,0.0,35.0,20.0,10.0,1.0,650.0,40.0,260.0,1.5,32.0,0.62,False,180.0,160.0,45,2,57.0,54.0,27.0,138,0.3522717200545993,1.1427565797418786,1.1324900571414438,0.1427565797418786,-0.1263591116690591,0.5289855072463768,1.157823448597145,0.0010885204457158277,0.015096060545503416,0.014643024589430238,1.030938687107047,-0.016567621980628198,0.01743749678194238,0.41304347826086957,0.391304347826087,0.1956521739130435,58,80,23.652173913043477,92,0.3914130222828881,1.0405838928133158,1.0637701191723727,0.04058389281331576,-0.1263591116690591,0.5108695652173914,1.078115042454155,0.0005522410193420925,0.014919321195017068,0.014453376053029555,1.032237806605042,-0.016567621980628198,0.01743749678194238,0.391304347826087,0.40217391304347827,0.20652173913043478,36,56,24.108695652173914,27,0.34461363918384713,1.024614878136376,1.1200367529688964,0.024614878136375973,-0.083720442043968,0.5185185185185185,1.1344453490897486,0.0010381750098258178,0.01689445144393169,0.01603781499613435,1.0534135384404808,-0.016567621980628198,0.017437496781942268,0.48148148148148145,0.4444444444444444,0.07407407407407407,11,16,20.48148148148148,19,0.24250589424048502,1.0718054807752246,1.3816446313486184,0.07180548077522464,-0.0443163331093368,0.631578947368421,1.7683159881615884,0.0037567853928428753,0.013690166953408647,0.013271868710984161,1.0315176597609266,-0.016567621980627976,0.017437496781942268,0.42105263157894735,0.2631578947368421,0.3157894736842105,11,8,25.94736842105263,9,0.3,1.0089589459743782,1.1147046330524948,0.008958945974378185,-0.0443163331093368,0.4444444444444444,1.166741322073595,0.0011074781024688017,0.017436086094851214,0.011955408291437127,1.4584266525919936,-0.016567621980627976,0.017437496781942268,0.4444444444444444,0.3333333333333333,0.2222222222222222,3,6,19.88888888888889,5,0.35714285714285715,0.9984427274791481,0.9601557240283478,-0.0015572725208519156,-0.044316333109336914,0.4,0.9727492989486677,-0.0001953667313777052,0.01743467540776021,0.011948728157469649,1.4591239484230016,-0.016567621980627976,0.017437496781942268,0.4,0.4,0.2,2,3,22.4,True,0.3374973292666813,135.82326033370944,HYPE_5M_MA_PBS_R03072,True,True,4,-0.04247552870588944,
HYPE_5M_MA_PBS_R03072__nb_0220,85,80,HYPE_5M_MA_PBS_R03072__nb_0220,both,reclaim,21,144,11,8,35.0,15,0.0,35.0,5.0,25.0,1.0,710.0,10.0,200.0,1.5,32.0,0.6799999999999999,False,200.0,200.0,50,2,27.0,28.0,25.0,80,0.20421548988672422,0.8777948954819952,0.8855667518027606,-0.12220510451800481,-0.2683926657864081,0.4375,0.8314739064549219,-0.0014800006425975476,0.016690345130810337,0.015612491799692572,1.0690378797277569,-0.020568224187989287,0.019437797885622922,0.3375,0.35,0.3125,30,50,29.0625,49,0.2084699792593643,0.7981377264687176,0.704423180902909,-0.2018622735312824,-0.20873410997545128,0.3469387755102041,0.5703694158512383,-0.004448472770989166,0.01702233507824804,0.01585483944089643,1.073636547484684,-0.020568224187989287,0.019437797885622922,0.2857142857142857,0.40816326530612246,0.30612244897959184,18,31,28.510204081632654,18,0.22974242612256474,1.0129681501658792,1.061907708414457,0.012968150165879155,-0.08335703231255953,0.5555555555555556,1.103726399636554,0.0008881746017210661,0.01701151457983666,0.019266000370923422,0.8829811197092433,-0.020568224187989287,0.01943779788562281,0.4444444444444444,0.3888888888888889,0.16666666666666666,6,12,24.833333333333332,13,0.16592508553296342,1.0857239573910011,1.467299681174054,0.08572395739100114,-0.027188309586849813,0.6153846153846154,3.0347971096326245,0.0064298439645912395,0.015583404681222322,0.00821585318201849,1.8967481935203905,-0.02056241667672615,0.019437797885622922,0.38461538461538464,0.07692307692307693,0.5384615384615384,6,7,37.0,4,0.13333333333333333,1.037669282603072,1.5686203606781752,0.03766928260307201,-0.027188309586849813,0.75,2.8359212136222895,0.00943774424503557,0.01943779788562281,0.02056241667672615,0.9453070712074298,-0.02056241667672615,0.019437797885622922,0.75,0.25,0.0,1,3,16.5,2,0.14285714285714285,0.9984756931094945,0.9609831363429108,-0.0015243068905055335,-0.027188309586849813,0.5,0.9453070712074298,-0.00056230939555167,0.01943779788562281,0.02056241667672615,0.9453070712074298,-0.02056241667672615,0.01943779788562281,0.5,0.5,0.0,1,1,24.0,False,0.3084604525664434,131.41725845117006,HYPE_5M_MA_PBS_R03072,False,False,8,-0.08207126494870642,
HYPE_5M_MA_PBS_R03072__nb_0212,122,109,HYPE_5M_MA_PBS_R03072__nb_0212,both,reclaim,21,144,21,8,35.0,20,-10.0,65.0,5.0,5.0,0.65,650.0,55.0,320.0,1.75,20.0,0.5,False,200.0,160.0,50,7,43.0,50.0,16.0,109,0.27824360497066175,0.9833248024095232,0.9844437044915776,-0.016675197590476754,-0.20488680487495636,0.46788990825688076,0.998454578084386,-1.25570940354955e-05,0.017339106508461665,0.015270054399679557,1.1354973633116545,-0.016567621980628198,0.019437797885622922,0.3944954128440367,0.45871559633027525,0.14678899082568808,51,58,21.779816513761467,75,0.3190867029480066,0.8492789957371571,0.7757962642248891,-0.15072100426284285,-0.20488680487495636,0.4,0.7734470965707583,-0.0020406646701631114,0.01741697127162555,0.015012421964688888,1.1601706448561375,-0.016567621980628198,0.019437797885622922,0.3333333333333333,0.5066666666666667,0.16,32,43,21.173333333333332,16,0.20421548988672422,1.0394836854465686,1.197847699600396,0.03948368544656855,-0.07201278131654021,0.5625,1.3551942486051316,0.00257426026481435,0.017460856826566326,0.016565649600295333,1.0540399711373247,-0.016567621980628198,0.01943779788562281,0.5,0.4375,0.0625,8,8,17.875,18,0.22974242612256474,1.1138557026940374,1.653140535312061,0.11385570269403744,-0.040791914550247665,0.6666666666666666,2.173651381055495,0.006138497931963043,0.017053131861973488,0.01569076992805785,1.0868256905277476,-0.016567621980627976,0.019437797885622922,0.5555555555555556,0.2777777777777778,0.16666666666666666,11,7,27.77777777777778,8,0.26666666666666666,0.9973169193883241,0.9678187911757172,-0.002683080611675881,-0.0351167806134528,0.5,0.973020753547441,-0.00020576389310862295,0.014841966670749555,0.015253494456966804,0.973020753547441,-0.016567621980627754,0.019437797885622922,0.375,0.375,0.25,4,4,31.625,3,0.21428571428571427,0.9859368730071096,0.691078925462208,-0.014063126992890362,-0.0351167806134528,0.3333333333333333,0.5865130124622197,-0.004566363082821431,0.01943155249201516,0.016565320870239725,1.1730260249244393,-0.016567621980627754,0.01943155249201516,0.3333333333333333,0.6666666666666666,0.0,2,1,26.333333333333332,False,0.32279678605426704,130.42700475052206,HYPE_5M_MA_PBS_R03072,False,False,6,-0.05654501443342297,
HYPE_5M_MA_PBS_R00199__nb_0394,104,81,HYPE_5M_MA_PBS_R00199__nb_0394,both,engulf_reclaim,34,233,50,10,5.0,30,-2.0,-10.0,80.0,8.0,0.15,120.0,0.0,9749.0,1.25,6.0,0.66,True,140.0,180.0,50,3,34.0,15.0,32.0,81,0.2067681835103083,1.074939334687303,1.0696987798961415,0.07493933468730307,-0.09866526804952291,0.5555555555555556,1.1809418491481114,0.0009741204593500727,0.011443915929637784,0.012113123878509567,0.9447534793184891,-0.018567923084308633,0.013436894574581179,0.41975308641975306,0.18518518518518517,0.3950617283950617,41,40,35.04938271604938,45,0.19145202176880396,1.0271194408945412,1.0424576013555316,0.027119440894541214,-0.09866526804952291,0.5333333333333333,1.122857920701456,0.0006757852401302064,0.011580614907258016,0.011786877236587294,0.982500680613774,-0.018567923084308633,0.013436894574581179,0.4,0.17777777777777778,0.4222222222222222,18,27,34.355555555555554,13,0.16592508553296342,1.013195561100005,1.0630195419262247,0.013195561100004971,-0.04017952746902065,0.5384615384615384,1.209848608015787,0.0010897702076758217,0.011668235330387881,0.01125177243548825,1.0370130925849603,-0.018567923084308633,0.013436894574581068,0.38461538461538464,0.23076923076923078,0.38461538461538464,6,7,34.61538461538461,23,0.29355976671216605,1.0329272318215243,1.1630303617285715,0.03292723182152435,-0.047588515186873126,0.6086956521739131,1.2836016622805904,0.0014924525522483011,0.011097415124770903,0.01344860033834241,0.8251724971803795,-0.018567923084308633,0.013436894574580957,0.4782608695652174,0.17391304347826086,0.34782608695652173,17,6,36.65217391304348,3,0.1,1.0079752461649882,1.1015447091339199,0.007975246164988237,-0.021547313563716863,0.6666666666666666,1.4468454070725483,0.0027656637163665523,0.013432457116704145,0.018567923084308633,0.7234227035362741,-0.018567923084308633,0.013432457116704145,0.6666666666666666,0.3333333333333333,0.0,2,1,9.0,3,0.21428571428571427,1.0079752461649882,1.2302816935766256,0.007975246164988237,-0.021547313563716863,0.6666666666666666,1.4468454070725483,0.0027656637163665523,0.013432457116704145,0.018567923084308633,0.7234227035362741,-0.018567923084308633,0.013432457116704145,0.6666666666666666,0.3333333333333333,0.0,2,1,9.0,True,0.30894864498461105,129.41298673099863,HYPE_5M_MA_PBS_R00199,True,True,5,-0.06395900565261958,
HYPE_5M_MA_PBS_R03072__nb_0339,235,208,HYPE_5M_MA_PBS_R03072__nb_0339,both,reclaim,13,89,16,5,35.0,5,-20.0,40.0,25.0,0.0,1.35,900.0,10.0,320.0,1.75,26.0,0.74,False,160.0,180.0,35,0,87.0,68.0,53.0,208,0.530960273705483,0.980683645224214,0.9819781390212191,-0.01931635477578597,-0.24745920166237934,0.5432692307692307,1.0027394452727703,1.9163663609308322e-05,0.012911862748607632,0.015316362616441327,0.8430110380611786,-0.018567923084308633,0.015437195678261722,0.4182692307692308,0.3269230769230769,0.2548076923076923,99,109,18.745192307692307,134,0.5701015759337719,0.8323064282276359,0.7518374864625453,-0.1676935717723641,-0.24745920166237934,0.5074626865671642,0.8360289913310154,-0.0012548183785025084,0.012607559493831728,0.015537268307574148,0.8114399033506914,-0.018567923084308633,0.015437195678261722,0.3880597014925373,0.3656716417910448,0.2462686567164179,57,77,18.149253731343283,50,0.6381734058960132,1.0683897283043875,1.361237058458738,0.0683897283043875,-0.09395412717644624,0.56,1.2258328262616645,0.0014347559158447488,0.013907023049729168,0.014439038618189964,0.9631543634913079,-0.018567923084308633,0.015437195678261722,0.48,0.28,0.24,28,22,18.6,24,0.30632323483008633,1.1028488122970732,1.5783503344923506,0.10284881229707321,-0.06938730007660854,0.7083333333333334,1.8968875698779608,0.004183079539909783,0.012489988212922827,0.015990841523121902,0.7810713523026898,-0.018567923084308633,0.01543719567826161,0.4583333333333333,0.20833333333333334,0.3333333333333333,14,10,22.375,13,0.43333333333333335,0.9793575410308986,0.7757289210978253,-0.02064245896910144,-0.06938730007660876,0.5384615384615384,0.7978984554725032,-0.0014994968731735512,0.010994332537528037,0.016075631185658735,0.6839129618335742,-0.018567923084308633,0.01543719567826161,0.23076923076923078,0.38461538461538464,0.38461538461538464,6,7,23.692307692307693,8,0.5714285714285714,0.9539493237406411,0.292300675078324,-0.04605067625935888,-0.06938730007660865,0.375,0.40628504883807154,-0.005780250244820571,0.010547954023693074,0.015577172805928755,0.6771417480634526,-0.018567923084308633,0.01543215557514115,0.125,0.5,0.375,4,4,25.0,False,0.37441642577822265,128.5785808423608,HYPE_5M_MA_PBS_R03072,False,False,8,-0.09178404739631352,
HYPE_5M_MA_PBS_R00199__nb_0181,123,104,HYPE_5M_MA_PBS_R00199__nb_0181,both,engulf_reclaim,89,610,65,10,5.0,35,-2.0,-15.0,45.0,8.0,0.35,240.0,15.0,9749.0,1.25,0.0,0.54,True,220.0,200.0,25,1,13.0,8.0,83.0,104,0.2654801368527415,1.108047197937743,1.1003854638074837,0.10804719793774309,-0.08503844661802051,0.5673076923076923,1.2310295585628126,0.001063402196582805,0.009988029432388,0.010637775734806228,0.9389208497512977,-0.020568224187989287,0.021438098989303465,0.125,0.07692307692307693,0.7980769230769231,48,56,23.653846153846153,66,0.2807962985942458,1.08649389087345,1.1375871720824184,0.08649389087345005,-0.08051956344063227,0.6060606060606061,1.290802534675467,0.0013380581330561367,0.009799875273343675,0.011680122082770843,0.8390216475390536,-0.020568224187989287,0.021438098989303465,0.13636363636363635,0.07575757575757576,0.7878787878787878,31,35,23.560606060606062,16,0.20421548988672422,1.018692691215161,1.09017495500128,0.01869269121516104,-0.030933739865799392,0.5,1.2175430212330567,0.0012711774827383869,0.014229031702181255,0.011686676736704482,1.2175430212330567,-0.020568224187989287,0.021438098989303354,0.25,0.125,0.625,7,9,21.375,22,0.2807962985942458,1.001123787902284,1.0052497284579518,0.001123787902284068,-0.046221998944830256,0.5,1.0238355348948185,8.832508814056863e-05,0.007587861087244996,0.007411210910963859,1.0238355348948183,-0.02056241667672593,0.012936902957932914,0.0,0.045454545454545456,0.9545454545454546,10,12,25.59090909090909,3,0.1,0.9958653360344236,0.950807276914407,-0.0041346639655763795,-0.027255014537086564,0.6666666666666666,0.8123608403505992,-0.0012861048618605592,0.008352051045572125,0.02056241667672593,0.4061804201752996,-0.02056241667672593,0.009456655504508499,0.0,0.3333333333333333,0.6666666666666666,3,0,23.0,2,0.14285714285714285,1.0167726386968015,1.5433524262879568,0.016772638696801456,-0.002330913709676974,1.0,inf,0.008352051045572125,0.008352051045572125,0.0,inf,0.007247446586635752,0.009456655504508499,0.0,0.0,1.0,2,0,26.0,True,0.32029875451272444,128.1966102392577,HYPE_5M_MA_PBS_R00199,True,False,6,-0.025166531701514283,
