config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-01 00:00:00+00:00,2025-06-01 00:05:00+00:00,2025-06-01 01:30:00+00:00,-1,32.541045952,32.43485775052106,target_limit,18,0.002435238504337688,-0.011752774060678444,0.0038734450080653016,short
HYPE_5M_MS_R11999,2025-06-01 01:50:00+00:00,2025-06-01 01:55:00+00:00,2025-06-01 02:00:00+00:00,-1,32.280326005,32.17498858693787,target_limit,2,0.0024352385043377995,-0.004679611887241212,0.0033867689249192923,short
HYPE_5M_MS_R11999,2025-06-01 02:05:00+00:00,2025-06-01 02:10:00+00:00,2025-06-01 05:00:00+00:00,-1,32.143473006,33.09903674300021,stop_market,35,-0.030569729706392337,-0.03235044478420092,-0.0004208317501184222,short
HYPE_5M_MS_R11999,2025-06-01 07:00:00+00:00,2025-06-01 07:05:00+00:00,2025-06-01 07:05:00+00:00,-1,32.361239092,32.25563763770507,target_limit,1,0.002435238504337688,-0.0023231453409435924,0.0036228245669672754,short
HYPE_5M_MS_R11999,2025-06-01 09:35:00+00:00,2025-06-01 09:40:00+00:00,2025-06-01 09:40:00+00:00,-1,31.954675803,31.850401049282244,target_limit,1,0.002435238504337688,-0.0015514025259710945,0.004339765605976931,short
HYPE_5M_MS_R11999,2025-06-01 09:50:00+00:00,2025-06-01 09:55:00+00:00,2025-06-01 10:15:00+00:00,-1,31.891743402,31.787674009796643,target_limit,5,0.0024352385043377995,-0.007226976186915494,0.0071097838441087635,short
HYPE_5M_MS_R11999,2025-06-01 13:25:00+00:00,2025-06-01 13:30:00+00:00,2025-06-01 16:10:00+00:00,-1,31.828811001,32.7750204407426,stop_market,33,-0.030569729706392115,-0.03501190086737972,-0.0003829548957898776,short
HYPE_5M_MS_R11999,2025-06-02 09:45:00+00:00,2025-06-02 09:50:00+00:00,2025-06-02 10:35:00+00:00,-1,32.769800235,32.66286556071474,target_limit,10,0.002435238504337688,-0.008660050756726061,0.005456250380465488,short
HYPE_5M_MS_R11999,2025-06-02 13:50:00+00:00,2025-06-02 13:55:00+00:00,2025-06-02 14:30:00+00:00,-1,32.452141449,33.41688130616719,stop_market,8,-0.030569729706392115,-0.030855134786339514,0.0010828699565244015,short
HYPE_5M_MS_R11999,2025-06-03 20:25:00+00:00,2025-06-03 20:30:00+00:00,2025-06-03 20:30:00+00:00,-1,36.318987866,36.20047145424377,target_limit,1,0.002435238504337577,-0.0041045255354728175,0.0031660537023843194,short
HYPE_5M_MS_R11999,2025-06-03 21:35:00+00:00,2025-06-03 21:40:00+00:00,2025-06-03 21:50:00+00:00,-1,35.985346248,35.867918578240754,target_limit,3,0.002435238504337688,-0.003878675555486503,0.004872712542254409,short
HYPE_5M_MS_R11999,2025-06-03 21:50:00+00:00,2025-06-03 21:55:00+00:00,2025-06-03 22:35:00+00:00,-1,35.776570504999995,36.84013925509827,stop_market,9,-0.030569729706392115,-0.03170411916553163,0.001972534091553846,short
HYPE_5M_MS_R11999,2025-06-04 07:35:00+00:00,2025-06-04 07:40:00+00:00,2025-06-04 10:40:00+00:00,-1,35.966366635,36.772289552,time_open,37,-0.023246296519506278,-0.02387083561844007,-0.000935133797119958,short
