config_id,trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,mae_1x,mfe_1x
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,1,2026-03-25 08:15:00+00:00,2026-03-25 08:20:00+00:00,2026-03-25 08:20:00+00:00,1,combo_stop,1,40.726652859000005,40.62134906475478,-0.0034138740505421064,-0.0032789492110926336,-0.00011424604462617616
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,2,2026-03-25 08:25:00+00:00,2026-03-25 08:30:00+00:00,2026-03-25 08:45:00+00:00,1,combo_stop,4,40.741668954000005,40.62391583720386,-0.003718362078333263,-0.003965545644153982,0.0036898597887518036
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,3,2026-03-25 08:55:00+00:00,2026-03-25 09:00:00+00:00,2026-03-25 09:45:00+00:00,1,combo_stop,10,40.637557362,40.519926799343565,-0.003722749132760185,-0.006161989082568057,0.003997352413506405
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,4,2026-03-25 09:55:00+00:00,2026-03-25 10:00:00+00:00,2026-03-25 10:45:00+00:00,1,combo_stop,10,40.654575603,40.74685433040001,0.0014395600713547098,-0.0019046683298123018,0.004634764825489857
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,5,2026-03-25 10:45:00+00:00,2026-03-25 10:50:00+00:00,2026-03-25 10:50:00+00:00,1,combo_stop,1,40.87881595500001,41.074540816799995,0.003956620848011938,-0.0015109737639982395,0.006780628022717616
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,6,2026-03-25 11:05:00+00:00,2026-03-25 11:10:00+00:00,2026-03-25 11:10:00+00:00,1,combo_stop,1,40.996942569000005,40.91609156623822,-0.002800627600011776,-0.003023211175792643,0.0023186468317730746
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,7,2026-03-25 11:50:00+00:00,2026-03-25 11:55:00+00:00,2026-03-25 12:05:00+00:00,1,combo_stop,3,41.265230133,41.12961048435511,-0.004114495441275592,-0.005000365362215612,0.002975140732386583
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,8,2026-03-25 12:10:00+00:00,2026-03-25 12:15:00+00:00,2026-03-25 12:15:00+00:00,1,combo_stop,1,41.213174337,41.08511794542497,-0.003935205476051555,-0.008765736969014852,-0.0009505294758338501
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,9,2026-03-25 13:15:00+00:00,2026-03-25 13:20:00+00:00,2026-03-25 13:20:00+00:00,1,combo_stop,1,41.02397154,40.92069675268656,-0.0033457041270093485,-0.004240998306242264,-0.00014556221096673205
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,10,2026-03-25 13:25:00+00:00,2026-03-25 13:30:00+00:00,2026-03-25 13:50:00+00:00,1,combo_stop,5,41.008955445000005,41.019781809237486,-0.0005654320923553299,-0.003437304625129826,0.005390153262900155
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,11,2026-03-25 14:30:00+00:00,2026-03-25 14:35:00+00:00,2026-03-25 14:35:00+00:00,-1,combo_stop,1,40.187832137,40.34105428631583,-0.004643553856999183,-0.00449967546244047,0.0021357742489668263
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,12,2026-03-25 14:40:00+00:00,2026-03-25 14:45:00+00:00,2026-03-25 14:45:00+00:00,-1,combo_stop,1,40.168852524,40.326428535533665,-0.004753790021354068,-0.0054471046917161795,-0.0007754136362594366
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,13,2026-03-25 14:50:00+00:00,2026-03-25 14:55:00+00:00,2026-03-25 15:20:00+00:00,-1,combo_stop,6,40.29971196100001,40.289072837042305,-0.0005652131511832938,-0.005409437432232226,0.006891164911271952
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,14,2026-03-25 15:30:00+00:00,2026-03-25 15:35:00+00:00,2026-03-25 16:20:00+00:00,-1,combo_stop,10,40.383621829,40.50942451683714,-0.003945805186842599,-0.003915540246376207,0.00318499983841547
em0p75__be1p0__lock0p0__ts1p5__td1p0__fail3_0p3,15,2026-03-25 16:55:00+00:00,2026-03-25 17:00:00+00:00,2026-03-25 17:00:00+00:00,-1,combo_stop,1,40.455544573000005,40.568881560032736,-0.003632003556931446,-0.0044055957725046705,-0.0006292197341222217
